Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,50.0,50.0,50.0,50.0,50.0,200
2021-01-06,50.0,50.0,50.0,50.0,50.0,900
2021-01-08,50.0,50.0,50.0,50.0,50.0,100
2021-01-11,50.0,50.0,50.0,50.0,50.0,400
2021-01-13,50.0,50.0,50.0,50.0,50.0,0
2021-01-20,50.0,50.0,50.0,50.0,50.0,3800
2021-01-26,50.0,50.0,50.0,50.0,50.0,22800
2021-02-04,50.0,50.0,50.0,50.0,50.0,300
2021-02-05,50.0,50.0,50.0,50.0,50.0,1000100
2021-02-09,50.0,50.0,50.0,50.0,50.0,600
2021-02-15,50.0,50.0,50.0,50.0,50.0,2400
2021-02-25,50.0,50.0,50.0,50.0,50.0,800
2021-03-02,50.0,50.0,50.0,50.0,50.0,1000
2021-03-04,50.0,50.0,50.0,50.0,50.0,3100
2021-03-05,50.0,50.0,50.0,50.0,50.0,1100
2021-03-12,50.0,50.0,50.0,50.0,50.0,2200
2021-03-15,50.0,50.0,50.0,50.0,50.0,7100
2021-04-06,50.0,50.0,50.0,50.0,50.0,50000
2021-04-09,50.0,50.0,50.0,50.0,50.0,700
2021-04-15,50.0,50.0,50.0,50.0,50.0,500
2021-04-26,50.0,50.0,50.0,50.0,50.0,10100
2021-04-30,50.0,50.0,50.0,50.0,50.0,6600
2021-05-06,50.0,50.0,50.0,50.0,50.0,5800
2021-05-07,50.0,50.0,50.0,50.0,50.0,10000
2021-05-10,50.0,50.0,50.0,50.0,50.0,1800
2021-05-27,50.0,50.0,50.0,50.0,50.0,5000
2021-06-04,50.0,50.0,50.0,50.0,50.0,2300
2021-06-14,50.0,50.0,50.0,50.0,50.0,1500
2021-07-29,50.0,50.0,50.0,50.0,50.0,2100
2021-07-30,50.0,50.0,50.0,50.0,50.0,1400
2021-08-09,50.0,50.0,50.0,50.0,50.0,9900
2021-08-13,50.0,50.0,50.0,50.0,50.0,1200
2021-08-18,50.0,50.0,50.0,50.0,50.0,1700
2021-08-27,50.0,50.0,50.0,50.0,50.0,4300
2021-08-30,50.0,50.0,50.0,50.0,50.0,1600
2021-09-06,50.0,50.0,50.0,50.0,50.0,1300
2021-09-10,50.0,50.0,50.0,50.0,50.0,3600
2021-09-14,50.0,50.0,50.0,50.0,50.0,2000
2021-09-17,50.0,50.0,50.0,50.0,50.0,50600
2021-09-20,50.0,50.0,50.0,50.0,50.0,28700
2021-09-21,50.0,50.0,50.0,50.0,50.0,6400
2021-09-23,50.0,50.0,50.0,50.0,50.0,7600
2021-09-29,50.0,50.0,50.0,50.0,50.0,11300
2021-10-04,50.0,50.0,50.0,50.0,50.0,51400
2021-10-05,50.0,50.0,50.0,50.0,50.0,22700
2021-10-11,50.0,50.0,50.0,50.0,50.0,10900
2021-10-15,50.0,50.0,50.0,50.0,50.0,20000
2021-10-22,50.0,50.0,50.0,50.0,50.0,21500
2021-11-04,50.0,50.0,50.0,50.0,50.0,102400
2021-11-09,50.0,50.0,50.0,50.0,50.0,241000
2021-11-12,50.0,50.0,50.0,50.0,50.0,4400
2021-11-15,50.0,50.0,50.0,50.0,50.0,16900
2021-11-16,50.0,50.0,50.0,50.0,50.0,2900
2021-11-17,50.0,50.0,50.0,50.0,50.0,2600
2021-11-19,50.0,50.0,50.0,50.0,50.0,32000
2021-11-22,50.0,50.0,50.0,50.0,50.0,25000
2021-11-24,50.0,50.0,50.0,50.0,50.0,10600
2021-11-26,50.0,50.0,50.0,50.0,50.0,4100
2021-11-30,50.0,50.0,50.0,50.0,50.0,3200
2021-12-16,50.0,50.0,50.0,50.0,50.0,8400
2021-12-20,50.0,50.0,50.0,50.0,50.0,63300
