Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,124.0,132.0,119.0,132.0,132.0,35500
2021-01-05,132.0,132.0,129.0,129.0,129.0,3700
2021-01-06,134.0,134.0,122.0,122.0,122.0,1000
2021-01-07,122.0,133.0,114.0,128.0,128.0,3400
2021-01-08,132.0,132.0,128.0,128.0,128.0,600
2021-01-11,128.0,128.0,120.0,127.0,127.0,14500
2021-01-12,126.0,126.0,120.0,120.0,120.0,7100
2021-01-13,120.0,130.0,112.0,130.0,130.0,11800
2021-01-14,130.0,130.0,129.0,130.0,130.0,1700
2021-01-15,130.0,130.0,130.0,130.0,130.0,0
2021-01-18,126.0,128.0,126.0,128.0,128.0,600
2021-01-19,128.0,128.0,128.0,128.0,128.0,0
2021-01-20,138.0,138.0,130.0,130.0,130.0,2100
2021-01-21,130.0,130.0,130.0,130.0,130.0,100
2021-01-22,122.0,160.0,122.0,125.0,125.0,18400
2021-01-25,122.0,160.0,117.0,136.0,136.0,23000
2021-01-26,127.0,127.0,127.0,127.0,127.0,3400
2021-01-27,154.0,154.0,119.0,127.0,127.0,82200
2021-01-28,119.0,119.0,119.0,119.0,119.0,7600
2021-01-29,129.0,129.0,124.0,124.0,124.0,1900
2021-02-01,129.0,129.0,128.0,128.0,128.0,3500
2021-02-02,120.0,120.0,120.0,120.0,120.0,700
2021-02-03,120.0,128.0,120.0,128.0,128.0,300
2021-02-04,128.0,128.0,128.0,128.0,128.0,3000
2021-02-05,129.0,129.0,120.0,120.0,120.0,1300
2021-02-08,115.0,120.0,112.0,120.0,120.0,3200
2021-02-09,130.0,130.0,122.0,122.0,122.0,1100
2021-02-10,132.0,132.0,122.0,125.0,125.0,1400
2021-02-11,149.0,159.0,117.0,126.0,126.0,113500
2021-02-15,120.0,125.0,118.0,125.0,125.0,26700
2021-02-16,125.0,125.0,117.0,118.0,118.0,11600
2021-02-17,119.0,124.0,113.0,123.0,123.0,11900
2021-02-18,123.0,123.0,123.0,123.0,123.0,0
2021-02-19,133.0,133.0,116.0,122.0,122.0,20800
2021-02-22,115.0,122.0,114.0,116.0,116.0,60900
2021-02-23,120.0,120.0,109.0,119.0,119.0,25200
2021-02-24,118.0,138.0,111.0,118.0,118.0,92100
2021-02-25,118.0,119.0,118.0,119.0,119.0,800
2021-02-26,119.0,120.0,118.0,120.0,120.0,11100
2021-03-01,113.0,115.0,113.0,115.0,115.0,200
2021-03-02,118.0,119.0,111.0,119.0,119.0,1300
2021-03-03,119.0,125.0,113.0,123.0,123.0,5600
2021-03-04,115.0,123.0,115.0,123.0,123.0,10200
2021-03-05,123.0,123.0,122.0,122.0,122.0,200
2021-03-08,122.0,122.0,122.0,122.0,122.0,100
2021-03-09,122.0,122.0,121.0,121.0,121.0,200
2021-03-10,121.0,121.0,114.0,119.0,119.0,31600
2021-03-12,118.0,119.0,118.0,119.0,119.0,17600
2021-03-15,119.0,119.0,119.0,119.0,119.0,2600
2021-03-16,119.0,125.0,119.0,125.0,125.0,14400
2021-03-17,125.0,125.0,125.0,125.0,125.0,12300
2021-03-18,124.0,125.0,117.0,117.0,117.0,35600
2021-03-19,119.0,124.0,118.0,118.0,118.0,6700
2021-03-22,111.0,124.0,110.0,124.0,124.0,11200
2021-03-23,124.0,124.0,124.0,124.0,124.0,100
2021-03-24,124.0,124.0,124.0,124.0,124.0,0
2021-03-26,122.0,123.0,122.0,123.0,123.0,300
2021-03-29,115.0,115.0,115.0,115.0,115.0,34500
2021-03-30,120.0,120.0,120.0,120.0,120.0,35200
2021-03-31,120.0,125.0,112.0,112.0,112.0,34000
2021-04-01,119.0,120.0,105.0,119.0,119.0,2300
2021-04-05,111.0,119.0,111.0,119.0,119.0,200
2021-04-06,111.0,118.0,111.0,111.0,111.0,55400
2021-04-07,111.0,114.0,104.0,114.0,114.0,23600
2021-04-08,123.0,123.0,121.0,121.0,121.0,200
2021-04-09,120.0,120.0,113.0,118.0,118.0,2900
2021-04-12,110.0,112.0,110.0,112.0,112.0,32700
2021-04-13,118.0,118.0,116.0,116.0,116.0,200
2021-04-14,115.0,115.0,108.0,112.0,112.0,8600
2021-04-15,112.0,112.0,112.0,112.0,112.0,0
2021-04-16,106.0,125.0,105.0,107.0,107.0,8500
2021-04-19,106.0,122.0,106.0,106.0,106.0,5300
2021-04-20,110.0,125.0,110.0,118.0,118.0,148600
2021-04-21,118.0,120.0,110.0,116.0,116.0,29000
2021-04-22,116.0,119.0,116.0,119.0,119.0,400
2021-04-23,119.0,119.0,112.0,117.0,117.0,13900
2021-04-26,114.0,116.0,111.0,111.0,111.0,5300
2021-04-27,111.0,114.0,111.0,113.0,113.0,1100
2021-04-28,114.0,114.0,109.0,110.0,110.0,9500
2021-04-29,109.0,113.0,109.0,112.0,112.0,13100
2021-04-30,116.0,116.0,109.0,110.0,110.0,6300
2021-05-03,110.0,111.0,107.0,111.0,111.0,6500
2021-05-04,108.0,109.0,107.0,108.0,108.0,49400
2021-05-05,108.0,109.0,107.0,107.0,107.0,1200
2021-05-06,107.0,107.0,107.0,107.0,107.0,0
2021-05-07,107.0,115.0,107.0,107.0,107.0,3400
2021-05-10,107.0,115.0,107.0,115.0,115.0,400
2021-05-11,112.0,115.0,112.0,115.0,115.0,19900
2021-05-17,115.0,117.0,111.0,111.0,111.0,43300
2021-05-18,112.0,115.0,112.0,114.0,114.0,11200
2021-05-19,114.0,115.0,114.0,115.0,115.0,800
2021-05-20,113.0,113.0,110.0,110.0,110.0,1000
2021-05-21,111.0,111.0,111.0,111.0,111.0,1700
2021-05-24,111.0,118.0,109.0,118.0,118.0,2300
2021-05-25,118.0,118.0,118.0,118.0,118.0,600
