Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,346.0,354.0,340.0,340.0,340.0,1000
2021-12-02,330.0,330.0,318.0,328.0,328.0,21000
2021-12-03,328.0,370.0,328.0,340.0,340.0,22000
2021-12-06,340.0,360.0,340.0,350.0,350.0,29000
2021-12-07,340.0,340.0,330.0,330.0,330.0,42000
2021-12-08,330.0,350.0,320.0,320.0,320.0,24200
2021-12-09,340.0,340.0,330.0,336.0,336.0,3700
2021-12-10,336.0,342.0,336.0,338.0,338.0,1900
2021-12-13,338.0,338.0,332.0,334.0,334.0,5500
2021-12-14,330.0,348.0,330.0,338.0,338.0,11600
2021-12-15,338.0,348.0,334.0,334.0,334.0,3400
2021-12-16,318.0,348.0,318.0,338.0,338.0,11200
2021-12-17,342.0,342.0,334.0,334.0,334.0,2200
2021-12-20,342.0,348.0,336.0,340.0,340.0,1700
2021-12-21,338.0,344.0,318.0,332.0,332.0,78200
2021-12-22,334.0,344.0,330.0,338.0,338.0,3000
2021-12-23,338.0,340.0,316.0,316.0,316.0,46200
2021-12-24,316.0,344.0,314.0,316.0,316.0,8100
2021-12-27,316.0,348.0,304.0,314.0,314.0,47900
2021-12-28,300.0,344.0,294.0,312.0,312.0,56600
2021-12-29,312.0,334.0,306.0,320.0,320.0,72000
2021-12-30,320.0,332.0,320.0,326.0,326.0,12900
2022-01-03,326.0,326.0,320.0,320.0,320.0,11100
2022-01-04,318.0,324.0,316.0,318.0,318.0,7500
2022-01-05,340.0,340.0,296.0,296.0,296.0,116500
2022-01-06,314.0,330.0,280.0,316.0,316.0,59800
2022-01-07,316.0,328.0,308.0,324.0,324.0,44000
