Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,830.0,870.0,800.0,870.0,870.0,89300
2021-01-05,870.0,870.0,845.0,850.0,850.0,13700
2021-01-06,850.0,870.0,850.0,850.0,850.0,700
2021-01-07,840.0,840.0,830.0,830.0,830.0,108600
2021-01-08,830.0,860.0,830.0,830.0,830.0,9500
2021-01-11,830.0,870.0,780.0,825.0,825.0,249400
2021-01-12,825.0,825.0,825.0,825.0,825.0,20800
2021-01-13,825.0,840.0,800.0,820.0,820.0,119200
2021-01-14,820.0,860.0,810.0,860.0,860.0,159600
2021-01-15,860.0,950.0,845.0,900.0,900.0,207900
2021-01-18,900.0,955.0,880.0,950.0,950.0,292300
2021-01-19,950.0,990.0,930.0,970.0,970.0,66900
2021-01-20,970.0,980.0,940.0,975.0,975.0,98400
2021-01-21,985.0,985.0,950.0,975.0,975.0,30400
2021-01-22,980.0,1000.0,950.0,995.0,995.0,17800
2021-01-25,995.0,1000.0,990.0,1000.0,1000.0,27300
2021-01-26,1000.0,1000.0,990.0,995.0,995.0,15400
2021-01-27,1000.0,1000.0,970.0,990.0,990.0,20600
2021-01-28,990.0,990.0,925.0,955.0,955.0,29200
2021-01-29,955.0,955.0,890.0,945.0,945.0,60500
2021-02-01,895.0,945.0,895.0,945.0,945.0,7700
2021-02-02,945.0,945.0,900.0,945.0,945.0,51000
2021-02-03,940.0,945.0,900.0,945.0,945.0,13800
2021-02-04,905.0,945.0,905.0,945.0,945.0,7500
2021-02-05,945.0,945.0,940.0,945.0,945.0,30100
2021-02-08,995.0,1000.0,975.0,1000.0,1000.0,15700
2021-02-09,1000.0,1000.0,950.0,960.0,960.0,10800
2021-02-10,1000.0,1000.0,970.0,995.0,995.0,1200
2021-02-11,995.0,995.0,970.0,995.0,995.0,500
2021-02-15,990.0,1000.0,985.0,985.0,985.0,101400
2021-02-16,1000.0,1000.0,985.0,985.0,985.0,10600
2021-02-17,985.0,985.0,950.0,975.0,975.0,4000
2021-02-18,975.0,1000.0,975.0,995.0,995.0,4700
2021-02-19,995.0,995.0,950.0,980.0,980.0,800
2021-02-22,980.0,1000.0,980.0,1000.0,1000.0,6200
2021-02-23,1000.0,1000.0,990.0,1000.0,1000.0,3700
2021-02-24,1000.0,1000.0,985.0,985.0,985.0,5100
2021-02-25,985.0,1000.0,985.0,985.0,985.0,15700
2021-02-26,975.0,1000.0,970.0,970.0,970.0,10400
2021-03-01,970.0,970.0,970.0,970.0,970.0,13100
2021-03-02,970.0,1000.0,970.0,1000.0,1000.0,25300
2021-03-03,1000.0,1000.0,935.0,995.0,995.0,138900
2021-03-04,970.0,970.0,970.0,970.0,970.0,600
2021-03-05,965.0,1000.0,965.0,990.0,990.0,9100
2021-03-08,1000.0,1015.0,985.0,990.0,990.0,81900
2021-03-09,1015.0,1015.0,980.0,980.0,980.0,50500
2021-03-10,980.0,1000.0,975.0,980.0,980.0,11400
2021-03-12,970.0,970.0,915.0,915.0,915.0,409000
2021-03-15,915.0,930.0,855.0,920.0,920.0,212100
2021-03-16,930.0,930.0,865.0,900.0,900.0,47900
2021-03-17,925.0,925.0,870.0,915.0,915.0,16400
2021-03-18,900.0,930.0,885.0,900.0,900.0,36000
2021-03-19,900.0,920.0,880.0,900.0,900.0,29200
2021-03-22,920.0,920.0,900.0,910.0,910.0,12600
2021-03-23,900.0,900.0,895.0,895.0,895.0,11300
2021-03-24,895.0,920.0,870.0,880.0,880.0,27900
2021-03-25,910.0,980.0,885.0,890.0,890.0,55600
2021-03-26,950.0,950.0,910.0,920.0,920.0,72500
2021-03-29,935.0,935.0,925.0,930.0,930.0,42400
2021-03-30,980.0,980.0,900.0,930.0,930.0,7100
2021-03-31,910.0,930.0,885.0,900.0,900.0,37600
2021-04-01,900.0,900.0,870.0,885.0,885.0,92000
2021-04-05,885.0,950.0,880.0,880.0,880.0,50000
2021-04-06,875.0,935.0,870.0,930.0,930.0,48600
2021-04-07,870.0,950.0,870.0,900.0,900.0,49200
2021-04-08,900.0,920.0,895.0,905.0,905.0,43300
2021-04-09,905.0,950.0,895.0,930.0,930.0,21900
2021-04-12,930.0,930.0,880.0,900.0,900.0,17600
2021-04-13,950.0,950.0,885.0,925.0,925.0,35600
