Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,252.5,263.75,233.75,263.75,262.3165588378906,256646000
2021-01-05,263.75,293.75,258.75,285.0,283.4510803222656,378274800
2021-01-06,286.25,290.0,266.25,275.0,273.50543212890625,261148400
2021-01-07,275.0,285.0,271.25,272.5,271.0190124511719,171527200
2021-01-08,271.25,280.0,271.25,273.75,272.26220703125,133216800
2021-01-11,275.0,283.75,273.75,275.0,273.50543212890625,115642800
2021-01-12,275.0,281.25,270.0,271.25,269.77581787109375,104633200
2021-01-13,271.25,278.75,268.75,277.5,275.9918518066406,160309200
2021-01-14,277.5,282.5,273.75,275.0,273.50543212890625,71746000
2021-01-15,275.0,278.75,272.5,275.0,273.50543212890625,89117600
2021-01-18,275.0,276.25,271.25,271.25,269.77581787109375,78407600
2021-01-19,271.25,276.25,263.75,266.25,264.802978515625,99638000
2021-01-20,266.25,287.5,265.0,286.25,284.69427490234375,258948000
2021-01-21,287.5,297.5,277.5,282.5,280.96466064453125,484985600
2021-01-22,282.5,283.75,270.0,272.5,271.0190124511719,152924400
2021-01-25,271.25,276.25,263.75,275.0,273.50543212890625,101371600
2021-01-26,275.0,285.0,268.75,276.25,274.7486267089844,181260800
2021-01-27,277.5,280.0,266.25,268.75,267.2893981933594,130641600
2021-01-28,268.75,283.75,256.25,256.25,254.85733032226562,218838800
2021-01-29,260.0,266.25,238.75,250.0,248.64129638671875,117470000
2021-02-01,247.5,253.75,232.5,248.75,247.39808654785156,248099600
2021-02-02,250.0,255.0,236.25,237.5,236.209228515625,124374000
2021-02-03,237.5,243.75,237.5,242.5,241.1820526123047,84176800
2021-02-04,242.5,253.75,240.0,248.75,247.39808654785156,181954400
2021-02-05,250.0,263.75,250.0,255.0,253.61412048339844,374053600
2021-02-08,256.25,257.5,252.5,255.0,253.61412048339844,136730400
2021-02-09,256.25,258.75,248.75,251.25,249.88450622558594,134699200
2021-02-10,252.5,256.25,250.0,252.5,251.12771606445312,62902000
2021-02-11,252.5,260.0,251.25,256.25,254.85733032226562,114477600
2021-02-15,257.5,305.0,256.25,301.25,299.6127624511719,624631200
2021-02-16,297.5,313.75,291.25,295.0,293.396728515625,282584800
2021-02-17,297.5,325.0,296.25,325.0,323.2336730957031,3014705600
2021-02-18,330.0,330.0,302.0,302.0,300.3586730957031,707858900
2021-02-19,294.0,294.0,282.0,282.0,280.4673767089844,414911500
2021-02-22,280.0,300.0,274.0,286.0,284.4456481933594,300816100
2021-02-23,290.0,300.0,286.0,292.0,290.41302490234375,297469300
2021-02-24,292.0,294.0,276.0,280.0,278.4782409667969,185625200
2021-02-25,280.0,288.0,278.0,280.0,278.4782409667969,136725200
2021-02-26,278.0,282.0,268.0,276.0,274.5,118398400
2021-03-01,276.0,280.0,272.0,274.0,272.5108642578125,85650700
2021-03-02,274.0,286.0,274.0,278.0,276.4891357421875,118144400
2021-03-03,278.0,280.0,272.0,274.0,272.5108642578125,48993400
2021-03-04,274.0,276.0,256.0,256.0,254.6086883544922,156959400
2021-03-05,254.0,264.0,248.0,258.0,256.5978088378906,107243400
2021-03-08,260.0,264.0,256.0,258.0,256.5978088378906,52414800
2021-03-09,260.0,262.0,250.0,254.0,252.6195526123047,53552400
2021-03-10,252.0,260.0,252.0,254.0,252.6195526123047,55895100
2021-03-12,254.0,262.0,254.0,262.0,260.5760803222656,85158500
2021-03-15,262.0,268.0,262.0,266.0,264.5543518066406,68906300
2021-03-16,268.0,270.0,260.0,260.0,258.5869445800781,45887300
2021-03-17,260.0,262.0,256.0,256.0,254.6086883544922,42586700
2021-03-18,258.0,266.0,256.0,260.0,258.5869445800781,59530200
2021-03-19,260.0,262.0,256.0,258.0,256.5978088378906,37440600
2021-03-22,258.0,262.0,256.0,260.0,258.5869445800781,38877300
2021-03-23,258.0,272.0,258.0,266.0,264.5543518066406,177265200
2021-03-24,266.0,268.0,256.0,258.0,256.5978088378906,74711800
2021-03-25,258.0,262.0,250.0,252.0,250.63043212890625,89577100
2021-03-26,252.0,258.0,250.0,254.0,252.6195526123047,46388200
2021-03-29,254.0,260.0,250.0,252.0,250.63043212890625,81375900
2021-03-30,254.0,254.0,244.0,246.0,244.6630401611328,63543500
2021-03-31,246.0,248.0,232.0,242.0,240.6847686767578,77525100
2021-04-01,244.0,248.0,242.0,246.0,244.6630401611328,52226200
2021-04-05,246.0,250.0,240.0,242.0,240.6847686767578,32883300
2021-04-06,244.0,250.0,240.0,244.0,242.6739044189453,61928700
2021-04-07,246.0,248.0,242.0,244.0,242.6739044189453,27685300
2021-04-08,244.0,250.0,242.0,250.0,248.64129638671875,40963400
2021-04-09,250.0,256.0,248.0,248.0,246.65216064453125,33143200
2021-04-12,248.0,252.0,242.0,242.0,240.6847686767578,24957100
2021-04-13,242.0,244.0,236.0,236.0,234.71739196777344,43847800
2021-04-14,236.0,242.0,234.0,238.0,236.70651245117188,47517000
2021-04-15,238.0,240.0,236.0,238.0,236.70651245117188,24813200
2021-04-16,238.0,240.0,236.0,238.0,236.70651245117188,30647800
2021-04-19,238.0,238.0,234.0,236.0,234.71739196777344,32160600
2021-04-20,236.0,238.0,228.0,234.0,232.72825622558594,42217400
2021-04-21,234.0,234.0,230.0,232.0,230.73912048339844,25126100
2021-04-22,232.0,232.0,228.0,230.0,228.75,27477900
2021-04-23,230.0,238.0,228.0,236.0,234.71739196777344,44801300
2021-04-26,238.0,252.0,236.0,248.0,246.65216064453125,124790900
2021-04-27,248.0,248.0,240.0,242.0,240.6847686767578,39528900
2021-04-28,242.0,246.0,242.0,242.0,240.6847686767578,24363100
2021-04-29,240.0,250.0,240.0,244.0,242.6739044189453,36082900
2021-04-30,244.0,248.0,242.0,242.0,240.6847686767578,20388200
2021-05-03,242.0,242.0,232.0,232.0,230.73912048339844,33443100
2021-05-04,238.0,238.0,230.0,232.0,230.73912048339844,25529800
2021-05-05,232.0,236.0,232.0,234.0,232.72825622558594,16288300
2021-05-06,236.0,244.0,230.0,240.0,238.69564819335938,79889400
2021-05-07,242.0,248.0,242.0,242.0,240.6847686767578,44469000
2021-05-10,242.0,246.0,236.0,238.0,236.70651245117188,24504400
2021-05-11,238.0,240.0,234.0,236.0,234.71739196777344,14232300
2021-05-17,236.0,238.0,228.0,230.0,228.75,38476400
2021-05-18,230.0,234.0,224.0,230.0,228.75,39796300
2021-05-19,230.0,230.0,224.0,226.0,224.771728515625,22020000
2021-05-20,226.0,228.0,218.0,222.0,220.79347229003906,26920200
2021-05-21,222.0,224.0,210.0,216.0,214.82608032226562,45955900
2021-05-24,216.0,218.0,204.0,206.0,204.88043212890625,39979900
2021-05-25,206.0,208.0,200.0,204.0,202.89129638671875,30797200
2021-05-27,204.0,210.0,204.0,206.0,204.88043212890625,19435300
2021-05-28,206.0,210.0,204.0,206.0,204.88043212890625,24264700
2021-05-31,208.0,208.0,204.0,208.0,206.8695526123047,55660100
2021-06-02,208.0,226.0,208.0,220.0,218.80433654785156,99500600
2021-06-03,220.0,222.0,214.0,218.0,216.81521606445312,31657200
2021-06-04,218.0,220.0,212.0,214.0,212.83694458007812,42643100
2021-06-07,214.0,216.0,210.0,214.0,212.83694458007812,35837800
2021-06-08,214.0,214.0,208.0,210.0,208.8586883544922,23951800
2021-06-09,210.0,212.0,206.0,208.0,206.8695526123047,25419000
2021-06-10,208.0,214.0,208.0,212.0,210.8478240966797,38131800
2021-06-11,214.0,214.0,210.0,212.0,210.8478240966797,32723100
2021-06-14,210.0,214.0,208.0,208.0,206.8695526123047,23255000
2021-06-15,206.0,212.0,204.0,208.0,206.8695526123047,26860600
2021-06-16,208.0,208.0,204.0,208.0,206.8695526123047,27103400
2021-06-17,208.0,208.0,202.0,206.0,204.88043212890625,28517700
2021-06-18,206.0,206.0,198.0,202.0,200.90216064453125,38340100
2021-06-21,200.0,202.0,194.0,195.0,193.94021606445312,34252000
2021-06-22,195.0,206.0,195.0,204.0,202.89129638671875,69342500
2021-06-23,204.0,208.0,199.0,199.0,197.91847229003906,39821600
2021-06-24,200.0,202.0,197.0,198.0,196.9239044189453,24537900
2021-06-25,198.0,202.0,196.0,198.0,196.9239044189453,30470800
2021-06-28,198.0,202.0,191.0,194.0,192.94564819335938,24874500
2021-06-29,194.0,198.0,192.0,194.0,192.94564819335938,23778700
2021-06-30,194.0,196.0,192.0,192.0,190.95651245117188,27900100
2021-07-01,192.0,193.0,188.0,191.0,189.96194458007812,28815900
2021-07-02,191.0,193.0,189.0,193.0,191.95108032226562,50116800
2021-07-05,193.0,196.0,190.0,191.0,189.96194458007812,31893400
2021-07-06,191.0,193.0,189.0,190.0,188.96739196777344,29095400
2021-07-07,190.0,202.0,190.0,194.0,192.94564819335938,114695200
2021-07-08,195.0,196.0,191.0,192.0,190.95651245117188,35934400
2021-07-09,192.0,194.0,190.0,191.0,189.96194458007812,24395900
2021-07-12,191.0,191.0,186.0,190.0,188.96739196777344,37948900
2021-07-13,190.0,191.0,184.0,189.0,187.9728240966797,39586300
2021-07-14,189.0,189.0,182.0,185.0,183.9945526123047,24332100
2021-07-15,185.0,186.0,180.0,184.0,183.0,32090800
2021-07-16,184.0,188.0,181.0,188.0,188.0,69827600
2021-07-19,189.0,190.0,184.0,186.0,186.0,38048900
2021-07-21,186.0,195.0,182.0,190.0,190.0,79591300
2021-07-22,190.0,194.0,189.0,191.0,191.0,41331200
2021-07-23,191.0,192.0,187.0,189.0,189.0,39179300
2021-07-26,189.0,199.0,188.0,199.0,199.0,92542600
2021-07-27,200.0,206.0,196.0,199.0,199.0,71326700
2021-07-28,199.0,204.0,196.0,198.0,198.0,52176400
2021-07-29,198.0,202.0,195.0,198.0,198.0,30983200
2021-07-30,198.0,200.0,191.0,191.0,191.0,40344300
2021-08-02,191.0,193.0,189.0,189.0,189.0,27220300
2021-08-03,190.0,191.0,188.0,189.0,189.0,31341900
2021-08-04,189.0,200.0,189.0,198.0,198.0,87582400
2021-08-05,198.0,204.0,193.0,195.0,195.0,31863400
2021-08-06,195.0,195.0,192.0,193.0,193.0,27995100
2021-08-09,193.0,199.0,192.0,193.0,193.0,47435900
2021-08-10,193.0,220.0,193.0,214.0,214.0,359322500
2021-08-12,216.0,218.0,202.0,202.0,202.0,93774200
2021-08-13,202.0,214.0,200.0,210.0,210.0,81780000
2021-08-16,214.0,214.0,200.0,206.0,206.0,61973800
2021-08-18,208.0,210.0,202.0,206.0,206.0,48819400
2021-08-19,206.0,208.0,192.0,192.0,192.0,103212000
2021-08-20,192.0,192.0,183.0,189.0,189.0,54194300
2021-08-23,189.0,194.0,188.0,193.0,193.0,33106900
2021-08-24,195.0,197.0,192.0,192.0,192.0,65220900
2021-08-25,192.0,195.0,192.0,193.0,193.0,39372800
2021-08-26,193.0,194.0,190.0,190.0,190.0,27318000
2021-08-27,191.0,191.0,188.0,188.0,188.0,31094700
2021-08-30,189.0,191.0,187.0,189.0,189.0,36065900
2021-08-31,189.0,191.0,188.0,191.0,191.0,31628400
2021-09-01,192.0,193.0,189.0,189.0,189.0,28601500
2021-09-02,190.0,192.0,190.0,191.0,191.0,29595600
2021-09-03,191.0,192.0,189.0,190.0,190.0,22647600
2021-09-06,190.0,195.0,190.0,195.0,195.0,77090000
2021-09-07,196.0,197.0,193.0,193.0,193.0,31856600
2021-09-08,194.0,195.0,192.0,193.0,193.0,30925600
2021-09-09,194.0,194.0,191.0,192.0,192.0,38132600
2021-09-10,192.0,194.0,190.0,190.0,190.0,26595300
2021-09-13,190.0,194.0,190.0,191.0,191.0,22756800
2021-09-14,192.0,195.0,191.0,195.0,195.0,43805500
2021-09-15,195.0,196.0,192.0,193.0,193.0,31137300
2021-09-16,193.0,195.0,190.0,191.0,191.0,30349500
2021-09-17,191.0,192.0,190.0,192.0,192.0,27328700
2021-09-20,192.0,193.0,191.0,192.0,192.0,18036300
2021-09-21,191.0,191.0,189.0,191.0,191.0,13242300
2021-09-22,190.0,191.0,190.0,190.0,190.0,4014400
2021-09-23,190.0,191.0,186.0,188.0,188.0,9984700
2021-09-24,188.0,189.0,186.0,188.0,188.0,6295800
2021-09-27,188.0,190.0,187.0,189.0,189.0,4632700
2021-09-28,189.0,190.0,186.0,187.0,187.0,7927800
2021-09-29,187.0,187.0,183.0,187.0,187.0,8347600
2021-09-30,188.0,188.0,186.0,188.0,188.0,19178300
2021-10-01,187.0,189.0,186.0,187.0,187.0,7486100
2021-10-04,187.0,190.0,187.0,190.0,190.0,8984700
2021-10-05,190.0,199.0,189.0,199.0,199.0,68131600
2021-10-06,199.0,204.0,194.0,194.0,194.0,50821300
2021-10-07,195.0,212.0,194.0,200.0,200.0,149039200
2021-10-08,202.0,202.0,196.0,199.0,199.0,33347500
2021-10-11,199.0,200.0,196.0,197.0,197.0,11520300
2021-10-12,197.0,200.0,195.0,199.0,199.0,26968000
2021-10-13,200.0,204.0,197.0,197.0,197.0,22866700
2021-10-14,197.0,202.0,196.0,200.0,200.0,35304900
2021-10-15,202.0,202.0,198.0,199.0,199.0,17338300
