Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,222.0,222.0,218.0,218.0,218.0,5404000
2021-12-02,218.0,218.0,212.0,214.0,214.0,6759100
2021-12-03,216.0,218.0,214.0,216.0,216.0,6305800
2021-12-06,216.0,216.0,212.0,214.0,214.0,7763300
2021-12-07,214.0,218.0,214.0,214.0,214.0,5754200
2021-12-08,214.0,220.0,214.0,218.0,218.0,7424700
2021-12-09,218.0,220.0,214.0,218.0,218.0,6086300
2021-12-10,218.0,218.0,216.0,218.0,218.0,2899500
2021-12-13,220.0,222.0,218.0,222.0,222.0,7580000
2021-12-14,222.0,224.0,218.0,218.0,218.0,5482100
2021-12-15,218.0,222.0,216.0,218.0,218.0,4319900
2021-12-16,220.0,222.0,216.0,218.0,218.0,4869800
2021-12-17,218.0,220.0,212.0,212.0,212.0,17034700
2021-12-20,212.0,214.0,208.0,210.0,210.0,12940400
2021-12-21,212.0,218.0,210.0,214.0,214.0,4173600
2021-12-22,214.0,214.0,210.0,210.0,210.0,3822900
2021-12-23,210.0,214.0,210.0,212.0,212.0,2490900
2021-12-24,212.0,218.0,212.0,218.0,218.0,4863400
2021-12-27,220.0,220.0,214.0,216.0,216.0,4926400
2021-12-28,216.0,222.0,214.0,218.0,218.0,6522300
2021-12-29,216.0,220.0,214.0,214.0,214.0,2747400
2021-12-30,214.0,218.0,212.0,212.0,212.0,5009500
2022-01-03,212.0,216.0,212.0,214.0,214.0,3809800
2022-01-04,214.0,218.0,214.0,216.0,216.0,1828200
2022-01-05,216.0,218.0,214.0,214.0,214.0,2292500
2022-01-06,216.0,216.0,212.0,212.0,212.0,2424600
2022-01-07,214.0,216.0,212.0,214.0,214.0,1438400
