Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,440.0,440.0,430.0,430.0,430.0,359200
2021-12-02,430.0,466.0,430.0,458.0,458.0,2219300
2021-12-03,460.0,460.0,446.0,450.0,450.0,784700
2021-12-06,450.0,464.0,450.0,460.0,460.0,852100
2021-12-07,470.0,470.0,450.0,454.0,454.0,428400
2021-12-08,454.0,458.0,452.0,456.0,456.0,171100
2021-12-09,456.0,462.0,452.0,462.0,462.0,941700
2021-12-10,462.0,464.0,452.0,456.0,456.0,187900
2021-12-13,458.0,464.0,448.0,456.0,456.0,725800
2021-12-14,462.0,462.0,448.0,456.0,456.0,584000
2021-12-15,456.0,460.0,430.0,442.0,442.0,518000
2021-12-16,448.0,450.0,436.0,448.0,448.0,176900
2021-12-17,446.0,448.0,442.0,442.0,442.0,59600
2021-12-20,450.0,450.0,438.0,448.0,448.0,65600
2021-12-21,448.0,448.0,438.0,444.0,444.0,78400
2021-12-22,450.0,452.0,438.0,440.0,440.0,97800
2021-12-23,438.0,440.0,434.0,434.0,434.0,385000
2021-12-24,436.0,440.0,430.0,432.0,432.0,148300
2021-12-27,432.0,448.0,432.0,434.0,434.0,307200
2021-12-28,438.0,444.0,436.0,438.0,438.0,129100
2021-12-29,438.0,448.0,438.0,440.0,440.0,64600
2021-12-30,440.0,442.0,438.0,440.0,440.0,83000
2022-01-03,440.0,442.0,432.0,438.0,438.0,109500
2022-01-04,438.0,442.0,432.0,440.0,440.0,153400
2022-01-05,440.0,444.0,436.0,444.0,444.0,166000
2022-01-06,444.0,444.0,438.0,438.0,438.0,58400
2022-01-07,442.0,446.0,438.0,444.0,444.0,75700
