Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,438.0,438.0,418.0,418.0,418.0,8857200
2021-12-02,418.0,446.0,410.0,442.0,442.0,10829200
2021-12-03,444.0,476.0,444.0,470.0,470.0,27055100
2021-12-06,470.0,474.0,452.0,454.0,454.0,9765100
2021-12-07,454.0,460.0,440.0,440.0,440.0,9675800
2021-12-08,440.0,444.0,416.0,424.0,424.0,16028400
2021-12-09,424.0,442.0,420.0,432.0,432.0,12100600
2021-12-10,436.0,450.0,434.0,436.0,436.0,8475000
2021-12-13,438.0,442.0,432.0,434.0,434.0,3538600
2021-12-14,434.0,442.0,432.0,432.0,432.0,4178400
2021-12-15,432.0,438.0,430.0,430.0,430.0,2429400
2021-12-16,430.0,434.0,416.0,422.0,422.0,7110000
2021-12-17,424.0,444.0,420.0,442.0,442.0,11640100
2021-12-20,440.0,454.0,434.0,452.0,452.0,14655300
2021-12-21,452.0,460.0,440.0,442.0,442.0,4624500
2021-12-22,442.0,456.0,432.0,432.0,432.0,3073500
2021-12-23,432.0,436.0,422.0,422.0,422.0,3967500
2021-12-24,424.0,432.0,424.0,424.0,424.0,1495600
2021-12-27,426.0,434.0,422.0,428.0,428.0,2373400
2021-12-28,428.0,434.0,424.0,424.0,424.0,969200
2021-12-29,424.0,430.0,420.0,420.0,420.0,2836400
2021-12-30,422.0,430.0,420.0,420.0,420.0,3437000
2022-01-03,420.0,426.0,418.0,420.0,420.0,1775800
2022-01-04,424.0,444.0,420.0,424.0,424.0,8261400
2022-01-05,426.0,436.0,422.0,424.0,424.0,4300500
2022-01-06,426.0,428.0,420.0,424.0,424.0,1797900
2022-01-07,424.0,428.0,418.0,418.0,418.0,4375800
