Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,76.0,76.0,71.0,76.0,76.0,332100
2021-01-05,76.0,76.0,71.0,73.0,73.0,267900
2021-01-06,77.0,77.0,72.0,73.0,73.0,72800
2021-01-07,73.0,73.0,72.0,72.0,72.0,92100
2021-01-08,72.0,74.0,69.0,70.0,70.0,279700
2021-01-11,70.0,70.0,68.0,69.0,69.0,539800
2021-01-12,70.0,70.0,65.0,65.0,65.0,750300
2021-01-13,65.0,69.0,64.0,65.0,65.0,150000
2021-01-14,70.0,70.0,63.0,64.0,64.0,270600
2021-01-15,64.0,65.0,63.0,65.0,65.0,118600
2021-01-18,65.0,65.0,63.0,63.0,63.0,288800
2021-01-19,63.0,66.0,60.0,61.0,61.0,357200
2021-01-20,61.0,61.0,58.0,59.0,59.0,377900
2021-01-21,59.0,62.0,57.0,62.0,62.0,130600
2021-01-22,62.0,83.0,62.0,83.0,83.0,24011100
2021-01-25,85.0,97.0,78.0,78.0,78.0,46377500
2021-01-26,73.0,82.0,73.0,73.0,73.0,5161000
2021-01-27,73.0,88.0,71.0,72.0,72.0,19756700
2021-01-28,72.0,73.0,67.0,67.0,67.0,1323400
2021-01-29,67.0,70.0,63.0,64.0,64.0,2744500
2021-02-01,65.0,65.0,60.0,61.0,61.0,920700
2021-02-02,61.0,69.0,58.0,65.0,65.0,1192100
2021-02-03,65.0,65.0,61.0,61.0,61.0,2223700
2021-02-04,61.0,64.0,58.0,63.0,63.0,194200
2021-02-05,63.0,63.0,60.0,61.0,61.0,150700
2021-02-08,61.0,65.0,61.0,63.0,63.0,2857000
2021-02-09,62.0,68.0,62.0,63.0,63.0,4452700
2021-02-10,63.0,65.0,62.0,64.0,64.0,2391600
2021-02-11,64.0,80.0,64.0,69.0,69.0,12886200
2021-02-15,69.0,80.0,68.0,80.0,80.0,5957800
2021-02-16,81.0,82.0,80.0,81.0,81.0,2621200
2021-02-17,81.0,90.0,81.0,83.0,83.0,2937100
2021-02-18,83.0,83.0,78.0,83.0,83.0,1491000
2021-02-19,83.0,88.0,81.0,81.0,81.0,380100
2021-02-22,81.0,81.0,78.0,78.0,78.0,308600
