Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,625.0,635.0,600.0,600.0,600.0,90500
2021-12-02,650.0,650.0,600.0,600.0,600.0,92900
2021-12-03,605.0,610.0,595.0,610.0,610.0,36700
2021-12-06,620.0,640.0,595.0,615.0,615.0,65300
2021-12-07,615.0,615.0,575.0,580.0,580.0,373100
2021-12-08,580.0,580.0,550.0,555.0,555.0,130400
2021-12-09,570.0,580.0,550.0,565.0,565.0,96100
2021-12-10,560.0,575.0,560.0,570.0,570.0,104900
2021-12-13,570.0,585.0,570.0,580.0,580.0,14500
2021-12-14,580.0,595.0,580.0,585.0,585.0,13000
2021-12-15,580.0,595.0,570.0,580.0,580.0,12700
2021-12-16,580.0,600.0,575.0,585.0,585.0,14000
2021-12-17,585.0,590.0,580.0,585.0,585.0,29300
2021-12-20,590.0,595.0,570.0,595.0,595.0,11500
2021-12-21,595.0,595.0,570.0,590.0,590.0,9500
2021-12-22,580.0,590.0,580.0,590.0,590.0,14700
2021-12-23,580.0,590.0,580.0,590.0,590.0,3500
2021-12-24,590.0,590.0,570.0,590.0,590.0,11600
2021-12-27,590.0,590.0,585.0,585.0,585.0,3400
2021-12-28,585.0,585.0,560.0,565.0,565.0,97400
2021-12-29,570.0,570.0,560.0,560.0,560.0,37700
2021-12-30,565.0,565.0,560.0,560.0,560.0,320200
2022-01-03,560.0,565.0,560.0,565.0,565.0,53200
2022-01-04,565.0,575.0,555.0,575.0,575.0,72200
2022-01-05,575.0,580.0,570.0,580.0,580.0,31000
2022-01-06,580.0,580.0,560.0,575.0,575.0,36700
2022-01-07,570.0,570.0,555.0,570.0,570.0,5100
