Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,102.0,121.0,100.0,115.0,115.0,47630000
2021-12-02,112.0,112.0,107.0,107.0,107.0,2628900
2021-12-03,107.0,109.0,101.0,101.0,101.0,7016900
2021-12-06,100.0,112.0,100.0,106.0,106.0,14291000
2021-12-07,105.0,109.0,101.0,102.0,102.0,6646700
2021-12-08,102.0,137.0,101.0,137.0,137.0,78870300
2021-12-09,145.0,150.0,128.0,128.0,128.0,59822500
2021-12-10,126.0,128.0,120.0,120.0,120.0,1614000
2021-12-13,115.0,118.0,112.0,112.0,112.0,19409400
2021-12-14,112.0,123.0,112.0,118.0,118.0,23885600
2021-12-15,125.0,125.0,114.0,118.0,118.0,3654200
2021-12-16,119.0,119.0,110.0,112.0,112.0,5173000
2021-12-17,112.0,140.0,109.0,139.0,139.0,74593900
2021-12-20,139.0,140.0,130.0,130.0,130.0,2506000
2021-12-21,121.0,148.0,121.0,141.0,141.0,134299200
2021-12-22,140.0,164.0,139.0,140.0,140.0,160391700
2021-12-23,140.0,149.0,131.0,131.0,131.0,34702600
2021-12-24,131.0,138.0,123.0,129.0,129.0,9657100
2021-12-27,131.0,138.0,126.0,134.0,134.0,9711600
2021-12-28,134.0,144.0,127.0,129.0,129.0,24638600
2021-12-29,130.0,135.0,127.0,128.0,128.0,14941800
2021-12-30,128.0,133.0,125.0,125.0,125.0,5386700
2022-01-03,125.0,155.0,125.0,141.0,141.0,120178700
2022-01-04,142.0,143.0,133.0,134.0,134.0,13180400
2022-01-05,134.0,141.0,127.0,130.0,130.0,16003900
2022-01-06,130.0,152.0,127.0,151.0,151.0,84793200
2022-01-07,152.0,170.0,141.0,169.0,169.0,74336900
