Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,1790.0,1790.0,1760.0,1760.0,1760.0,7000
2021-12-02,1760.0,1760.0,1760.0,1760.0,1760.0,100
2021-12-03,1760.0,1760.0,1760.0,1760.0,1760.0,0
2021-12-09,1745.0,1765.0,1745.0,1765.0,1765.0,1300
2021-12-10,1775.0,1785.0,1765.0,1785.0,1785.0,1800
2021-12-13,1785.0,1815.0,1785.0,1785.0,1785.0,1200
2021-12-14,1785.0,1785.0,1785.0,1785.0,1785.0,0
2021-12-15,1790.0,1800.0,1785.0,1790.0,1790.0,2200
2021-12-16,1790.0,1790.0,1790.0,1790.0,1790.0,0
2021-12-30,1790.0,1790.0,1790.0,1790.0,1790.0,100
2022-01-07,1780.0,1780.0,1780.0,1780.0,1780.0,300
