Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,193.0,193.0,193.0,193.0,193.0,100
2021-01-05,196.0,200.0,196.0,199.0,199.0,2600
2021-01-06,199.0,204.0,198.0,198.0,198.0,4100
2021-01-07,198.0,200.0,196.0,198.0,198.0,1569700
2021-01-08,199.0,202.0,197.0,200.0,200.0,3770300
2021-01-11,202.0,202.0,196.0,196.0,196.0,2517800
2021-01-12,196.0,198.0,195.0,198.0,198.0,1711800
2021-01-13,198.0,198.0,194.0,194.0,194.0,798500
2021-01-14,195.0,196.0,193.0,196.0,196.0,453800
2021-01-15,195.0,195.0,193.0,193.0,193.0,263600
2021-01-18,193.0,193.0,188.0,193.0,193.0,880800
2021-01-19,193.0,199.0,185.0,199.0,199.0,393100
2021-01-20,199.0,199.0,186.0,197.0,197.0,72200
2021-01-21,197.0,197.0,191.0,196.0,196.0,1300
2021-01-22,194.0,194.0,190.0,193.0,193.0,132100
2021-01-25,193.0,193.0,182.0,185.0,185.0,27500
2021-01-26,185.0,185.0,178.0,180.0,180.0,52000
2021-01-27,180.0,184.0,175.0,175.0,175.0,5632700
2021-01-28,175.0,175.0,174.0,174.0,174.0,5775600
2021-01-29,172.0,172.0,162.0,170.0,170.0,5967000
2021-02-01,170.0,170.0,162.0,169.0,169.0,5950700
2021-02-02,169.0,175.0,168.0,169.0,169.0,38204300
2021-02-03,166.0,172.0,160.0,162.0,162.0,50921100
2021-02-04,160.0,200.0,151.0,179.0,179.0,188600
2021-02-05,179.0,182.0,167.0,167.0,167.0,164500
2021-02-08,167.0,197.0,156.0,156.0,156.0,363700
2021-02-09,157.0,169.0,152.0,169.0,169.0,76900
2021-02-10,166.0,170.0,160.0,170.0,170.0,67800
2021-02-11,168.0,170.0,161.0,163.0,163.0,36100
2021-02-15,163.0,165.0,155.0,160.0,160.0,70500
2021-02-16,163.0,163.0,153.0,161.0,161.0,7300
2021-02-17,161.0,161.0,153.0,153.0,153.0,25600
2021-02-18,153.0,155.0,152.0,153.0,153.0,29100
2021-02-19,152.0,160.0,146.0,160.0,160.0,86700
2021-02-22,160.0,160.0,149.0,157.0,157.0,128000
2021-02-23,148.0,160.0,148.0,160.0,160.0,59800
2021-02-24,150.0,177.0,150.0,168.0,168.0,57900
2021-02-25,168.0,168.0,159.0,167.0,167.0,41400
2021-02-26,167.0,176.0,160.0,176.0,176.0,127400
2021-03-01,176.0,176.0,174.0,174.0,174.0,14900
2021-03-02,173.0,177.0,166.0,177.0,177.0,93100
2021-03-03,177.0,177.0,169.0,169.0,169.0,23200
2021-03-04,169.0,169.0,164.0,169.0,169.0,13700
2021-03-05,164.0,168.0,158.0,168.0,168.0,18800
2021-03-08,163.0,167.0,159.0,159.0,159.0,24100
2021-03-09,149.0,160.0,149.0,159.0,159.0,3700
2021-03-10,159.0,159.0,159.0,159.0,159.0,0
2021-03-12,150.0,165.0,148.0,149.0,149.0,461000
2021-03-15,149.0,149.0,148.0,149.0,149.0,41700
2021-03-16,149.0,149.0,147.0,148.0,148.0,41200
2021-03-17,148.0,148.0,147.0,147.0,147.0,29800
2021-03-18,147.0,150.0,147.0,150.0,150.0,9700
2021-03-19,150.0,160.0,149.0,150.0,150.0,82000
2021-03-22,150.0,155.0,144.0,144.0,144.0,39500
2021-03-23,144.0,149.0,143.0,143.0,143.0,238900
2021-03-24,143.0,147.0,140.0,147.0,147.0,13100
2021-03-25,157.0,157.0,140.0,140.0,140.0,32700
2021-03-26,140.0,144.0,140.0,144.0,144.0,1600
2021-03-29,140.0,149.0,140.0,149.0,149.0,8700
2021-03-30,150.0,155.0,148.0,155.0,155.0,64500
2021-03-31,154.0,160.0,150.0,160.0,160.0,20200
2021-04-01,154.0,160.0,149.0,160.0,160.0,123300
2021-04-05,150.0,163.0,150.0,159.0,159.0,38900
2021-04-06,164.0,164.0,151.0,159.0,159.0,20200
2021-04-07,164.0,167.0,154.0,167.0,167.0,161400
2021-04-08,165.0,167.0,156.0,164.0,164.0,104200
2021-04-09,154.0,170.0,154.0,156.0,156.0,36900
2021-04-12,156.0,156.0,151.0,155.0,155.0,2500
2021-04-13,155.0,159.0,155.0,156.0,156.0,2500
2021-04-14,165.0,165.0,156.0,158.0,158.0,10800
2021-04-15,158.0,172.0,158.0,172.0,172.0,24500
2021-04-16,170.0,170.0,170.0,170.0,170.0,111100
2021-04-19,170.0,170.0,170.0,170.0,170.0,47500
2021-04-20,166.0,170.0,166.0,170.0,170.0,800
2021-04-21,165.0,170.0,161.0,161.0,161.0,10100
2021-04-22,166.0,166.0,159.0,161.0,161.0,11500
2021-04-23,161.0,161.0,161.0,161.0,161.0,3200
2021-04-26,159.0,165.0,158.0,165.0,165.0,173500
2021-04-27,160.0,170.0,159.0,170.0,170.0,31500
2021-04-28,170.0,170.0,160.0,170.0,170.0,56200
2021-04-29,170.0,170.0,165.0,170.0,170.0,52600
2021-04-30,170.0,170.0,165.0,165.0,165.0,21400
2021-05-03,166.0,166.0,154.0,163.0,163.0,197100
2021-05-04,162.0,163.0,158.0,163.0,163.0,13100
2021-05-05,161.0,163.0,161.0,163.0,163.0,16800
2021-05-06,163.0,163.0,163.0,163.0,163.0,100
2021-05-07,158.0,163.0,158.0,163.0,163.0,1100
2021-05-10,163.0,163.0,158.0,163.0,163.0,17300
2021-05-11,160.0,160.0,154.0,154.0,154.0,117500
2021-05-17,154.0,154.0,150.0,150.0,150.0,6200
2021-05-18,149.0,150.0,149.0,150.0,150.0,18200
2021-05-19,150.0,150.0,150.0,150.0,150.0,148700
2021-05-20,151.0,161.0,150.0,161.0,161.0,2300
2021-05-21,161.0,161.0,154.0,160.0,160.0,15300
2021-05-24,154.0,165.0,154.0,165.0,165.0,51900
2021-05-25,162.0,162.0,159.0,161.0,161.0,3000
2021-05-27,161.0,161.0,157.0,157.0,157.0,1500
2021-05-28,167.0,170.0,159.0,166.0,166.0,96900
2021-05-31,166.0,180.0,162.0,180.0,180.0,707600
2021-06-02,174.0,179.0,169.0,179.0,179.0,184000
2021-06-03,173.0,179.0,170.0,170.0,170.0,34800
2021-06-04,169.0,170.0,169.0,170.0,170.0,2800
2021-06-07,176.0,176.0,160.0,160.0,160.0,46600
2021-06-08,170.0,170.0,159.0,168.0,168.0,8600
2021-06-09,168.0,168.0,162.0,168.0,168.0,254400
2021-06-10,172.0,172.0,172.0,172.0,172.0,500
2021-06-11,172.0,172.0,166.0,171.0,171.0,13100
2021-06-14,171.0,171.0,165.0,171.0,171.0,1100
2021-06-15,169.0,169.0,162.0,162.0,162.0,15200
2021-06-16,162.0,162.0,162.0,162.0,162.0,496400
2021-06-17,160.0,180.0,154.0,180.0,180.0,85700
2021-06-18,178.0,178.0,169.0,176.0,176.0,87800
2021-06-21,170.0,179.0,169.0,179.0,179.0,50900
2021-06-22,170.0,179.0,170.0,179.0,179.0,35800
2021-06-23,181.0,183.0,170.0,170.0,170.0,181600
2021-06-24,165.0,170.0,165.0,170.0,170.0,1300
2021-06-25,163.0,179.0,159.0,165.0,165.0,177100
2021-06-28,165.0,165.0,158.0,165.0,165.0,300
2021-06-29,155.0,165.0,155.0,165.0,165.0,800
2021-06-30,165.0,175.0,165.0,175.0,175.0,25400
2021-07-01,175.0,175.0,167.0,173.0,173.0,21300
2021-07-02,173.0,173.0,173.0,173.0,173.0,100
