Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,565.0,565.0,550.0,555.0,555.0,4513100
2021-12-02,555.0,560.0,550.0,560.0,560.0,1165400
2021-12-03,560.0,565.0,550.0,550.0,550.0,1542500
2021-12-06,550.0,585.0,550.0,570.0,570.0,9836500
2021-12-07,570.0,580.0,555.0,570.0,570.0,3070000
2021-12-08,570.0,575.0,550.0,550.0,550.0,4819800
2021-12-09,550.0,565.0,545.0,550.0,550.0,4417700
2021-12-10,550.0,565.0,550.0,550.0,550.0,1740800
2021-12-13,555.0,570.0,550.0,560.0,560.0,3902300
2021-12-14,565.0,565.0,550.0,555.0,555.0,1120500
2021-12-15,570.0,580.0,560.0,565.0,565.0,7805700
2021-12-16,565.0,570.0,555.0,555.0,555.0,2764200
2021-12-17,555.0,565.0,550.0,555.0,555.0,1166200
2021-12-20,555.0,555.0,540.0,545.0,545.0,4029300
2021-12-21,545.0,550.0,520.0,530.0,530.0,13947100
2021-12-22,525.0,535.0,520.0,520.0,520.0,2354300
2021-12-23,515.0,525.0,510.0,515.0,515.0,2255100
2021-12-24,520.0,520.0,500.0,500.0,500.0,5214100
2021-12-27,500.0,505.0,496.0,500.0,500.0,4232500
2021-12-28,500.0,520.0,500.0,510.0,510.0,2417300
2021-12-29,510.0,525.0,505.0,520.0,520.0,4182200
2021-12-30,520.0,520.0,510.0,515.0,515.0,1032800
2022-01-03,515.0,525.0,510.0,515.0,515.0,1237200
2022-01-04,515.0,525.0,500.0,520.0,520.0,1996600
2022-01-05,520.0,535.0,520.0,520.0,520.0,3222400
2022-01-06,520.0,530.0,510.0,520.0,520.0,1280400
2022-01-07,520.0,545.0,515.0,540.0,540.0,2945200
