Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,157.0,190.0,150.0,188.0,182.5977020263672,41820600
2021-01-05,188.0,198.0,185.0,193.0,187.4540252685547,51849600
2021-01-06,193.0,194.0,186.0,190.0,184.54022216796875,12452100
2021-01-07,199.0,202.0,189.0,196.0,190.36781311035156,49739500
2021-01-08,196.0,204.0,193.0,194.0,188.42529296875,12863500
2021-01-11,194.0,200.0,181.0,190.0,184.54022216796875,24040000
2021-01-12,190.0,190.0,179.0,185.0,179.6839141845703,13601900
2021-01-13,185.0,185.0,180.0,184.0,178.712646484375,4811200
2021-01-14,184.0,188.0,179.0,180.0,174.8275909423828,5006800
2021-01-15,185.0,189.0,178.0,185.0,179.6839141845703,8508900
2021-01-18,185.0,187.0,179.0,181.0,175.79884338378906,4593300
2021-01-19,181.0,181.0,172.0,173.0,168.0287322998047,2620100
2021-01-20,173.0,173.0,171.0,171.0,166.08621215820312,1313200
2021-01-21,171.0,185.0,171.0,185.0,179.6839141845703,5295500
2021-01-22,187.0,188.0,173.0,176.0,170.94253540039062,3460600
2021-01-25,176.0,181.0,172.0,173.0,168.0287322998047,1134000
2021-01-26,173.0,179.0,171.0,175.0,169.9712677001953,5994700
2021-01-27,175.0,176.0,164.0,167.0,162.20114135742188,2167800
2021-01-28,165.0,165.0,156.0,156.0,151.51724243164062,2510000
2021-01-29,156.0,170.0,151.0,156.0,151.51724243164062,4681000
2021-02-01,156.0,174.0,156.0,174.0,169.0,9880900
2021-02-02,174.0,174.0,166.0,167.0,162.20114135742188,761100
2021-02-03,167.0,176.0,167.0,170.0,165.1149444580078,6925700
2021-02-04,171.0,177.0,168.0,170.0,165.1149444580078,5921600
2021-02-05,170.0,171.0,165.0,167.0,162.20114135742188,1085400
2021-02-08,167.0,173.0,164.0,165.0,160.2586212158203,7852400
2021-02-09,166.0,170.0,164.0,165.0,160.2586212158203,4850300
2021-02-10,165.0,171.0,165.0,171.0,166.08621215820312,5167000
2021-02-11,172.0,177.0,171.0,175.0,169.9712677001953,7198400
2021-02-15,175.0,180.0,173.0,174.0,169.0,4101500
2021-02-16,174.0,178.0,172.0,175.0,169.9712677001953,4316900
2021-02-17,175.0,177.0,172.0,176.0,170.94253540039062,9531400
2021-02-18,176.0,188.0,174.0,176.0,170.94253540039062,26192100
2021-02-19,176.0,181.0,168.0,171.0,166.08621215820312,13630500
2021-02-22,172.0,174.0,168.0,169.0,164.1436767578125,7081100
2021-02-23,169.0,172.0,161.0,164.0,159.287353515625,7398900
2021-02-24,164.0,178.0,164.0,172.0,167.05746459960938,22923400
2021-02-25,173.0,174.0,168.0,168.0,163.1724090576172,3500100
2021-02-26,167.0,168.0,160.0,162.0,157.34483337402344,5599200
2021-03-01,162.0,167.0,161.0,165.0,160.2586212158203,7723100
2021-03-02,166.0,169.0,163.0,166.0,161.22988891601562,4753000
2021-03-03,166.0,168.0,163.0,165.0,160.2586212158203,3265700
2021-03-04,165.0,165.0,162.0,164.0,159.287353515625,4338000
2021-03-05,162.0,165.0,157.0,158.0,153.4597625732422,3550800
2021-03-08,158.0,172.0,158.0,161.0,156.37356567382812,7386900
2021-03-09,161.0,165.0,150.0,155.0,150.5459747314453,4296100
2021-03-10,156.0,159.0,155.0,159.0,154.4310302734375,5085100
2021-03-12,159.0,163.0,158.0,159.0,154.4310302734375,6436700
2021-03-15,159.0,163.0,158.0,160.0,155.4022979736328,5783100
2021-03-16,160.0,162.0,158.0,159.0,154.4310302734375,4609100
2021-03-17,159.0,159.0,157.0,159.0,154.4310302734375,4359400
2021-03-18,159.0,159.0,156.0,159.0,154.4310302734375,4856300
2021-03-19,159.0,159.0,155.0,156.0,151.51724243164062,3960300
2021-03-22,156.0,157.0,154.0,156.0,151.51724243164062,3232400
2021-03-23,155.0,159.0,155.0,157.0,152.48851013183594,9338400
2021-03-24,157.0,158.0,154.0,154.0,149.57470703125,6998900
2021-03-25,155.0,159.0,154.0,156.0,151.51724243164062,6990700
2021-03-26,156.0,157.0,156.0,156.0,151.51724243164062,60700
2021-03-29,157.0,159.0,155.0,155.0,150.5459747314453,4414900
2021-03-30,155.0,156.0,154.0,155.0,150.5459747314453,5772100
2021-03-31,156.0,187.0,156.0,176.0,170.94253540039062,38994800
2021-04-01,178.0,178.0,164.0,164.0,159.287353515625,9298000
2021-04-05,163.0,165.0,154.0,160.0,155.4022979736328,3716700
2021-04-06,160.0,163.0,154.0,155.0,150.5459747314453,2141800
2021-04-07,155.0,161.0,155.0,157.0,152.48851013183594,1125400
2021-04-08,157.0,160.0,156.0,159.0,154.4310302734375,486300
2021-04-09,159.0,167.0,157.0,167.0,162.20114135742188,9593400
2021-04-12,168.0,170.0,162.0,163.0,158.3160858154297,1611200
2021-04-13,164.0,167.0,153.0,155.0,150.5459747314453,6211100
2021-04-14,155.0,162.0,154.0,160.0,155.4022979736328,3753800
2021-04-15,158.0,160.0,155.0,158.0,153.4597625732422,595000
2021-04-16,157.0,158.0,155.0,157.0,152.48851013183594,524500
2021-04-19,156.0,162.0,156.0,158.0,153.4597625732422,1993700
2021-04-20,160.0,165.0,158.0,164.0,159.287353515625,2578800
2021-04-21,164.0,175.0,159.0,169.0,164.1436767578125,14829300
2021-04-22,169.0,170.0,161.0,161.0,156.37356567382812,1055500
2021-04-23,161.0,169.0,161.0,162.0,157.34483337402344,1607600
2021-04-26,162.0,167.0,160.0,164.0,159.287353515625,914900
2021-04-27,165.0,167.0,162.0,163.0,158.3160858154297,1911000
2021-04-28,163.0,170.0,163.0,164.0,159.287353515625,1211500
2021-04-29,164.0,165.0,161.0,163.0,158.3160858154297,826300
2021-04-30,163.0,169.0,163.0,166.0,161.22988891601562,1075000
2021-05-03,167.0,191.0,166.0,181.0,175.79884338378906,30033200
2021-05-04,185.0,197.0,175.0,183.0,177.7413787841797,23150400
2021-05-05,183.0,186.0,171.0,174.0,169.0,10173800
2021-05-06,171.0,175.0,166.0,174.0,174.0,6141700
2021-05-07,174.0,178.0,170.0,171.0,171.0,2137200
2021-05-10,171.0,172.0,167.0,169.0,169.0,1777700
2021-05-11,170.0,170.0,160.0,170.0,170.0,3836300
2021-05-17,170.0,176.0,167.0,171.0,171.0,2355000
2021-05-18,171.0,171.0,164.0,168.0,168.0,903300
2021-05-19,168.0,170.0,163.0,168.0,168.0,2274500
2021-05-20,169.0,180.0,168.0,177.0,177.0,24543700
2021-05-21,181.0,188.0,169.0,172.0,172.0,6559800
2021-05-24,174.0,175.0,167.0,167.0,167.0,2302100
2021-05-25,167.0,173.0,165.0,173.0,173.0,1663900
2021-05-27,173.0,173.0,167.0,171.0,171.0,1494700
2021-05-28,171.0,172.0,168.0,171.0,171.0,6117900
2021-05-31,172.0,172.0,168.0,170.0,170.0,1121000
2021-06-02,170.0,171.0,168.0,169.0,169.0,477100
2021-06-03,169.0,175.0,169.0,172.0,172.0,2768800
2021-06-04,172.0,172.0,167.0,168.0,168.0,1901300
2021-06-07,168.0,168.0,165.0,165.0,165.0,1385100
2021-06-08,165.0,165.0,161.0,163.0,163.0,1316800
2021-06-09,163.0,163.0,156.0,156.0,156.0,3431500
2021-06-10,156.0,161.0,156.0,158.0,158.0,973600
2021-06-11,158.0,160.0,156.0,158.0,158.0,1233900
2021-06-14,158.0,164.0,158.0,164.0,164.0,24543000
2021-06-15,165.0,173.0,164.0,171.0,171.0,12889000
2021-06-16,171.0,178.0,166.0,166.0,166.0,2527100
2021-06-17,165.0,165.0,160.0,161.0,161.0,1268600
2021-06-18,162.0,165.0,158.0,160.0,160.0,1331000
2021-06-21,160.0,160.0,155.0,158.0,158.0,1290400
2021-06-22,158.0,168.0,158.0,165.0,165.0,30154100
2021-06-23,165.0,170.0,161.0,162.0,162.0,2491200
2021-06-24,167.0,168.0,158.0,161.0,161.0,607100
2021-06-25,165.0,166.0,160.0,162.0,162.0,1278100
2021-06-28,160.0,162.0,159.0,160.0,160.0,430200
2021-06-29,160.0,164.0,158.0,161.0,161.0,1029800
2021-06-30,162.0,165.0,156.0,158.0,158.0,2904000
2021-07-01,158.0,162.0,158.0,160.0,160.0,662600
2021-07-02,160.0,160.0,158.0,158.0,158.0,323300
2021-07-05,160.0,160.0,156.0,156.0,156.0,465300
2021-07-06,156.0,160.0,155.0,160.0,160.0,650200
2021-07-07,159.0,160.0,157.0,159.0,159.0,292200
2021-07-08,159.0,159.0,157.0,159.0,159.0,368100
2021-07-09,159.0,159.0,154.0,159.0,159.0,24221900
2021-07-12,161.0,161.0,157.0,159.0,159.0,763500
2021-07-13,159.0,159.0,157.0,157.0,157.0,392600
2021-07-14,157.0,157.0,153.0,154.0,154.0,656100
2021-07-15,154.0,159.0,153.0,154.0,154.0,209500
2021-07-16,154.0,155.0,150.0,153.0,153.0,875000
2021-07-19,154.0,156.0,151.0,155.0,155.0,474000
2021-07-21,156.0,156.0,154.0,155.0,155.0,143800
2021-07-22,155.0,156.0,153.0,154.0,154.0,1460900
2021-07-23,156.0,156.0,150.0,153.0,153.0,654600
2021-07-26,153.0,155.0,150.0,152.0,152.0,802000
2021-07-27,152.0,156.0,151.0,154.0,154.0,886900
2021-07-28,155.0,156.0,152.0,153.0,153.0,407100
2021-07-29,154.0,156.0,152.0,152.0,152.0,608900
2021-07-30,155.0,155.0,151.0,152.0,152.0,454900
2021-08-02,152.0,155.0,152.0,154.0,154.0,279500
2021-08-03,154.0,155.0,152.0,154.0,154.0,259900
2021-08-04,150.0,155.0,150.0,155.0,155.0,335200
2021-08-05,155.0,163.0,155.0,162.0,162.0,2263000
2021-08-06,162.0,163.0,157.0,157.0,157.0,1293400
2021-08-09,157.0,160.0,154.0,155.0,155.0,326000
2021-08-10,155.0,156.0,152.0,154.0,154.0,1067600
2021-08-12,154.0,154.0,152.0,154.0,154.0,499200
2021-08-13,154.0,155.0,153.0,155.0,155.0,115200
2021-08-16,156.0,160.0,155.0,158.0,158.0,451600
2021-08-18,159.0,174.0,159.0,166.0,166.0,10022700
2021-08-19,167.0,171.0,163.0,163.0,163.0,5577700
2021-08-20,163.0,170.0,163.0,166.0,166.0,1294500
2021-08-23,166.0,171.0,166.0,169.0,169.0,1615300
2021-08-24,169.0,170.0,160.0,162.0,162.0,1542900
2021-08-25,162.0,169.0,160.0,163.0,163.0,1708500
2021-08-26,163.0,163.0,159.0,159.0,159.0,1051000
2021-08-27,159.0,160.0,154.0,154.0,154.0,1393200
2021-08-30,154.0,159.0,152.0,158.0,158.0,1178300
2021-08-31,158.0,199.0,156.0,190.0,190.0,42649500
2021-09-01,193.0,193.0,177.0,177.0,177.0,27387100
2021-09-02,177.0,182.0,167.0,178.0,178.0,11150700
2021-09-03,183.0,197.0,166.0,166.0,166.0,142049800
2021-09-06,172.0,172.0,159.0,165.0,165.0,7544700
2021-09-07,165.0,176.0,164.0,174.0,174.0,19272200
2021-09-08,174.0,174.0,166.0,169.0,169.0,7349800
2021-09-09,169.0,172.0,164.0,167.0,167.0,5945900
2021-09-10,167.0,171.0,165.0,167.0,167.0,3969400
2021-09-13,168.0,169.0,166.0,169.0,169.0,2184200
2021-09-14,169.0,179.0,167.0,179.0,179.0,25153000
2021-09-15,181.0,181.0,169.0,172.0,172.0,12706900
2021-09-16,172.0,174.0,169.0,172.0,172.0,2605300
2021-09-17,172.0,173.0,168.0,169.0,169.0,1924500
2021-09-20,170.0,181.0,168.0,170.0,170.0,27471800
2021-09-21,173.0,173.0,165.0,167.0,167.0,7241500
2021-09-22,166.0,169.0,165.0,166.0,166.0,2019400
2021-09-23,167.0,171.0,166.0,168.0,168.0,4416900
2021-09-24,168.0,170.0,167.0,167.0,167.0,2196100
2021-09-27,167.0,169.0,165.0,165.0,165.0,2287200
2021-09-28,167.0,167.0,162.0,166.0,166.0,2124800
2021-09-29,164.0,166.0,156.0,163.0,163.0,3949700
2021-09-30,162.0,167.0,161.0,163.0,163.0,1766400
2021-10-01,163.0,166.0,158.0,162.0,162.0,2478700
2021-10-04,162.0,163.0,157.0,162.0,162.0,2100300
2021-10-05,162.0,163.0,160.0,161.0,161.0,611100
2021-10-06,162.0,172.0,160.0,172.0,172.0,12795300
2021-10-07,169.0,169.0,161.0,163.0,163.0,6892100
2021-10-08,164.0,165.0,162.0,162.0,162.0,1214900
2021-10-11,162.0,166.0,162.0,162.0,162.0,2112000
2021-10-12,163.0,164.0,161.0,162.0,162.0,2954600
2021-10-13,162.0,164.0,161.0,161.0,161.0,1673400
2021-10-14,162.0,164.0,161.0,162.0,162.0,866000
2021-10-15,162.0,164.0,161.0,163.0,163.0,801000
2021-10-18,163.0,164.0,162.0,164.0,164.0,433100
2021-10-19,164.0,164.0,162.0,164.0,164.0,923300
2021-10-21,165.0,166.0,162.0,166.0,166.0,1657000
2021-10-22,166.0,167.0,163.0,163.0,163.0,1094200
2021-10-25,163.0,166.0,163.0,164.0,164.0,3894200
2021-10-26,165.0,167.0,164.0,165.0,165.0,1440600
2021-10-27,165.0,167.0,163.0,164.0,164.0,1026200
2021-10-28,164.0,166.0,163.0,163.0,163.0,529700
2021-10-29,163.0,198.0,161.0,167.0,167.0,51792700
2021-11-01,169.0,169.0,164.0,165.0,165.0,2746800
