Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,230.0,230.0,224.0,224.0,224.0,4909600
2021-12-02,224.0,224.0,214.0,220.0,220.0,8311500
2021-12-03,220.0,232.0,220.0,224.0,224.0,126865300
2021-12-06,224.0,226.0,214.0,216.0,216.0,13850500
2021-12-07,216.0,218.0,212.0,214.0,214.0,9423800
2021-12-08,214.0,216.0,210.0,214.0,214.0,5883000
2021-12-09,214.0,222.0,210.0,218.0,218.0,21602800
2021-12-10,238.0,238.0,214.0,216.0,216.0,9164400
2021-12-13,216.0,216.0,212.0,214.0,214.0,7324300
2021-12-14,214.0,214.0,206.0,208.0,208.0,13890000
2021-12-15,208.0,208.0,199.0,200.0,200.0,16495200
2021-12-16,200.0,202.0,191.0,197.0,197.0,15206500
2021-12-17,197.0,198.0,189.0,189.0,189.0,8080400
2021-12-20,189.0,189.0,183.0,186.0,186.0,7399300
2021-12-21,186.0,186.0,180.0,183.0,183.0,6150100
2021-12-22,186.0,187.0,181.0,184.0,184.0,13424800
2021-12-23,184.0,184.0,175.0,180.0,180.0,6022500
2021-12-24,180.0,184.0,179.0,181.0,181.0,6040600
2021-12-27,181.0,186.0,180.0,184.0,184.0,5300400
2021-12-28,185.0,187.0,180.0,182.0,182.0,6937000
2021-12-29,183.0,208.0,177.0,180.0,180.0,282457100
2021-12-30,181.0,182.0,168.0,168.0,168.0,65661800
2022-01-03,168.0,169.0,157.0,157.0,157.0,23262500
2022-01-04,156.0,156.0,147.0,147.0,147.0,40905400
2022-01-05,147.0,147.0,137.0,137.0,137.0,10366400
2022-01-06,129.0,129.0,128.0,128.0,128.0,4582000
2022-01-07,120.0,126.0,120.0,120.0,120.0,45735500
