Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,525.0,545.0,525.0,535.0,535.0,3600
2021-01-05,535.0,560.0,535.0,560.0,560.0,5700
2021-01-06,570.0,580.0,545.0,575.0,575.0,154100
2021-01-07,580.0,605.0,575.0,580.0,580.0,76000
2021-01-08,575.0,625.0,575.0,605.0,605.0,64600
2021-01-11,610.0,690.0,610.0,675.0,675.0,565300
2021-01-12,675.0,695.0,675.0,690.0,690.0,139200
2021-01-13,685.0,700.0,670.0,670.0,670.0,110000
2021-01-14,670.0,700.0,650.0,650.0,650.0,44000
2021-01-15,690.0,690.0,615.0,635.0,635.0,14900
2021-01-18,620.0,650.0,620.0,620.0,620.0,27100
2021-01-19,620.0,630.0,580.0,580.0,580.0,47000
2021-01-20,630.0,695.0,630.0,690.0,690.0,177300
2021-01-21,690.0,695.0,680.0,695.0,695.0,17799000
2021-01-22,695.0,700.0,690.0,690.0,690.0,3664200
2021-01-25,690.0,725.0,645.0,675.0,675.0,69500
2021-01-26,675.0,675.0,640.0,640.0,640.0,165400
2021-01-27,640.0,680.0,610.0,660.0,660.0,86300
2021-01-28,665.0,665.0,615.0,620.0,620.0,133600
2021-01-29,600.0,725.0,600.0,695.0,695.0,100400
2021-02-01,690.0,695.0,650.0,665.0,665.0,17400
2021-02-02,630.0,675.0,630.0,655.0,655.0,25900
2021-02-03,655.0,675.0,640.0,650.0,650.0,11400
2021-02-04,640.0,670.0,640.0,665.0,665.0,3523100
2021-02-05,675.0,675.0,660.0,675.0,675.0,2758600
2021-02-08,720.0,720.0,665.0,680.0,680.0,48200
2021-02-09,660.0,680.0,655.0,680.0,680.0,2026700
2021-02-10,685.0,685.0,670.0,685.0,685.0,20200
2021-02-11,685.0,690.0,645.0,665.0,665.0,44800
2021-02-15,680.0,680.0,655.0,660.0,660.0,3800
2021-02-16,660.0,660.0,640.0,640.0,640.0,60700
2021-02-17,640.0,675.0,600.0,635.0,635.0,33800
2021-02-18,635.0,675.0,635.0,670.0,670.0,49700
2021-02-19,670.0,675.0,625.0,655.0,655.0,5842000
2021-02-22,675.0,675.0,650.0,650.0,650.0,512600
2021-02-23,660.0,670.0,650.0,665.0,665.0,69500
2021-02-24,665.0,665.0,640.0,665.0,665.0,12700
2021-02-25,670.0,680.0,660.0,660.0,660.0,52200
2021-02-26,680.0,680.0,660.0,670.0,670.0,4900
2021-03-01,670.0,680.0,670.0,675.0,675.0,5600
2021-03-02,670.0,675.0,660.0,670.0,670.0,3100
2021-03-03,680.0,680.0,650.0,650.0,650.0,1500
2021-03-04,680.0,730.0,650.0,685.0,685.0,117700
2021-03-05,685.0,720.0,675.0,695.0,695.0,204700
2021-03-08,700.0,700.0,655.0,690.0,690.0,51400
2021-03-09,695.0,695.0,650.0,685.0,685.0,52600
2021-03-10,685.0,685.0,655.0,685.0,685.0,7238700
2021-03-12,720.0,720.0,655.0,660.0,660.0,31200
2021-03-15,675.0,690.0,650.0,685.0,685.0,4400
2021-03-16,685.0,685.0,650.0,675.0,675.0,3600
2021-03-17,675.0,675.0,650.0,660.0,660.0,6658600
2021-03-18,665.0,675.0,660.0,665.0,665.0,8399400
2021-03-19,670.0,670.0,650.0,650.0,650.0,39300
2021-03-22,650.0,670.0,650.0,665.0,665.0,19600
2021-03-23,665.0,675.0,655.0,675.0,675.0,16815400
2021-03-24,665.0,675.0,650.0,660.0,660.0,1085700
2021-03-25,660.0,660.0,615.0,615.0,615.0,480900
2021-03-26,575.0,615.0,575.0,590.0,590.0,292400
2021-03-29,620.0,635.0,575.0,615.0,615.0,69600
2021-03-30,615.0,630.0,610.0,620.0,620.0,22600
2021-03-31,620.0,620.0,580.0,595.0,595.0,12100
2021-04-01,600.0,640.0,595.0,595.0,595.0,25600
2021-04-05,595.0,595.0,565.0,585.0,585.0,24100
2021-04-06,585.0,600.0,555.0,555.0,555.0,42700
2021-04-07,555.0,575.0,550.0,570.0,570.0,58500
2021-04-08,575.0,600.0,570.0,595.0,595.0,75400
2021-04-09,595.0,620.0,590.0,590.0,590.0,25800
2021-04-12,590.0,620.0,590.0,600.0,600.0,4000
2021-04-13,595.0,595.0,580.0,585.0,585.0,1600
2021-04-14,580.0,580.0,580.0,580.0,580.0,6800
2021-04-15,590.0,670.0,580.0,600.0,600.0,15300
2021-04-16,600.0,600.0,585.0,585.0,585.0,5300
2021-04-19,585.0,600.0,585.0,585.0,585.0,16000
2021-04-20,595.0,595.0,595.0,595.0,595.0,2400
2021-04-21,590.0,600.0,590.0,600.0,600.0,9300
2021-04-22,600.0,600.0,600.0,600.0,600.0,700
2021-04-23,605.0,610.0,585.0,585.0,585.0,19900
2021-04-26,600.0,600.0,600.0,600.0,600.0,14600
2021-04-27,600.0,600.0,595.0,600.0,600.0,7500
2021-04-28,580.0,600.0,580.0,590.0,590.0,22600
2021-04-29,595.0,600.0,585.0,600.0,600.0,11100
2021-04-30,600.0,600.0,580.0,600.0,600.0,3900
2021-05-03,585.0,595.0,580.0,595.0,595.0,22700
2021-05-04,595.0,595.0,570.0,595.0,595.0,7700
2021-05-05,575.0,595.0,575.0,590.0,590.0,10600
2021-05-06,590.0,590.0,550.0,550.0,550.0,328500
2021-05-07,550.0,555.0,520.0,545.0,545.0,145800
2021-05-10,545.0,545.0,510.0,525.0,525.0,67300
2021-05-11,525.0,530.0,515.0,515.0,515.0,33300
2021-05-17,515.0,545.0,510.0,525.0,525.0,179800
2021-05-18,535.0,590.0,496.0,535.0,535.0,30800
2021-05-19,535.0,540.0,525.0,540.0,540.0,118000
2021-05-20,535.0,540.0,535.0,540.0,540.0,7600
2021-05-21,535.0,550.0,520.0,535.0,535.0,46200
2021-05-24,535.0,560.0,535.0,555.0,555.0,7800
2021-05-25,555.0,555.0,540.0,540.0,540.0,9500
2021-05-27,535.0,560.0,535.0,540.0,540.0,13600
2021-05-28,545.0,550.0,545.0,550.0,550.0,2400
2021-05-31,550.0,550.0,530.0,535.0,535.0,6200
2021-06-02,535.0,550.0,530.0,545.0,545.0,9800
2021-06-03,540.0,590.0,530.0,585.0,585.0,59800
2021-06-04,585.0,595.0,545.0,560.0,560.0,93100
2021-06-07,560.0,590.0,560.0,565.0,565.0,45700
2021-06-08,565.0,565.0,530.0,545.0,545.0,97100
2021-06-09,530.0,530.0,515.0,530.0,530.0,14900
2021-06-10,530.0,545.0,530.0,530.0,530.0,519800
2021-06-11,535.0,540.0,520.0,520.0,520.0,15300
2021-06-14,520.0,525.0,505.0,525.0,525.0,55900
2021-06-15,520.0,525.0,510.0,525.0,525.0,18400
2021-06-16,525.0,555.0,510.0,545.0,545.0,16400
2021-06-17,545.0,590.0,525.0,575.0,575.0,467200
2021-06-18,575.0,575.0,535.0,540.0,540.0,70700
2021-06-21,515.0,555.0,505.0,550.0,550.0,47500
2021-06-22,550.0,570.0,550.0,555.0,555.0,6300
2021-06-23,540.0,570.0,540.0,555.0,555.0,22100
2021-06-24,570.0,570.0,555.0,560.0,560.0,6200
2021-06-25,560.0,560.0,535.0,550.0,550.0,4900
2021-06-28,550.0,570.0,550.0,550.0,550.0,31500
2021-06-29,550.0,550.0,550.0,550.0,550.0,3800
2021-06-30,535.0,550.0,525.0,550.0,550.0,6300
2021-07-01,550.0,550.0,515.0,525.0,525.0,24000
2021-07-02,525.0,530.0,520.0,525.0,525.0,227600
2021-07-05,525.0,525.0,520.0,520.0,520.0,32000
2021-07-06,520.0,530.0,520.0,530.0,530.0,8100
2021-07-07,540.0,540.0,535.0,535.0,535.0,5100
2021-07-08,535.0,535.0,530.0,530.0,530.0,7600
2021-07-09,530.0,535.0,530.0,530.0,530.0,19500
2021-07-12,530.0,535.0,525.0,535.0,535.0,14600
2021-07-13,535.0,550.0,520.0,550.0,550.0,10800
2021-07-14,515.0,540.0,515.0,540.0,540.0,7300
2021-07-15,540.0,540.0,525.0,525.0,525.0,21000
2021-07-16,530.0,530.0,520.0,530.0,530.0,15100
2021-07-19,520.0,530.0,520.0,525.0,525.0,23100
2021-07-21,530.0,530.0,525.0,530.0,530.0,26000
2021-07-22,530.0,530.0,515.0,525.0,525.0,25200
2021-07-23,525.0,525.0,520.0,525.0,525.0,27600
2021-07-26,525.0,525.0,520.0,520.0,520.0,63000
2021-07-27,515.0,530.0,515.0,515.0,515.0,18000
2021-07-28,525.0,525.0,515.0,515.0,515.0,50800
2021-07-29,545.0,615.0,525.0,540.0,540.0,289700
2021-07-30,545.0,600.0,545.0,590.0,590.0,24700
2021-08-02,560.0,615.0,550.0,560.0,560.0,32800
2021-08-03,565.0,565.0,540.0,540.0,540.0,2700
2021-08-04,540.0,545.0,525.0,525.0,525.0,41600
2021-08-05,530.0,565.0,530.0,540.0,540.0,11500
2021-08-06,535.0,535.0,520.0,520.0,520.0,47000
2021-08-09,520.0,555.0,520.0,535.0,535.0,40100
2021-08-10,545.0,565.0,530.0,555.0,555.0,5300
2021-08-12,555.0,555.0,530.0,550.0,550.0,8100
