Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,98.0,98.0,92.0,96.0,96.0,139000
2021-01-05,96.0,97.0,93.0,95.0,95.0,16200
2021-01-06,95.0,95.0,94.0,94.0,94.0,5600
2021-01-07,94.0,94.0,94.0,94.0,94.0,151700
2021-01-08,94.0,101.0,94.0,97.0,97.0,347400
2021-01-11,97.0,97.0,91.0,93.0,93.0,60000
2021-01-12,97.0,97.0,92.0,94.0,94.0,8900
2021-01-13,92.0,94.0,90.0,94.0,94.0,62600
2021-01-14,94.0,94.0,94.0,94.0,94.0,46200
2021-01-15,94.0,94.0,92.0,92.0,92.0,5600
2021-01-18,92.0,94.0,92.0,93.0,93.0,15900
2021-01-19,93.0,93.0,93.0,93.0,93.0,500
2021-01-20,93.0,94.0,92.0,94.0,94.0,66600
2021-01-21,94.0,94.0,92.0,93.0,93.0,13200
2021-01-22,96.0,96.0,90.0,93.0,93.0,72500
2021-01-25,93.0,93.0,90.0,93.0,93.0,43800
2021-01-26,92.0,93.0,92.0,92.0,92.0,63900
2021-01-27,87.0,87.0,87.0,87.0,87.0,200
2021-01-28,86.0,86.0,85.0,85.0,85.0,15900
2021-01-29,80.0,94.0,80.0,89.0,89.0,19300
2021-02-01,89.0,90.0,83.0,84.0,84.0,11000
2021-02-02,84.0,84.0,81.0,84.0,84.0,9200
2021-02-03,84.0,84.0,84.0,84.0,84.0,10000
2021-02-04,85.0,94.0,81.0,85.0,85.0,32600
2021-02-05,85.0,93.0,82.0,93.0,93.0,10300
2021-02-08,93.0,93.0,87.0,91.0,91.0,26300
2021-02-09,89.0,90.0,87.0,87.0,87.0,9800
2021-02-10,87.0,87.0,82.0,86.0,86.0,31700
2021-02-11,87.0,90.0,87.0,88.0,88.0,16600
2021-02-15,88.0,88.0,88.0,88.0,88.0,2600
2021-02-16,85.0,88.0,83.0,85.0,85.0,23000
2021-02-17,85.0,88.0,85.0,88.0,88.0,1300
2021-02-18,88.0,88.0,82.0,82.0,82.0,205900
2021-02-19,82.0,86.0,80.0,80.0,80.0,11200
2021-02-22,80.0,94.0,77.0,85.0,85.0,79600
2021-02-23,85.0,89.0,82.0,88.0,88.0,18700
2021-02-24,83.0,87.0,83.0,85.0,85.0,800
2021-02-25,85.0,88.0,85.0,88.0,88.0,36400
2021-02-26,88.0,88.0,82.0,88.0,88.0,96500
2021-03-01,88.0,88.0,88.0,88.0,88.0,1900
2021-03-02,88.0,88.0,88.0,88.0,88.0,5000
2021-03-03,88.0,89.0,88.0,88.0,88.0,6300
2021-03-04,88.0,88.0,87.0,88.0,88.0,3600
2021-03-05,84.0,89.0,82.0,88.0,88.0,89900
2021-03-08,88.0,91.0,82.0,88.0,88.0,207700
2021-03-09,88.0,90.0,82.0,89.0,89.0,71100
2021-03-10,89.0,89.0,84.0,89.0,89.0,8800
2021-03-12,88.0,89.0,85.0,85.0,85.0,900
2021-03-15,85.0,90.0,85.0,90.0,90.0,25200
2021-03-16,90.0,90.0,88.0,90.0,90.0,46900
2021-03-17,90.0,90.0,86.0,90.0,90.0,2100
2021-03-18,90.0,90.0,90.0,90.0,90.0,5200
2021-03-19,90.0,90.0,85.0,89.0,89.0,2000
2021-03-22,89.0,94.0,86.0,90.0,90.0,9400
2021-03-23,90.0,90.0,87.0,90.0,90.0,12500
2021-03-24,90.0,90.0,88.0,88.0,88.0,35200
2021-03-25,88.0,88.0,86.0,86.0,86.0,38800
2021-03-26,86.0,89.0,86.0,89.0,89.0,200
2021-03-29,89.0,89.0,88.0,88.0,88.0,3900
2021-03-30,88.0,88.0,88.0,88.0,88.0,0
2021-03-31,88.0,89.0,88.0,89.0,89.0,2709500
2021-04-01,89.0,90.0,87.0,90.0,90.0,122500
2021-04-05,90.0,90.0,90.0,90.0,90.0,9900
2021-04-06,92.0,95.0,89.0,89.0,89.0,18900
2021-04-07,89.0,91.0,89.0,91.0,91.0,4800
2021-04-08,90.0,91.0,90.0,91.0,91.0,11000
2021-04-09,91.0,93.0,91.0,92.0,92.0,11200
2021-04-12,92.0,92.0,87.0,88.0,88.0,26800
2021-04-13,88.0,94.0,88.0,88.0,88.0,6100
2021-04-14,88.0,93.0,87.0,87.0,87.0,27800
2021-04-15,88.0,93.0,88.0,93.0,93.0,2900
2021-04-16,93.0,93.0,87.0,87.0,87.0,5200
2021-04-19,88.0,92.0,88.0,92.0,92.0,60700
2021-04-20,92.0,92.0,86.0,89.0,89.0,79900
2021-04-21,89.0,89.0,87.0,89.0,89.0,12600
2021-04-22,86.0,95.0,86.0,92.0,92.0,3200
2021-04-23,92.0,92.0,88.0,88.0,88.0,16600
2021-04-26,88.0,92.0,88.0,92.0,92.0,19600
2021-04-27,90.0,92.0,90.0,90.0,90.0,1300
2021-04-28,90.0,91.0,89.0,89.0,89.0,13000
2021-04-29,92.0,92.0,89.0,89.0,89.0,8000
2021-04-30,92.0,92.0,89.0,89.0,89.0,3900
2021-05-03,89.0,90.0,86.0,89.0,89.0,3000
2021-05-04,89.0,89.0,87.0,87.0,87.0,10100
2021-05-05,89.0,90.0,89.0,90.0,90.0,2200
2021-05-06,90.0,94.0,88.0,89.0,89.0,13300
2021-05-07,86.0,90.0,86.0,90.0,90.0,3400
2021-05-10,90.0,90.0,90.0,90.0,90.0,2400
2021-05-11,89.0,90.0,87.0,89.0,89.0,3200
2021-05-17,90.0,91.0,87.0,87.0,87.0,2400
2021-05-18,91.0,117.0,89.0,95.0,95.0,4618400
2021-05-19,95.0,99.0,90.0,90.0,90.0,1019500
2021-05-20,89.0,121.0,87.0,121.0,121.0,6661100
