Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,400.0,400.0,398.0,398.0,398.0,50100
2021-01-05,398.0,398.0,394.0,394.0,394.0,100800
2021-01-06,380.0,390.0,370.0,390.0,390.0,1163900
2021-01-07,386.0,390.0,386.0,390.0,390.0,350700
2021-01-08,386.0,386.0,364.0,364.0,364.0,112800
2021-01-11,360.0,364.0,340.0,352.0,352.0,407300
2021-01-12,340.0,340.0,328.0,340.0,340.0,1362300
2021-01-13,338.0,338.0,318.0,334.0,334.0,1251100
2021-01-14,314.0,332.0,314.0,330.0,330.0,191400
2021-01-15,330.0,332.0,322.0,332.0,332.0,130400
2021-01-18,332.0,358.0,330.0,358.0,358.0,538900
2021-01-19,340.0,342.0,336.0,342.0,342.0,632800
2021-01-20,342.0,360.0,324.0,338.0,338.0,1326100
2021-01-21,338.0,340.0,330.0,334.0,334.0,293800
2021-01-22,334.0,336.0,328.0,334.0,334.0,534400
2021-01-25,334.0,334.0,312.0,334.0,334.0,545300
2021-01-26,334.0,334.0,312.0,334.0,334.0,568300
2021-01-27,330.0,330.0,312.0,328.0,328.0,402000
2021-01-28,328.0,328.0,306.0,318.0,318.0,658000
2021-01-29,318.0,324.0,316.0,324.0,324.0,496700
2021-02-01,316.0,324.0,302.0,302.0,302.0,438300
2021-02-02,302.0,314.0,300.0,304.0,304.0,394100
2021-02-03,302.0,302.0,290.0,298.0,298.0,850000
2021-02-04,298.0,300.0,290.0,296.0,296.0,683100
2021-02-05,294.0,296.0,290.0,294.0,294.0,767700
2021-02-08,292.0,292.0,284.0,286.0,286.0,1525700
2021-02-09,286.0,286.0,272.0,272.0,272.0,703100
2021-02-10,274.0,278.0,264.0,276.0,276.0,1121700
2021-02-11,274.0,276.0,264.0,274.0,274.0,2252900
2021-02-15,274.0,276.0,270.0,270.0,270.0,1621700
2021-02-16,274.0,278.0,274.0,274.0,274.0,20000
2021-02-17,274.0,294.0,264.0,272.0,272.0,285800
2021-02-18,272.0,274.0,272.0,272.0,272.0,1011700
2021-02-19,270.0,274.0,270.0,274.0,274.0,1102000
2021-02-22,274.0,276.0,268.0,268.0,268.0,759300
2021-02-23,270.0,270.0,264.0,270.0,270.0,301600
2021-02-24,268.0,270.0,256.0,266.0,266.0,781200
2021-02-25,266.0,270.0,252.0,258.0,258.0,2511500
2021-02-26,258.0,276.0,240.0,256.0,256.0,868900
2021-03-01,254.0,254.0,250.0,254.0,254.0,348700
2021-03-02,254.0,258.0,248.0,248.0,248.0,175600
2021-03-03,258.0,258.0,248.0,248.0,248.0,22100
2021-03-04,248.0,254.0,246.0,248.0,248.0,58200
2021-03-05,248.0,254.0,248.0,252.0,252.0,42000
2021-03-08,254.0,254.0,254.0,254.0,254.0,6900
2021-03-09,252.0,252.0,252.0,252.0,252.0,6000
2021-03-10,252.0,252.0,236.0,236.0,236.0,1768900
2021-03-12,236.0,242.0,236.0,242.0,242.0,33800
2021-03-15,242.0,244.0,236.0,244.0,244.0,122300
2021-03-16,244.0,244.0,244.0,244.0,244.0,11000
2021-03-17,244.0,244.0,240.0,240.0,240.0,4000
2021-03-18,240.0,244.0,236.0,240.0,240.0,61800
2021-03-19,240.0,240.0,238.0,240.0,240.0,22800
2021-03-22,240.0,240.0,238.0,240.0,240.0,2600
2021-03-23,238.0,240.0,238.0,240.0,240.0,2300
2021-03-24,240.0,240.0,224.0,224.0,224.0,1325500
2021-03-25,224.0,224.0,210.0,212.0,212.0,31700
2021-03-26,212.0,212.0,202.0,206.0,206.0,30500
2021-03-29,210.0,210.0,202.0,204.0,204.0,173500
2021-03-30,206.0,206.0,200.0,204.0,204.0,10600
2021-03-31,204.0,206.0,195.0,206.0,206.0,107400
2021-04-01,206.0,206.0,200.0,204.0,204.0,11600
2021-04-05,204.0,204.0,200.0,202.0,202.0,18500
2021-04-06,202.0,204.0,198.0,200.0,200.0,6700
2021-04-07,204.0,204.0,200.0,200.0,200.0,20500
2021-04-08,200.0,206.0,200.0,206.0,206.0,43884200
2021-04-09,206.0,206.0,200.0,202.0,202.0,172100
2021-04-12,202.0,202.0,199.0,202.0,202.0,88200
2021-04-13,200.0,200.0,200.0,200.0,200.0,5800
2021-04-14,196.0,200.0,195.0,195.0,195.0,15100
2021-04-15,195.0,195.0,191.0,195.0,195.0,232400
2021-04-16,195.0,195.0,192.0,193.0,193.0,37800
2021-04-19,195.0,195.0,190.0,191.0,191.0,59918300
2021-04-20,191.0,191.0,190.0,191.0,191.0,36800
2021-04-21,191.0,191.0,190.0,191.0,191.0,26800
2021-04-22,191.0,191.0,188.0,190.0,190.0,10500
2021-04-23,190.0,191.0,188.0,190.0,190.0,26500
2021-04-26,190.0,190.0,190.0,190.0,190.0,3900
2021-04-27,190.0,195.0,188.0,194.0,194.0,47300
2021-04-28,194.0,194.0,191.0,194.0,194.0,39500
2021-04-29,194.0,194.0,191.0,191.0,191.0,9500
2021-04-30,191.0,191.0,190.0,191.0,191.0,38800
2021-05-03,191.0,191.0,178.0,191.0,191.0,79400
2021-05-04,191.0,191.0,184.0,191.0,191.0,61800
2021-05-05,191.0,191.0,190.0,191.0,191.0,2100
2021-05-06,191.0,191.0,183.0,190.0,190.0,70400
2021-05-07,190.0,190.0,190.0,190.0,190.0,0
2021-05-10,190.0,191.0,190.0,190.0,190.0,19100
2021-05-11,190.0,190.0,180.0,182.0,182.0,27300
2021-05-17,182.0,190.0,180.0,180.0,180.0,12100
2021-05-18,180.0,184.0,177.0,180.0,180.0,132300
2021-05-19,180.0,180.0,178.0,179.0,179.0,31300
2021-05-20,179.0,179.0,178.0,178.0,178.0,23600
2021-05-21,177.0,178.0,177.0,178.0,178.0,78200
2021-05-24,178.0,178.0,176.0,178.0,178.0,27400
2021-05-25,178.0,180.0,178.0,178.0,178.0,24600
2021-05-27,178.0,178.0,178.0,178.0,178.0,67800
2021-05-28,178.0,178.0,176.0,178.0,178.0,37500
2021-05-31,178.0,178.0,177.0,177.0,177.0,25000
2021-06-02,177.0,178.0,176.0,176.0,176.0,195700
2021-06-03,177.0,210.0,174.0,174.0,174.0,1369700
2021-06-04,174.0,174.0,171.0,173.0,173.0,169400
2021-06-07,174.0,175.0,173.0,174.0,174.0,106200
2021-06-08,173.0,174.0,172.0,173.0,173.0,56000
2021-06-09,172.0,173.0,170.0,173.0,173.0,55600
2021-06-10,173.0,175.0,172.0,173.0,173.0,47900
2021-06-11,173.0,174.0,172.0,172.0,172.0,65100
2021-06-14,172.0,175.0,170.0,172.0,172.0,143100
2021-06-15,172.0,172.0,171.0,172.0,172.0,28400
2021-06-16,173.0,173.0,171.0,172.0,172.0,166700
2021-06-17,172.0,172.0,169.0,170.0,170.0,45900
2021-06-18,169.0,172.0,167.0,167.0,167.0,11900
2021-06-21,167.0,168.0,163.0,164.0,164.0,120000
2021-06-22,165.0,167.0,164.0,165.0,165.0,237800
2021-06-23,167.0,167.0,166.0,167.0,167.0,20300
2021-06-24,169.0,169.0,163.0,163.0,163.0,84300
2021-06-25,165.0,165.0,161.0,164.0,164.0,83400
2021-06-28,164.0,164.0,160.0,162.0,162.0,60100
2021-06-29,160.0,164.0,157.0,157.0,157.0,141000
2021-06-30,157.0,160.0,157.0,158.0,158.0,91800
2021-07-01,158.0,158.0,155.0,158.0,158.0,155900
2021-07-02,158.0,160.0,155.0,159.0,159.0,76500
2021-07-05,159.0,159.0,158.0,159.0,159.0,51700
2021-07-06,158.0,159.0,155.0,159.0,159.0,57600
2021-07-07,159.0,176.0,156.0,158.0,158.0,58800
2021-07-08,162.0,184.0,157.0,160.0,160.0,97900
2021-07-09,160.0,160.0,153.0,154.0,154.0,386500
2021-07-12,156.0,156.0,150.0,152.0,152.0,75500
2021-07-13,154.0,154.0,150.0,151.0,151.0,36200
