Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,850.0,850.0,850.0,850.0,850.0,0
2021-01-05,840.0,960.0,840.0,950.0,950.0,5700
2021-01-06,950.0,950.0,950.0,950.0,950.0,0
2021-01-07,940.0,940.0,885.0,890.0,890.0,8700
2021-01-08,935.0,935.0,840.0,885.0,885.0,1100
2021-01-11,835.0,875.0,835.0,870.0,870.0,8600
2021-01-12,860.0,860.0,860.0,860.0,860.0,8500
2021-01-13,830.0,860.0,830.0,855.0,855.0,8800
2021-01-14,855.0,855.0,830.0,830.0,830.0,11200
2021-01-15,830.0,835.0,825.0,825.0,825.0,9900
2021-01-18,830.0,845.0,830.0,845.0,845.0,10100
2021-01-19,845.0,845.0,845.0,845.0,845.0,9200
2021-01-22,850.0,850.0,850.0,850.0,850.0,9200
2021-01-25,850.0,850.0,850.0,850.0,850.0,6000
2021-01-28,845.0,850.0,845.0,850.0,850.0,9300
2021-01-29,850.0,850.0,850.0,850.0,850.0,9300
2021-02-02,850.0,850.0,820.0,825.0,825.0,14900
2021-02-03,835.0,835.0,835.0,835.0,835.0,9300
2021-02-08,835.0,835.0,825.0,825.0,825.0,9400
2021-02-09,830.0,860.0,830.0,860.0,860.0,9500
2021-02-10,910.0,910.0,860.0,860.0,860.0,9500
2021-02-11,860.0,860.0,860.0,860.0,860.0,9500
2021-02-15,860.0,900.0,860.0,860.0,860.0,9800
2021-02-16,860.0,885.0,830.0,830.0,830.0,12500
2021-02-17,830.0,830.0,830.0,830.0,830.0,9500
2021-02-18,835.0,835.0,835.0,835.0,835.0,9600
2021-02-19,835.0,835.0,830.0,830.0,830.0,9100
2021-02-22,830.0,830.0,820.0,820.0,820.0,11200
2021-02-23,820.0,820.0,810.0,820.0,820.0,15500
2021-02-24,820.0,820.0,820.0,820.0,820.0,9700
2021-02-25,875.0,895.0,830.0,835.0,835.0,10100
2021-02-26,835.0,835.0,835.0,835.0,835.0,9700
2021-03-02,835.0,865.0,835.0,865.0,865.0,10200
2021-03-03,855.0,875.0,855.0,865.0,865.0,10000
2021-03-04,860.0,865.0,850.0,850.0,850.0,15200
2021-03-05,850.0,860.0,850.0,860.0,860.0,14900
2021-03-08,860.0,860.0,860.0,860.0,860.0,7900
2021-03-09,865.0,870.0,860.0,860.0,860.0,9000
2021-03-10,860.0,860.0,855.0,855.0,855.0,20000
2021-03-12,855.0,855.0,855.0,855.0,855.0,9600
2021-03-15,825.0,855.0,825.0,855.0,855.0,2200
2021-03-16,850.0,850.0,825.0,825.0,825.0,10800
2021-03-17,825.0,830.0,825.0,830.0,830.0,12400
2021-03-18,830.0,830.0,830.0,830.0,830.0,10000
2021-03-23,830.0,830.0,820.0,820.0,820.0,13000
2021-03-24,820.0,830.0,820.0,830.0,830.0,10100
2021-03-25,830.0,830.0,830.0,830.0,830.0,300
2021-03-26,830.0,830.0,830.0,830.0,830.0,0
2021-04-06,830.0,830.0,830.0,830.0,830.0,6300
2021-04-07,830.0,830.0,800.0,800.0,800.0,10500
2021-04-08,815.0,815.0,815.0,815.0,815.0,6700
2021-04-12,820.0,820.0,815.0,815.0,815.0,6400
2021-04-13,815.0,890.0,815.0,860.0,860.0,9900
2021-04-14,810.0,885.0,810.0,825.0,825.0,10200
2021-04-15,875.0,875.0,815.0,830.0,830.0,900
2021-04-16,880.0,885.0,825.0,825.0,825.0,1600
2021-04-19,825.0,825.0,825.0,825.0,825.0,100
2021-04-20,815.0,815.0,815.0,815.0,815.0,200
2021-04-21,815.0,815.0,815.0,815.0,815.0,0
2021-05-03,830.0,880.0,830.0,865.0,865.0,500
2021-05-04,845.0,845.0,805.0,805.0,805.0,600
2021-05-05,820.0,820.0,820.0,820.0,820.0,500
2021-05-06,820.0,820.0,820.0,820.0,820.0,0
2021-05-11,815.0,815.0,815.0,815.0,815.0,800
2021-05-18,805.0,805.0,805.0,805.0,805.0,100
2021-05-19,815.0,815.0,815.0,815.0,815.0,500
2021-05-20,810.0,810.0,810.0,810.0,810.0,100
2021-05-21,810.0,815.0,810.0,815.0,815.0,200
2021-05-24,865.0,865.0,835.0,835.0,835.0,200
2021-05-27,805.0,805.0,805.0,805.0,805.0,0
2021-05-31,845.0,845.0,845.0,845.0,845.0,600
2021-06-02,810.0,840.0,810.0,840.0,840.0,700
2021-06-03,840.0,840.0,830.0,835.0,835.0,1000
2021-06-04,830.0,840.0,830.0,840.0,840.0,700
2021-06-07,835.0,835.0,835.0,835.0,835.0,600
2021-06-16,810.0,810.0,810.0,810.0,810.0,0
2021-06-17,810.0,810.0,785.0,785.0,785.0,200
2021-06-18,785.0,785.0,785.0,785.0,785.0,1000
2021-06-21,785.0,785.0,785.0,785.0,785.0,0
2021-06-23,785.0,785.0,785.0,785.0,785.0,1100
2021-06-25,785.0,785.0,785.0,785.0,785.0,100
2021-06-28,790.0,790.0,790.0,790.0,790.0,100
2021-06-29,790.0,790.0,790.0,790.0,790.0,0
2021-07-01,890.0,890.0,805.0,805.0,805.0,300
2021-07-05,860.0,870.0,860.0,860.0,860.0,600
2021-07-06,870.0,870.0,805.0,855.0,855.0,4600
2021-07-07,855.0,855.0,855.0,855.0,855.0,0
2021-07-08,850.0,850.0,850.0,850.0,850.0,100
2021-07-12,840.0,840.0,840.0,840.0,840.0,100
2021-07-13,835.0,835.0,835.0,835.0,835.0,700
2021-07-14,835.0,835.0,835.0,835.0,835.0,0
2021-07-16,805.0,805.0,805.0,805.0,805.0,3500
2021-07-23,805.0,805.0,805.0,805.0,805.0,300
2021-07-27,855.0,855.0,800.0,800.0,800.0,10100
2021-07-28,800.0,800.0,800.0,800.0,800.0,1200
2021-07-29,855.0,855.0,855.0,855.0,855.0,1000
2021-08-04,855.0,880.0,855.0,880.0,880.0,5000
2021-08-05,850.0,850.0,825.0,825.0,825.0,2600
2021-08-06,825.0,825.0,825.0,825.0,825.0,0
2021-08-19,805.0,805.0,800.0,800.0,800.0,10600
2021-08-20,800.0,800.0,800.0,800.0,800.0,100
2021-08-23,800.0,800.0,800.0,800.0,800.0,2700
2021-08-24,780.0,800.0,745.0,800.0,800.0,16200
2021-08-25,800.0,800.0,755.0,760.0,760.0,1600
2021-08-26,765.0,765.0,765.0,765.0,765.0,300
2021-08-27,765.0,765.0,765.0,765.0,765.0,0
2021-09-02,765.0,765.0,760.0,760.0,760.0,1000
2021-09-03,760.0,760.0,760.0,760.0,760.0,0
2021-09-15,765.0,765.0,765.0,765.0,765.0,100
2021-09-16,770.0,770.0,770.0,770.0,770.0,200
2021-09-17,770.0,770.0,770.0,770.0,770.0,0
2021-09-20,770.0,770.0,770.0,770.0,770.0,1300
2021-09-23,795.0,795.0,795.0,795.0,795.0,1100
2021-09-24,795.0,795.0,790.0,790.0,790.0,300
2021-09-29,790.0,790.0,790.0,790.0,790.0,900
2021-10-05,790.0,890.0,780.0,820.0,820.0,1400
2021-10-06,810.0,825.0,785.0,785.0,785.0,2200
2021-10-07,770.0,770.0,770.0,770.0,770.0,100
2021-10-11,790.0,790.0,790.0,790.0,790.0,200
2021-10-12,785.0,785.0,775.0,775.0,775.0,800
2021-10-13,775.0,775.0,775.0,775.0,775.0,100
2021-10-14,775.0,775.0,775.0,775.0,775.0,300
2021-10-15,775.0,775.0,775.0,775.0,775.0,0
2021-10-19,790.0,790.0,790.0,790.0,790.0,600
2021-10-27,775.0,775.0,775.0,775.0,775.0,500
2021-11-03,795.0,795.0,795.0,795.0,795.0,900
2021-11-04,795.0,795.0,795.0,795.0,795.0,100
2021-11-05,800.0,800.0,800.0,800.0,800.0,200
2021-11-08,800.0,800.0,800.0,800.0,800.0,500
2021-11-09,800.0,800.0,800.0,800.0,800.0,0
2021-11-12,795.0,800.0,795.0,800.0,800.0,200
2021-11-15,750.0,795.0,750.0,795.0,795.0,600
2021-11-16,795.0,795.0,795.0,795.0,795.0,0
2021-11-18,790.0,790.0,790.0,790.0,790.0,1000
2021-11-19,800.0,800.0,785.0,795.0,795.0,1000
2021-11-23,800.0,800.0,760.0,795.0,795.0,14000
2021-11-24,800.0,800.0,800.0,800.0,800.0,800
2021-11-26,800.0,800.0,800.0,800.0,800.0,7600
2021-12-07,845.0,845.0,845.0,845.0,845.0,500
2021-12-08,795.0,825.0,790.0,825.0,825.0,20500
2021-12-09,820.0,820.0,770.0,780.0,780.0,300
2021-12-10,780.0,780.0,780.0,780.0,780.0,200
2021-12-13,780.0,780.0,780.0,780.0,780.0,0
2021-12-16,755.0,755.0,755.0,755.0,755.0,100
2021-12-17,755.0,755.0,755.0,755.0,755.0,0
