Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,1010.0,1025.0,1010.0,1020.0,1007.3029174804688,283300
2021-01-05,1020.0,1020.0,1015.0,1020.0,1007.3029174804688,203100
2021-01-06,1020.0,1025.0,1015.0,1020.0,1007.3029174804688,311800
2021-01-07,1020.0,1020.0,1015.0,1020.0,1007.3029174804688,172300
2021-01-08,1020.0,1020.0,1010.0,1010.0,997.4273681640625,292900
2021-01-11,1010.0,1010.0,1005.0,1005.0,992.4896240234375,166400
2021-01-12,1005.0,1005.0,1000.0,1005.0,992.4896240234375,125700
2021-01-13,1005.0,1005.0,1000.0,1000.0,987.5518798828125,124100
2021-01-14,1000.0,1025.0,995.0,1025.0,1012.2406616210938,282200
2021-01-15,1025.0,1030.0,1020.0,1020.0,1007.3029174804688,133000
2021-01-18,1020.0,1020.0,1015.0,1015.0,1002.3651733398438,119900
2021-01-19,1015.0,1015.0,1010.0,1010.0,997.4273681640625,136000
2021-01-20,1010.0,1015.0,1010.0,1015.0,1002.3651733398438,99600
2021-01-21,1015.0,1015.0,1010.0,1010.0,997.4273681640625,95000
2021-01-22,1010.0,1010.0,1010.0,1010.0,997.4273681640625,88000
2021-01-25,1010.0,1015.0,1010.0,1015.0,1002.3651733398438,118600
2021-01-26,1010.0,1015.0,1010.0,1010.0,997.4273681640625,134400
2021-01-27,1010.0,1055.0,1010.0,1055.0,1041.8671875,538500
2021-01-28,1055.0,1055.0,1050.0,1050.0,1036.929443359375,132200
2021-01-29,1050.0,1100.0,1050.0,1100.0,1086.3070068359375,736500
2021-02-01,1100.0,1115.0,1100.0,1115.0,1101.120361328125,209500
2021-02-02,1115.0,1160.0,1105.0,1160.0,1145.5601806640625,650700
2021-02-03,1160.0,1215.0,1155.0,1215.0,1199.87548828125,1141000
2021-02-04,1215.0,1230.0,1210.0,1230.0,1214.6888427734375,382600
2021-02-05,1230.0,1230.0,1215.0,1225.0,1209.7510986328125,246300
2021-02-08,1225.0,1225.0,1215.0,1215.0,1199.87548828125,258400
2021-02-09,1215.0,1250.0,1215.0,1215.0,1199.87548828125,373300
2021-02-10,1215.0,1220.0,1210.0,1210.0,1194.937744140625,277400
2021-02-11,1210.0,1225.0,1210.0,1220.0,1204.813232421875,202200
2021-02-15,1220.0,1230.0,1220.0,1230.0,1214.6888427734375,173600
2021-02-16,1230.0,1230.0,1220.0,1230.0,1214.6888427734375,184000
2021-02-17,1230.0,1230.0,1220.0,1230.0,1214.6888427734375,198700
2021-02-18,1230.0,1230.0,1225.0,1225.0,1209.7510986328125,144500
2021-02-19,1225.0,1230.0,1220.0,1220.0,1204.813232421875,178900
2021-02-22,1220.0,1275.0,1220.0,1275.0,1259.128662109375,1080800
2021-02-23,1280.0,1285.0,1275.0,1280.0,1264.06640625,319600
2021-02-24,1280.0,1285.0,1265.0,1265.0,1249.253173828125,902300
2021-02-25,1265.0,1320.0,1260.0,1320.0,1303.5684814453125,914500
2021-02-26,1320.0,1330.0,1320.0,1325.0,1308.5062255859375,188000
2021-03-01,1325.0,1340.0,1325.0,1340.0,1323.3194580078125,214600
2021-03-02,1340.0,1350.0,1340.0,1340.0,1323.3194580078125,216300
2021-03-03,1340.0,1345.0,1340.0,1345.0,1328.2572021484375,147500
2021-03-04,1345.0,1350.0,1345.0,1350.0,1333.195068359375,140400
2021-03-05,1350.0,1405.0,1350.0,1405.0,1387.5103759765625,911300
2021-03-08,1405.0,1450.0,1405.0,1450.0,1431.9501953125,860100
2021-03-09,1450.0,1470.0,1450.0,1460.0,1441.82568359375,676300
2021-03-10,1460.0,1465.0,1455.0,1465.0,1446.763427734375,191400
2021-03-12,1465.0,1465.0,1450.0,1460.0,1441.82568359375,353000
2021-03-15,1460.0,1465.0,1455.0,1460.0,1441.82568359375,390800
2021-03-16,1460.0,1465.0,1455.0,1460.0,1441.82568359375,140100
2021-03-17,1460.0,1460.0,1455.0,1460.0,1441.82568359375,156400
2021-03-18,1460.0,1475.0,1460.0,1475.0,1456.6390380859375,243400
2021-03-19,1475.0,1505.0,1460.0,1470.0,1451.7012939453125,2504800
2021-03-22,1470.0,1475.0,1470.0,1475.0,1456.6390380859375,151600
2021-03-23,1475.0,1475.0,1470.0,1475.0,1456.6390380859375,183400
2021-03-24,1475.0,1475.0,1470.0,1475.0,1456.6390380859375,136700
2021-03-25,1475.0,1495.0,1470.0,1495.0,1476.3900146484375,454300
2021-03-26,1495.0,1515.0,1490.0,1500.0,1481.3277587890625,2306700
2021-03-29,1500.0,1500.0,1485.0,1495.0,1476.3900146484375,365500
2021-03-30,1495.0,1495.0,1485.0,1490.0,1471.4522705078125,222800
2021-03-31,1490.0,1495.0,1390.0,1390.0,1372.6971435546875,955800
2021-04-01,1390.0,1390.0,1295.0,1295.0,1278.879638671875,566600
2021-04-05,1295.0,1295.0,1255.0,1270.0,1254.19091796875,327800
2021-04-06,1270.0,1270.0,1255.0,1260.0,1244.3153076171875,195200
2021-04-07,1260.0,1260.0,1230.0,1230.0,1214.6888427734375,311000
2021-04-08,1230.0,1230.0,1220.0,1220.0,1204.813232421875,135600
2021-04-09,1220.0,1225.0,1200.0,1210.0,1194.937744140625,375700
2021-04-12,1210.0,1210.0,1210.0,1210.0,1194.937744140625,141100
2021-04-13,1210.0,1215.0,1210.0,1210.0,1194.937744140625,106900
2021-04-14,1210.0,1215.0,1210.0,1215.0,1199.87548828125,189300
2021-04-15,1215.0,1225.0,1215.0,1225.0,1209.7510986328125,187100
2021-04-16,1230.0,1240.0,1230.0,1235.0,1219.6265869140625,155400
2021-04-19,1240.0,1250.0,1240.0,1250.0,1234.4398193359375,232800
2021-04-20,1250.0,1255.0,1250.0,1250.0,1234.4398193359375,148600
2021-04-21,1250.0,1255.0,1245.0,1245.0,1229.5020751953125,195900
2021-04-22,1245.0,1245.0,1240.0,1240.0,1224.5643310546875,154600
2021-04-23,1240.0,1240.0,1240.0,1240.0,1224.5643310546875,89800
2021-04-26,1240.0,1240.0,1240.0,1240.0,1224.5643310546875,1132400
2021-04-27,1240.0,1240.0,1240.0,1240.0,1224.5643310546875,105100
2021-04-28,1240.0,1245.0,1240.0,1240.0,1224.5643310546875,108000
2021-04-29,1240.0,1240.0,1240.0,1240.0,1224.5643310546875,94600
2021-04-30,1240.0,1240.0,1235.0,1235.0,1219.6265869140625,125700
2021-05-03,1230.0,1240.0,1225.0,1225.0,1209.7510986328125,192700
2021-05-04,1225.0,1225.0,1220.0,1220.0,1204.813232421875,178000
2021-05-05,1215.0,1225.0,1215.0,1220.0,1204.813232421875,181700
2021-05-06,1220.0,1225.0,1215.0,1225.0,1209.7510986328125,186100
2021-05-07,1220.0,1225.0,1220.0,1225.0,1209.7510986328125,177900
2021-05-10,1225.0,1230.0,1225.0,1225.0,1209.7510986328125,130300
2021-05-11,1225.0,1230.0,1220.0,1225.0,1209.7510986328125,160500
2021-05-17,1195.0,1230.0,1195.0,1225.0,1209.7510986328125,466400
2021-05-18,1225.0,1225.0,1225.0,1225.0,1209.7510986328125,109700
2021-05-19,1225.0,1225.0,1215.0,1215.0,1199.87548828125,153200
2021-05-20,1215.0,1220.0,1215.0,1220.0,1204.813232421875,97900
