Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,101.0,106.0,100.0,103.0,103.0,8428700
2021-12-02,105.0,105.0,101.0,103.0,103.0,5927000
2021-12-03,101.0,105.0,96.0,102.0,102.0,7069200
2021-12-06,102.0,103.0,97.0,99.0,99.0,5317300
2021-12-07,99.0,102.0,97.0,98.0,98.0,3047900
2021-12-08,98.0,99.0,96.0,98.0,98.0,402200
2021-12-09,98.0,99.0,96.0,98.0,98.0,1479100
2021-12-10,99.0,102.0,96.0,99.0,99.0,13308900
2021-12-13,98.0,98.0,95.0,95.0,95.0,3697400
2021-12-14,97.0,103.0,95.0,97.0,97.0,21238300
2021-12-15,99.0,104.0,97.0,97.0,97.0,19476100
2021-12-16,97.0,109.0,97.0,98.0,98.0,36572000
2021-12-17,100.0,132.0,100.0,118.0,118.0,134674100
2021-12-20,121.0,121.0,110.0,112.0,112.0,30109100
2021-12-21,113.0,121.0,108.0,113.0,113.0,45192800
2021-12-22,115.0,117.0,110.0,114.0,114.0,18812600
2021-12-23,114.0,142.0,110.0,121.0,121.0,113197300
2021-12-24,122.0,123.0,115.0,116.0,116.0,7329100
2021-12-27,116.0,125.0,112.0,117.0,117.0,27026300
2021-12-28,117.0,157.0,116.0,157.0,157.0,177135800
2021-12-29,158.0,172.0,147.0,147.0,147.0,115773700
2021-12-30,139.0,151.0,137.0,137.0,137.0,37150800
2022-01-03,135.0,137.0,128.0,128.0,128.0,14843900
2022-01-04,128.0,140.0,126.0,133.0,133.0,25427300
2022-01-05,135.0,138.0,130.0,131.0,131.0,8957900
2022-01-06,131.0,137.0,127.0,133.0,133.0,12395100
2022-01-07,135.0,153.0,133.0,147.0,147.0,109457400
