Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,348.0,358.0,338.0,338.0,338.0,833000
2021-12-02,340.0,344.0,330.0,342.0,342.0,591500
2021-12-03,342.0,356.0,334.0,344.0,344.0,502600
2021-12-06,346.0,354.0,344.0,348.0,348.0,246500
2021-12-07,348.0,350.0,334.0,338.0,338.0,444600
2021-12-08,338.0,338.0,316.0,316.0,316.0,2916300
2021-12-09,316.0,316.0,294.0,302.0,302.0,2401500
2021-12-10,302.0,314.0,300.0,304.0,304.0,977200
2021-12-13,304.0,314.0,304.0,314.0,314.0,885800
2021-12-14,324.0,324.0,308.0,312.0,312.0,718900
2021-12-15,312.0,318.0,310.0,310.0,310.0,644500
2021-12-16,310.0,320.0,306.0,308.0,308.0,1115400
2021-12-17,308.0,316.0,306.0,310.0,310.0,531800
2021-12-20,314.0,314.0,300.0,304.0,304.0,962100
2021-12-21,306.0,318.0,302.0,312.0,312.0,805300
2021-12-22,314.0,314.0,310.0,310.0,310.0,226000
2021-12-23,310.0,312.0,308.0,310.0,310.0,113100
2021-12-24,310.0,310.0,290.0,290.0,290.0,1834600
2021-12-27,288.0,288.0,272.0,284.0,284.0,1752400
2021-12-28,284.0,300.0,278.0,290.0,290.0,2868600
2021-12-29,288.0,294.0,282.0,284.0,284.0,491200
2021-12-30,286.0,290.0,284.0,288.0,288.0,222900
2022-01-03,288.0,294.0,280.0,284.0,284.0,993700
2022-01-04,284.0,290.0,284.0,288.0,288.0,473600
2022-01-05,282.0,290.0,280.0,290.0,290.0,447500
2022-01-06,290.0,292.0,280.0,284.0,284.0,881700
2022-01-07,284.0,292.0,280.0,290.0,290.0,439100
