Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,2030.0,2040.0,2020.0,2030.0,2030.0,112600
2021-12-02,2030.0,2040.0,2020.0,2030.0,2030.0,274000
2021-12-03,2030.0,2060.0,2020.0,2050.0,2050.0,102400
2021-12-06,2050.0,2050.0,2030.0,2040.0,2040.0,58400
2021-12-07,2040.0,2070.0,2000.0,2050.0,2050.0,173300
2021-12-08,2050.0,2050.0,2030.0,2040.0,2040.0,182200
2021-12-09,2040.0,2050.0,2010.0,2020.0,2020.0,234400
2021-12-10,2020.0,2050.0,2020.0,2030.0,2030.0,41700
2021-12-13,2030.0,2050.0,2010.0,2040.0,2040.0,83400
2021-12-14,2040.0,2080.0,2020.0,2030.0,2030.0,134900
2021-12-15,2020.0,2070.0,2000.0,2010.0,2010.0,233300
2021-12-16,2020.0,2030.0,2000.0,2010.0,2010.0,193500
2021-12-17,2020.0,2020.0,2000.0,2000.0,2000.0,77200
2021-12-20,2000.0,2040.0,2000.0,2040.0,2040.0,1979200
2021-12-21,2040.0,2100.0,2000.0,2030.0,2030.0,748500
2021-12-22,2030.0,2040.0,2010.0,2020.0,2020.0,62600
2021-12-23,2020.0,2030.0,2020.0,2030.0,2030.0,165500
2021-12-24,2030.0,2040.0,2020.0,2020.0,2020.0,52500
2021-12-27,2020.0,2040.0,2010.0,2020.0,2020.0,116400
2021-12-28,2020.0,2040.0,1990.0,2000.0,2000.0,238100
2021-12-29,2020.0,2100.0,1995.0,2100.0,2100.0,331900
2021-12-30,2080.0,2080.0,2020.0,2030.0,2030.0,128500
2022-01-03,2030.0,2040.0,2010.0,2020.0,2020.0,83500
2022-01-04,2020.0,2040.0,2010.0,2020.0,2020.0,68500
2022-01-05,2020.0,2060.0,2000.0,2020.0,2020.0,69500
2022-01-06,2020.0,2200.0,2020.0,2170.0,2170.0,3697100
2022-01-07,2180.0,2300.0,2170.0,2220.0,2220.0,2844400
