Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,710.0,715.0,695.0,695.0,695.0,54783800
2021-12-02,695.0,730.0,695.0,710.0,710.0,58569300
2021-12-03,715.0,715.0,695.0,700.0,700.0,34698200
2021-12-06,700.0,725.0,695.0,695.0,695.0,36595400
2021-12-07,695.0,705.0,685.0,690.0,690.0,29046400
2021-12-08,690.0,700.0,675.0,675.0,675.0,49924000
2021-12-09,680.0,690.0,630.0,655.0,655.0,64341500
2021-12-10,645.0,680.0,610.0,635.0,635.0,65085300
2021-12-13,635.0,670.0,625.0,635.0,635.0,73448700
2021-12-14,635.0,645.0,605.0,610.0,610.0,62850100
2021-12-15,610.0,625.0,570.0,575.0,575.0,56524000
2021-12-16,575.0,580.0,535.0,535.0,535.0,31821300
2021-12-17,535.0,545.0,505.0,505.0,505.0,42428900
2021-12-20,505.0,580.0,505.0,560.0,560.0,40410900
2021-12-21,570.0,575.0,525.0,525.0,525.0,32408800
2021-12-22,525.0,545.0,510.0,520.0,520.0,39949300
2021-12-23,525.0,530.0,505.0,515.0,515.0,42170600
2021-12-24,515.0,525.0,484.0,486.0,486.0,47448800
2021-12-27,486.0,520.0,482.0,500.0,500.0,49820800
2021-12-28,500.0,515.0,490.0,505.0,505.0,88067900
2021-12-29,505.0,580.0,500.0,540.0,540.0,117377400
2021-12-30,540.0,575.0,520.0,525.0,525.0,69903400
2022-01-03,525.0,530.0,494.0,500.0,500.0,57042800
2022-01-04,480.0,520.0,480.0,500.0,500.0,57359700
2022-01-05,505.0,510.0,492.0,492.0,492.0,16515200
2022-01-06,492.0,500.0,486.0,490.0,490.0,22735400
2022-01-07,490.0,498.0,488.0,490.0,490.0,22863600
