Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,288.0,290.0,280.0,284.0,284.0,918300
2021-12-02,284.0,296.0,278.0,294.0,294.0,1019000
2021-12-03,294.0,294.0,286.0,286.0,286.0,356900
2021-12-06,288.0,290.0,280.0,284.0,284.0,287200
2021-12-07,286.0,288.0,280.0,284.0,284.0,493900
2021-12-08,284.0,288.0,282.0,288.0,288.0,467600
2021-12-09,292.0,292.0,284.0,288.0,288.0,259200
2021-12-10,288.0,288.0,280.0,280.0,280.0,668300
2021-12-13,280.0,290.0,280.0,280.0,280.0,656600
2021-12-14,282.0,284.0,278.0,282.0,282.0,287700
2021-12-15,284.0,288.0,278.0,278.0,278.0,563300
2021-12-16,278.0,284.0,272.0,272.0,272.0,538500
2021-12-17,272.0,276.0,266.0,272.0,272.0,381200
2021-12-20,272.0,280.0,260.0,264.0,264.0,1677300
2021-12-21,264.0,268.0,262.0,268.0,268.0,317500
2021-12-22,268.0,276.0,268.0,274.0,274.0,644300
2021-12-23,276.0,282.0,266.0,270.0,270.0,374800
2021-12-24,270.0,272.0,268.0,268.0,268.0,173700
2021-12-27,268.0,276.0,268.0,270.0,270.0,121100
2021-12-28,272.0,278.0,270.0,274.0,274.0,581200
2021-12-29,278.0,278.0,270.0,272.0,272.0,345300
2021-12-30,272.0,272.0,264.0,264.0,264.0,347300
2022-01-03,264.0,270.0,258.0,264.0,264.0,495900
2022-01-04,264.0,268.0,262.0,266.0,266.0,554300
2022-01-05,268.0,280.0,266.0,270.0,270.0,1270200
2022-01-06,270.0,276.0,262.0,270.0,270.0,749000
2022-01-07,270.0,274.0,268.0,272.0,272.0,414600
