Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,615.0,685.0,615.0,640.0,640.0,83000
2021-12-02,645.0,645.0,600.0,600.0,600.0,32600
2021-12-03,575.0,620.0,570.0,580.0,580.0,13400
2021-12-06,580.0,580.0,575.0,575.0,575.0,2600
2021-12-07,575.0,715.0,575.0,705.0,705.0,62500
2021-12-08,715.0,800.0,660.0,660.0,660.0,102500
2021-12-09,670.0,700.0,640.0,650.0,650.0,8000
2021-12-10,610.0,690.0,610.0,690.0,690.0,18800
2021-12-13,685.0,820.0,645.0,690.0,690.0,122200
2021-12-14,690.0,780.0,690.0,690.0,690.0,71700
2021-12-15,690.0,735.0,690.0,700.0,700.0,13200
2021-12-16,720.0,725.0,665.0,670.0,670.0,4700
2021-12-17,675.0,690.0,650.0,655.0,655.0,54000
2021-12-20,655.0,815.0,615.0,800.0,800.0,248000
2021-12-21,850.0,850.0,745.0,770.0,770.0,34600
2021-12-22,770.0,960.0,735.0,960.0,960.0,324200
2021-12-23,965.0,1200.0,895.0,895.0,895.0,656800
2021-12-24,860.0,940.0,835.0,840.0,840.0,121300
2021-12-27,840.0,840.0,785.0,785.0,785.0,62200
2021-12-28,790.0,805.0,735.0,735.0,735.0,22800
2021-12-29,735.0,740.0,690.0,690.0,690.0,34300
2021-12-30,690.0,690.0,645.0,645.0,645.0,50400
2022-01-03,645.0,645.0,600.0,600.0,600.0,23900
2022-01-04,600.0,700.0,565.0,605.0,605.0,37500
2022-01-05,605.0,630.0,605.0,610.0,610.0,22600
2022-01-06,610.0,675.0,610.0,620.0,620.0,42600
2022-01-07,620.0,625.0,600.0,610.0,610.0,9800
