Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,93.0,94.0,88.0,91.0,91.0,27881100
2021-12-02,91.0,92.0,88.0,92.0,92.0,19668200
2021-12-03,92.0,96.0,90.0,95.0,95.0,202085600
2021-12-06,95.0,96.0,92.0,93.0,93.0,19112700
2021-12-07,94.0,95.0,91.0,92.0,92.0,26340900
2021-12-08,92.0,93.0,91.0,92.0,92.0,9224100
2021-12-09,92.0,99.0,91.0,98.0,98.0,64797300
2021-12-10,98.0,99.0,95.0,97.0,97.0,26802600
2021-12-13,97.0,98.0,95.0,97.0,97.0,14298700
2021-12-14,97.0,98.0,95.0,96.0,96.0,6200000
2021-12-15,96.0,96.0,92.0,94.0,94.0,14900100
2021-12-16,94.0,95.0,92.0,95.0,95.0,12384600
2021-12-17,95.0,95.0,92.0,93.0,93.0,7193500
2021-12-20,93.0,93.0,91.0,93.0,93.0,6422900
2021-12-21,92.0,94.0,92.0,94.0,94.0,6936600
2021-12-22,94.0,95.0,91.0,92.0,92.0,35650800
2021-12-23,92.0,92.0,90.0,92.0,92.0,6210000
2021-12-24,91.0,92.0,89.0,91.0,91.0,12930000
2021-12-27,91.0,93.0,91.0,92.0,92.0,10300700
2021-12-28,92.0,93.0,90.0,91.0,91.0,12272700
2021-12-29,91.0,103.0,90.0,95.0,95.0,152871100
2021-12-30,97.0,99.0,93.0,94.0,94.0,36477500
2022-01-03,94.0,96.0,92.0,93.0,93.0,12412500
2022-01-04,93.0,95.0,92.0,95.0,95.0,11104500
2022-01-05,95.0,96.0,89.0,91.0,91.0,39342200
2022-01-06,91.0,91.0,88.0,89.0,89.0,33715700
2022-01-07,89.0,89.0,88.0,89.0,89.0,6106600
