Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,430.0,450.0,422.0,442.0,442.0,52799800
2021-01-05,444.0,468.0,436.0,456.0,456.0,128845700
2021-01-06,460.0,464.0,440.0,448.0,448.0,52318700
2021-01-07,450.0,466.0,450.0,462.0,462.0,77672800
2021-01-08,464.0,575.0,464.0,575.0,575.0,683484900
2021-01-11,585.0,670.0,565.0,590.0,590.0,594981200
2021-01-12,595.0,680.0,575.0,665.0,665.0,479617800
2021-01-13,670.0,710.0,650.0,655.0,655.0,353033000
2021-01-14,660.0,805.0,655.0,760.0,760.0,688449400
2021-01-15,765.0,795.0,735.0,775.0,775.0,243007400
2021-01-18,785.0,865.0,760.0,760.0,760.0,390858700
2021-01-19,765.0,790.0,710.0,710.0,710.0,251185800
2021-01-20,685.0,775.0,670.0,765.0,765.0,251303900
2021-01-21,770.0,790.0,725.0,730.0,730.0,139713500
2021-01-22,730.0,735.0,680.0,690.0,690.0,114126200
2021-01-25,680.0,715.0,650.0,690.0,690.0,111112400
2021-01-26,690.0,765.0,650.0,655.0,655.0,312813000
2021-01-27,670.0,690.0,625.0,655.0,655.0,168082200
2021-01-28,650.0,670.0,610.0,610.0,610.0,128429200
2021-01-29,615.0,645.0,570.0,580.0,580.0,168251600
2021-02-01,580.0,645.0,550.0,645.0,645.0,223107500
2021-02-02,650.0,665.0,600.0,605.0,605.0,133067600
2021-02-03,610.0,685.0,595.0,665.0,665.0,266614400
2021-02-04,675.0,710.0,640.0,685.0,685.0,338601900
2021-02-05,690.0,705.0,675.0,680.0,680.0,112775700
2021-02-08,690.0,740.0,685.0,735.0,735.0,252572800
2021-02-09,740.0,745.0,695.0,705.0,705.0,156041000
2021-02-10,710.0,750.0,685.0,735.0,735.0,262137400
2021-02-11,740.0,745.0,720.0,725.0,725.0,108607200
2021-02-15,730.0,750.0,725.0,730.0,730.0,86360900
2021-02-16,735.0,770.0,725.0,740.0,740.0,228896000
2021-02-17,740.0,750.0,700.0,710.0,710.0,109972200
2021-02-18,710.0,735.0,690.0,705.0,705.0,93532100
2021-02-19,705.0,715.0,690.0,705.0,705.0,75275200
2021-02-22,710.0,740.0,705.0,710.0,710.0,151040200
2021-02-23,705.0,725.0,705.0,710.0,710.0,37897800
2021-02-24,715.0,725.0,700.0,705.0,705.0,80189800
2021-02-25,715.0,745.0,715.0,725.0,725.0,123725200
2021-02-26,715.0,720.0,685.0,705.0,705.0,108798200
2021-03-01,705.0,715.0,700.0,705.0,705.0,55017100
2021-03-02,705.0,715.0,665.0,675.0,675.0,113734500
2021-03-03,675.0,685.0,655.0,660.0,660.0,53070500
2021-03-04,660.0,660.0,625.0,635.0,635.0,71764400
2021-03-05,630.0,655.0,610.0,650.0,650.0,65176000
2021-03-08,660.0,670.0,650.0,650.0,650.0,32432200
2021-03-09,655.0,685.0,650.0,670.0,670.0,89062800
2021-03-10,675.0,685.0,660.0,670.0,670.0,29651900
2021-03-12,670.0,685.0,665.0,675.0,675.0,35340300
2021-03-15,680.0,710.0,670.0,680.0,680.0,87305500
2021-03-16,690.0,690.0,650.0,650.0,650.0,50539900
2021-03-17,655.0,675.0,635.0,675.0,675.0,38235500
2021-03-18,670.0,695.0,670.0,680.0,680.0,47452900
2021-03-19,675.0,680.0,660.0,675.0,675.0,30406400
2021-03-22,675.0,675.0,665.0,675.0,675.0,20682400
2021-03-23,675.0,680.0,650.0,655.0,655.0,31216700
2021-03-24,650.0,655.0,620.0,625.0,625.0,42564800
2021-03-25,610.0,625.0,585.0,605.0,605.0,62106700
2021-03-26,610.0,635.0,600.0,630.0,630.0,55190000
2021-03-29,640.0,640.0,610.0,610.0,610.0,28357000
2021-03-30,615.0,615.0,590.0,605.0,605.0,28177400
2021-03-31,605.0,615.0,585.0,605.0,605.0,31571200
2021-04-01,610.0,620.0,590.0,620.0,620.0,24367400
2021-04-05,620.0,630.0,605.0,625.0,625.0,32316300
2021-04-06,630.0,640.0,615.0,625.0,625.0,23310800
2021-04-07,630.0,635.0,615.0,625.0,625.0,17164500
2021-04-08,625.0,675.0,625.0,670.0,670.0,160772000
2021-04-09,670.0,675.0,650.0,660.0,660.0,46263700
2021-04-12,660.0,680.0,625.0,630.0,630.0,55599700
2021-04-13,625.0,665.0,615.0,660.0,660.0,66427700
2021-04-14,660.0,665.0,645.0,650.0,650.0,19261100
2021-04-15,660.0,670.0,645.0,645.0,645.0,19949500
