Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,306.0,306.0,306.0,306.0,306.0,800
2021-12-02,306.0,306.0,306.0,306.0,306.0,100
2021-12-06,306.0,308.0,306.0,308.0,308.0,6200
2021-12-07,308.0,308.0,308.0,308.0,308.0,6500
2021-12-08,308.0,308.0,308.0,308.0,308.0,0
2021-12-09,308.0,326.0,304.0,304.0,304.0,1800
2021-12-10,302.0,320.0,300.0,320.0,320.0,5000
2021-12-13,320.0,320.0,300.0,300.0,300.0,29500
2021-12-14,300.0,308.0,300.0,308.0,308.0,15200
2021-12-15,308.0,308.0,298.0,308.0,308.0,4100
2021-12-17,308.0,308.0,308.0,308.0,308.0,1700
2021-12-20,308.0,308.0,308.0,308.0,308.0,1600
2021-12-22,306.0,306.0,306.0,306.0,306.0,0
2021-12-23,306.0,306.0,306.0,306.0,306.0,5100
2021-12-24,306.0,324.0,306.0,324.0,324.0,1400
2021-12-27,304.0,304.0,304.0,304.0,304.0,2300
2021-12-28,304.0,306.0,304.0,306.0,306.0,6300
2021-12-30,292.0,296.0,292.0,294.0,294.0,300
2022-01-03,306.0,362.0,296.0,314.0,314.0,76400
2022-01-04,326.0,326.0,320.0,322.0,322.0,12600
2022-01-05,322.0,324.0,318.0,324.0,324.0,4000
2022-01-06,318.0,320.0,318.0,320.0,320.0,700
2022-01-07,318.0,318.0,318.0,318.0,318.0,200
