Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,190.0,204.0,190.0,204.0,204.0,5212900
2021-12-02,195.0,198.0,190.0,190.0,190.0,2413400
2021-12-03,190.0,198.0,190.0,194.0,194.0,105700
2021-12-06,194.0,194.0,184.0,193.0,193.0,112400
2021-12-07,198.0,198.0,185.0,185.0,185.0,365300
2021-12-08,185.0,193.0,183.0,190.0,190.0,201800
2021-12-09,192.0,192.0,182.0,188.0,188.0,255800
2021-12-10,188.0,189.0,185.0,185.0,185.0,76600
2021-12-13,185.0,196.0,183.0,190.0,190.0,314400
2021-12-14,192.0,195.0,185.0,192.0,192.0,90200
2021-12-15,193.0,194.0,191.0,193.0,193.0,43000
2021-12-16,195.0,199.0,192.0,192.0,192.0,76000
2021-12-17,192.0,198.0,192.0,195.0,195.0,62800
2021-12-20,199.0,199.0,190.0,191.0,191.0,71400
2021-12-21,195.0,195.0,190.0,190.0,190.0,9600
2021-12-22,189.0,206.0,183.0,200.0,200.0,1344100
2021-12-23,202.0,208.0,195.0,200.0,200.0,155600
2021-12-24,200.0,202.0,195.0,195.0,195.0,128600
2021-12-27,195.0,202.0,194.0,198.0,198.0,31100
2021-12-28,198.0,202.0,187.0,190.0,190.0,381600
2021-12-29,190.0,194.0,190.0,194.0,194.0,488000
2021-12-30,194.0,197.0,194.0,195.0,195.0,200800
2022-01-03,195.0,196.0,195.0,196.0,196.0,99700
2022-01-04,196.0,202.0,195.0,200.0,200.0,876100
2022-01-05,202.0,210.0,195.0,200.0,200.0,9111100
2022-01-06,202.0,236.0,198.0,208.0,208.0,58429900
2022-01-07,208.0,210.0,196.0,200.0,200.0,3282600
