Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,116.0,116.0,112.0,112.0,112.0,1352800
2021-12-02,112.0,115.0,112.0,113.0,113.0,718500
2021-12-03,113.0,114.0,111.0,111.0,111.0,404100
2021-12-06,113.0,113.0,109.0,111.0,111.0,431400
2021-12-07,110.0,112.0,107.0,111.0,111.0,1628900
2021-12-08,111.0,112.0,109.0,111.0,111.0,327500
2021-12-09,111.0,111.0,106.0,109.0,109.0,932000
2021-12-10,109.0,113.0,107.0,111.0,111.0,722900
2021-12-13,111.0,118.0,110.0,117.0,117.0,6284000
2021-12-14,117.0,117.0,112.0,114.0,114.0,1024600
2021-12-15,114.0,122.0,113.0,122.0,122.0,9445700
2021-12-16,122.0,122.0,116.0,117.0,117.0,3897800
2021-12-17,116.0,117.0,114.0,116.0,116.0,1444800
2021-12-20,116.0,117.0,114.0,115.0,115.0,944100
2021-12-21,114.0,115.0,112.0,114.0,114.0,837900
2021-12-22,114.0,114.0,110.0,113.0,113.0,1562300
2021-12-23,113.0,113.0,109.0,113.0,113.0,1649200
2021-12-24,112.0,113.0,109.0,111.0,111.0,709200
2021-12-27,111.0,112.0,110.0,111.0,111.0,851700
2021-12-28,111.0,112.0,110.0,112.0,112.0,1660000
2021-12-29,112.0,113.0,111.0,111.0,111.0,1052800
2021-12-30,113.0,113.0,110.0,112.0,112.0,884300
2022-01-03,113.0,113.0,111.0,113.0,113.0,121700
2022-01-04,113.0,114.0,111.0,113.0,113.0,213300
2022-01-05,112.0,113.0,110.0,113.0,113.0,702800
2022-01-06,113.0,113.0,108.0,109.0,109.0,948600
2022-01-07,109.0,113.0,108.0,109.0,109.0,1915500
