Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,490.0,500.0,488.0,496.0,481.9622497558594,103200
2021-01-05,492.0,496.0,476.0,494.0,480.01885986328125,321800
2021-01-06,494.0,494.0,484.0,488.0,474.1886901855469,925800
2021-01-07,488.0,496.0,486.0,488.0,474.1886901855469,478900
2021-01-08,488.0,492.0,478.0,486.0,472.2452697753906,936700
2021-01-11,486.0,490.0,480.0,486.0,472.2452697753906,791000
2021-01-12,486.0,496.0,486.0,494.0,480.01885986328125,381600
2021-01-13,496.0,496.0,488.0,490.0,476.132080078125,448600
2021-01-14,492.0,492.0,488.0,488.0,474.1886901855469,305200
2021-01-15,490.0,510.0,488.0,505.0,490.7075500488281,1572100
2021-01-18,510.0,550.0,510.0,530.0,515.0,2590800
2021-01-19,540.0,555.0,525.0,540.0,524.7169799804688,2086500
2021-01-20,560.0,560.0,520.0,520.0,505.28302001953125,456300
2021-01-21,530.0,540.0,520.0,525.0,510.1415100097656,196000
2021-01-22,525.0,540.0,520.0,530.0,515.0,147300
2021-01-25,530.0,530.0,500.0,520.0,505.28302001953125,234600
2021-01-26,530.0,530.0,490.0,490.0,476.132080078125,218500
2021-01-27,484.0,486.0,466.0,486.0,472.2452697753906,389000
2021-01-28,486.0,490.0,470.0,486.0,472.2452697753906,342200
2021-01-29,484.0,500.0,478.0,484.0,470.3018798828125,118900
2021-02-01,484.0,488.0,464.0,488.0,474.1886901855469,120700
2021-02-02,505.0,505.0,488.0,500.0,485.84906005859375,404600
2021-02-03,500.0,520.0,496.0,500.0,485.84906005859375,93100
2021-02-04,500.0,500.0,492.0,500.0,485.84906005859375,176300
2021-02-05,505.0,505.0,496.0,500.0,485.84906005859375,103900
2021-02-08,500.0,520.0,498.0,520.0,505.28302001953125,64200
2021-02-09,520.0,520.0,498.0,510.0,495.5660400390625,62300
2021-02-10,505.0,510.0,500.0,505.0,490.7075500488281,34000
2021-02-11,505.0,520.0,500.0,515.0,500.4245300292969,42200
2021-02-15,515.0,515.0,500.0,500.0,485.84906005859375,86900
2021-02-16,510.0,510.0,505.0,505.0,490.7075500488281,25100
2021-02-17,505.0,510.0,505.0,510.0,495.5660400390625,57300
2021-02-18,510.0,515.0,505.0,515.0,500.4245300292969,37700
2021-02-19,505.0,510.0,500.0,510.0,495.5660400390625,62500
2021-02-22,505.0,510.0,505.0,510.0,495.5660400390625,237300
2021-02-23,505.0,515.0,505.0,515.0,500.4245300292969,55700
2021-02-24,515.0,515.0,505.0,510.0,495.5660400390625,54800
2021-02-25,505.0,505.0,500.0,505.0,490.7075500488281,369500
2021-02-26,500.0,505.0,500.0,505.0,490.7075500488281,378700
2021-03-01,505.0,510.0,496.0,505.0,490.7075500488281,189800
2021-03-02,505.0,505.0,494.0,500.0,485.84906005859375,128800
2021-03-03,500.0,505.0,500.0,500.0,485.84906005859375,52800
2021-03-04,500.0,505.0,500.0,500.0,485.84906005859375,259100
2021-03-05,500.0,500.0,500.0,500.0,485.84906005859375,106400
2021-03-08,500.0,505.0,500.0,505.0,490.7075500488281,27700
2021-03-09,505.0,505.0,498.0,500.0,485.84906005859375,85400
2021-03-10,500.0,505.0,500.0,500.0,485.84906005859375,38600
2021-03-12,500.0,505.0,500.0,505.0,490.7075500488281,122500
2021-03-15,505.0,505.0,498.0,505.0,490.7075500488281,131100
2021-03-16,505.0,525.0,500.0,515.0,500.4245300292969,775500
2021-03-17,515.0,545.0,510.0,520.0,505.28302001953125,285700
2021-03-18,520.0,520.0,505.0,505.0,490.7075500488281,167400
2021-03-19,510.0,510.0,498.0,505.0,490.7075500488281,280900
2021-03-22,515.0,515.0,505.0,505.0,490.7075500488281,32700
2021-03-23,505.0,510.0,500.0,505.0,490.7075500488281,20400
2021-03-24,505.0,510.0,496.0,510.0,495.5660400390625,311100
2021-03-25,510.0,510.0,494.0,500.0,485.84906005859375,156200
2021-03-26,496.0,505.0,496.0,505.0,490.7075500488281,4600
2021-03-29,500.0,510.0,500.0,510.0,495.5660400390625,172600
2021-03-30,510.0,510.0,500.0,500.0,485.84906005859375,12500
2021-03-31,498.0,505.0,492.0,498.0,483.9056701660156,254400
2021-04-01,498.0,500.0,490.0,500.0,485.84906005859375,67200
2021-04-05,500.0,505.0,500.0,505.0,490.7075500488281,279400
2021-04-06,505.0,505.0,500.0,505.0,490.7075500488281,46200
2021-04-07,494.0,510.0,494.0,500.0,485.84906005859375,365800
2021-04-08,500.0,510.0,500.0,500.0,485.84906005859375,41700
2021-04-09,500.0,510.0,496.0,505.0,490.7075500488281,164600
2021-04-12,505.0,510.0,500.0,505.0,490.7075500488281,35500
2021-04-13,500.0,500.0,498.0,498.0,483.9056701660156,14600
2021-04-14,498.0,505.0,498.0,505.0,490.7075500488281,25200
2021-04-15,500.0,500.0,498.0,500.0,485.84906005859375,31000
2021-04-16,500.0,505.0,500.0,505.0,490.7075500488281,77400
2021-04-19,505.0,505.0,500.0,500.0,485.84906005859375,101500
2021-04-20,500.0,510.0,500.0,510.0,495.5660400390625,422200
2021-04-21,515.0,515.0,505.0,510.0,495.5660400390625,4400
2021-04-22,510.0,510.0,500.0,500.0,485.84906005859375,428300
2021-04-23,505.0,505.0,496.0,505.0,490.7075500488281,140700
2021-04-26,505.0,505.0,498.0,498.0,483.9056701660156,95100
2021-04-27,500.0,505.0,500.0,500.0,485.84906005859375,61400
2021-04-28,500.0,505.0,500.0,505.0,490.7075500488281,247600
2021-04-29,500.0,505.0,498.0,505.0,490.7075500488281,239900
2021-04-30,505.0,505.0,500.0,505.0,490.7075500488281,39000
2021-05-03,505.0,515.0,500.0,510.0,495.5660400390625,854600
2021-05-04,515.0,540.0,505.0,520.0,505.28302001953125,813900
2021-05-05,520.0,520.0,505.0,505.0,490.7075500488281,420200
2021-05-06,515.0,515.0,505.0,510.0,495.5660400390625,119800
2021-05-07,510.0,510.0,505.0,510.0,495.5660400390625,217500
2021-05-10,515.0,570.0,515.0,565.0,549.0093994140625,1341900
2021-05-11,575.0,580.0,540.0,550.0,534.4339599609375,858100
2021-05-17,550.0,570.0,540.0,545.0,529.575439453125,275600
2021-05-18,540.0,570.0,520.0,540.0,524.7169799804688,73900
2021-05-19,545.0,545.0,530.0,530.0,515.0,512400
2021-05-20,545.0,575.0,540.0,540.0,524.7169799804688,302400
2021-05-21,545.0,560.0,540.0,540.0,524.7169799804688,218500
2021-05-24,545.0,545.0,525.0,535.0,519.8584594726562,499400
2021-05-25,545.0,565.0,545.0,565.0,549.0093994140625,561900
2021-05-27,570.0,570.0,550.0,560.0,544.1509399414062,238400
2021-05-28,560.0,560.0,535.0,540.0,524.7169799804688,685000
2021-05-31,540.0,555.0,540.0,555.0,539.2924194335938,158900
2021-06-02,560.0,630.0,555.0,555.0,539.2924194335938,1296700
2021-06-03,580.0,585.0,560.0,580.0,563.5848999023438,317900
2021-06-04,580.0,580.0,550.0,555.0,539.2924194335938,597900
2021-06-07,560.0,560.0,550.0,555.0,539.2924194335938,323200
2021-06-08,555.0,555.0,530.0,530.0,515.0,2703400
2021-06-09,525.0,540.0,520.0,530.0,530.0,524300
2021-06-10,525.0,540.0,525.0,535.0,535.0,1114000
2021-06-11,540.0,550.0,530.0,530.0,530.0,676600
2021-06-14,530.0,540.0,530.0,535.0,535.0,249400
2021-06-15,540.0,545.0,535.0,545.0,545.0,73300
2021-06-16,545.0,545.0,540.0,540.0,540.0,73000
2021-06-17,535.0,535.0,520.0,530.0,530.0,553100
2021-06-18,530.0,530.0,510.0,520.0,520.0,545500
2021-06-21,510.0,530.0,510.0,530.0,530.0,328800
2021-06-22,530.0,535.0,510.0,530.0,530.0,134900
2021-06-23,530.0,540.0,530.0,540.0,540.0,126900
2021-06-24,530.0,540.0,530.0,535.0,535.0,499900
2021-06-25,530.0,540.0,520.0,535.0,535.0,228900
2021-06-28,535.0,535.0,530.0,530.0,530.0,436600
2021-06-29,535.0,540.0,515.0,530.0,530.0,63200
2021-06-30,530.0,535.0,510.0,530.0,530.0,36100
2021-07-01,525.0,535.0,520.0,530.0,530.0,118800
2021-07-02,530.0,535.0,520.0,535.0,535.0,76100
2021-07-05,550.0,550.0,525.0,530.0,530.0,4100
2021-07-06,525.0,535.0,520.0,530.0,530.0,23900
2021-07-07,530.0,540.0,530.0,540.0,540.0,46900
2021-07-08,540.0,545.0,535.0,540.0,540.0,299800
2021-07-09,535.0,540.0,535.0,540.0,540.0,173300
2021-07-12,545.0,550.0,535.0,545.0,545.0,241000
2021-07-13,550.0,555.0,545.0,545.0,545.0,392300
2021-07-14,545.0,565.0,535.0,545.0,545.0,714900
2021-07-15,545.0,560.0,535.0,555.0,555.0,383900
2021-07-16,555.0,680.0,555.0,635.0,635.0,6419000
2021-07-19,630.0,635.0,595.0,595.0,595.0,962300
2021-07-21,595.0,620.0,575.0,595.0,595.0,1154500
2021-07-22,600.0,605.0,585.0,595.0,595.0,250800
2021-07-23,595.0,640.0,585.0,620.0,620.0,3664200
2021-07-26,625.0,670.0,610.0,625.0,625.0,3984900
2021-07-27,630.0,680.0,620.0,665.0,665.0,5398600
2021-07-28,665.0,670.0,630.0,635.0,635.0,1124200
2021-07-29,640.0,640.0,620.0,625.0,625.0,842200
2021-07-30,640.0,640.0,600.0,615.0,615.0,785100
2021-08-02,615.0,620.0,600.0,605.0,605.0,851900
2021-08-03,605.0,640.0,595.0,615.0,615.0,942700
2021-08-04,625.0,635.0,615.0,615.0,615.0,242400
2021-08-05,625.0,625.0,610.0,615.0,615.0,676600
2021-08-06,615.0,620.0,605.0,610.0,610.0,1152700
2021-08-09,610.0,620.0,605.0,610.0,610.0,462300
2021-08-10,600.0,605.0,570.0,600.0,600.0,789400
2021-08-12,590.0,610.0,585.0,595.0,595.0,290000
2021-08-13,595.0,605.0,575.0,600.0,600.0,271900
2021-08-16,600.0,605.0,585.0,590.0,590.0,172300
2021-08-18,590.0,605.0,585.0,600.0,600.0,499900
2021-08-19,600.0,600.0,580.0,590.0,590.0,152400
2021-08-20,585.0,595.0,575.0,595.0,595.0,147000
2021-08-23,595.0,600.0,575.0,590.0,590.0,115800
2021-08-24,595.0,605.0,590.0,595.0,595.0,140900
2021-08-25,595.0,600.0,590.0,600.0,600.0,79100
2021-08-26,600.0,600.0,580.0,585.0,585.0,36500
2021-08-27,585.0,595.0,585.0,585.0,585.0,134700
2021-08-30,590.0,590.0,585.0,585.0,585.0,94100
2021-08-31,590.0,600.0,585.0,590.0,590.0,173500
2021-09-01,590.0,605.0,585.0,595.0,595.0,170700
2021-09-02,600.0,610.0,580.0,595.0,595.0,362700
2021-09-03,595.0,605.0,590.0,600.0,600.0,26300
2021-09-06,600.0,600.0,590.0,595.0,595.0,45600
2021-09-07,595.0,600.0,590.0,600.0,600.0,67000
2021-09-08,600.0,600.0,585.0,590.0,590.0,435700
2021-09-09,590.0,595.0,590.0,590.0,590.0,17600
2021-09-10,585.0,600.0,585.0,595.0,595.0,11300
2021-09-13,595.0,600.0,585.0,590.0,590.0,80600
2021-09-14,585.0,595.0,585.0,595.0,595.0,16100
2021-09-15,590.0,595.0,590.0,595.0,595.0,49400
2021-09-16,595.0,595.0,580.0,595.0,595.0,177800
2021-09-17,595.0,600.0,590.0,595.0,595.0,12900
2021-09-20,595.0,595.0,580.0,595.0,595.0,176600
2021-09-21,585.0,595.0,585.0,595.0,595.0,43200
2021-09-22,595.0,610.0,590.0,605.0,605.0,606200
2021-09-23,610.0,625.0,600.0,610.0,610.0,485400
2021-09-24,610.0,625.0,610.0,620.0,620.0,820600
2021-09-27,620.0,630.0,620.0,630.0,630.0,776200
2021-09-28,630.0,630.0,620.0,620.0,620.0,92700
2021-09-29,615.0,630.0,615.0,620.0,620.0,182100
2021-09-30,630.0,630.0,615.0,620.0,620.0,376900
2021-10-01,625.0,625.0,615.0,625.0,625.0,11600
2021-10-04,630.0,630.0,605.0,615.0,615.0,134500
2021-10-05,620.0,620.0,600.0,610.0,610.0,1025200
2021-10-06,600.0,615.0,600.0,615.0,615.0,178000
2021-10-07,615.0,620.0,595.0,605.0,605.0,699600
2021-10-08,615.0,625.0,600.0,605.0,605.0,125200
2021-10-11,620.0,620.0,600.0,605.0,605.0,97300
2021-10-12,605.0,620.0,605.0,610.0,610.0,11600
2021-10-13,610.0,620.0,600.0,610.0,610.0,116400
2021-10-14,610.0,615.0,605.0,615.0,615.0,100500
2021-10-15,615.0,625.0,610.0,615.0,615.0,90500
2021-10-18,620.0,620.0,615.0,620.0,620.0,146100
2021-10-19,625.0,625.0,620.0,625.0,625.0,26000
2021-10-21,630.0,630.0,610.0,620.0,620.0,138200
2021-10-22,620.0,620.0,610.0,610.0,610.0,14700
2021-10-25,605.0,610.0,600.0,605.0,605.0,30100
2021-10-26,605.0,605.0,595.0,600.0,600.0,140300
2021-10-27,600.0,620.0,600.0,615.0,615.0,33800
2021-10-28,615.0,630.0,610.0,620.0,620.0,272000
2021-10-29,620.0,630.0,615.0,620.0,620.0,102800
2021-11-01,620.0,630.0,620.0,630.0,630.0,309200
2021-11-02,630.0,630.0,620.0,630.0,630.0,40100
2021-11-03,625.0,630.0,620.0,625.0,625.0,133900
2021-11-04,625.0,625.0,615.0,620.0,620.0,128000
2021-11-05,620.0,625.0,620.0,620.0,620.0,220600
2021-11-08,620.0,640.0,620.0,630.0,630.0,379100
2021-11-09,635.0,655.0,625.0,645.0,645.0,516000
2021-11-10,650.0,655.0,640.0,640.0,640.0,80000
2021-11-11,645.0,675.0,645.0,665.0,665.0,655700
2021-11-12,660.0,700.0,660.0,695.0,695.0,968100
2021-11-15,695.0,710.0,695.0,705.0,705.0,1255900
2021-11-16,705.0,705.0,690.0,690.0,690.0,396500
2021-11-17,705.0,750.0,705.0,725.0,725.0,2914900
2021-11-18,750.0,750.0,700.0,715.0,715.0,419400
2021-11-19,725.0,725.0,710.0,715.0,715.0,464700
2021-11-22,715.0,720.0,710.0,720.0,720.0,100300
2021-11-23,720.0,720.0,710.0,710.0,710.0,115700
2021-11-24,710.0,715.0,690.0,710.0,710.0,246300
2021-11-25,715.0,720.0,705.0,710.0,710.0,25800
2021-11-26,700.0,720.0,670.0,675.0,675.0,601600
2021-11-29,675.0,700.0,650.0,670.0,670.0,641200
2021-11-30,670.0,720.0,670.0,695.0,695.0,49600
2021-12-01,695.0,700.0,680.0,680.0,680.0,140100
2021-12-02,685.0,710.0,685.0,710.0,710.0,35900
2021-12-03,720.0,720.0,690.0,710.0,710.0,97900
2021-12-06,710.0,710.0,680.0,700.0,700.0,38200
2021-12-07,700.0,700.0,685.0,685.0,685.0,51000
2021-12-08,685.0,685.0,670.0,670.0,670.0,353500
2021-12-09,675.0,710.0,670.0,695.0,695.0,253900
2021-12-10,710.0,710.0,690.0,690.0,690.0,31300
2021-12-13,690.0,690.0,670.0,680.0,680.0,66200
2021-12-14,680.0,680.0,675.0,675.0,675.0,37800
2021-12-15,670.0,720.0,670.0,690.0,690.0,194500
2021-12-16,700.0,710.0,690.0,695.0,695.0,80300
2021-12-17,695.0,705.0,680.0,680.0,680.0,39300
2021-12-20,680.0,695.0,680.0,680.0,680.0,7200
2021-12-21,680.0,685.0,665.0,675.0,675.0,27400
