Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,48.0,50.0,48.0,49.0,49.0,3369600
2021-12-02,49.0,49.0,48.0,48.0,48.0,442300
2021-12-03,48.0,50.0,48.0,48.0,48.0,1958900
2021-12-06,48.0,49.0,45.0,46.0,46.0,6226500
2021-12-07,46.0,48.0,46.0,47.0,47.0,546200
2021-12-08,48.0,49.0,47.0,48.0,48.0,694200
2021-12-09,48.0,49.0,47.0,48.0,48.0,573400
2021-12-10,48.0,49.0,48.0,49.0,49.0,537900
2021-12-13,50.0,51.0,48.0,49.0,49.0,2983900
2021-12-14,50.0,51.0,49.0,51.0,51.0,1892700
2021-12-15,51.0,53.0,51.0,52.0,52.0,3600100
2021-12-16,52.0,53.0,50.0,52.0,52.0,7003200
2021-12-17,52.0,52.0,51.0,52.0,52.0,871500
2021-12-20,52.0,55.0,50.0,53.0,53.0,13718300
2021-12-21,53.0,53.0,51.0,52.0,52.0,1490400
2021-12-22,52.0,53.0,51.0,52.0,52.0,903200
2021-12-23,52.0,53.0,51.0,53.0,53.0,516600
2021-12-24,53.0,55.0,51.0,52.0,52.0,10751500
2021-12-27,53.0,55.0,52.0,52.0,52.0,9667200
2021-12-28,52.0,55.0,52.0,53.0,53.0,8862600
2021-12-29,53.0,55.0,51.0,55.0,55.0,10885800
2021-12-30,55.0,57.0,54.0,56.0,56.0,13302200
2022-01-03,56.0,58.0,55.0,56.0,56.0,4929900
2022-01-04,56.0,56.0,53.0,55.0,55.0,2613600
2022-01-05,54.0,55.0,52.0,53.0,53.0,1750000
2022-01-06,55.0,57.0,52.0,53.0,53.0,5631700
2022-01-07,55.0,56.0,53.0,56.0,56.0,2047900
