Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,2490.0,2510.0,2320.0,2440.0,2440.0,1299600
2021-12-02,2440.0,2540.0,2350.0,2530.0,2530.0,337300
2021-12-03,2540.0,2580.0,2450.0,2500.0,2500.0,207600
2021-12-06,2450.0,2520.0,2450.0,2500.0,2500.0,191300
2021-12-07,2570.0,2720.0,2520.0,2640.0,2640.0,1096100
2021-12-08,2650.0,2690.0,2590.0,2590.0,2590.0,723600
2021-12-09,2610.0,2640.0,2580.0,2580.0,2580.0,420500
2021-12-10,2550.0,2580.0,2520.0,2570.0,2570.0,213600
2021-12-13,2570.0,2610.0,2520.0,2560.0,2560.0,187900
2021-12-14,2570.0,2610.0,2470.0,2560.0,2560.0,1774600
2021-12-15,2570.0,2570.0,2500.0,2570.0,2570.0,995000
2021-12-16,2570.0,2650.0,2500.0,2530.0,2530.0,1287700
2021-12-17,2580.0,2650.0,2550.0,2620.0,2620.0,1062600
2021-12-20,2620.0,2640.0,2460.0,2460.0,2460.0,423900
2021-12-21,2450.0,2570.0,2420.0,2460.0,2460.0,607100
2021-12-22,2460.0,2460.0,2340.0,2340.0,2340.0,721800
2021-12-23,2360.0,2450.0,2350.0,2400.0,2400.0,499900
2021-12-24,2410.0,2600.0,2410.0,2470.0,2470.0,136500
2021-12-27,2470.0,2550.0,2460.0,2470.0,2470.0,1534900
2021-12-28,2480.0,2570.0,2480.0,2560.0,2560.0,1385100
2021-12-29,2560.0,2580.0,2540.0,2540.0,2540.0,248700
2021-12-30,2530.0,2580.0,2500.0,2540.0,2540.0,1534200
2022-01-03,2550.0,2550.0,2490.0,2540.0,2540.0,141000
2022-01-04,2540.0,2640.0,2540.0,2640.0,2640.0,881600
2022-01-05,2630.0,2690.0,2580.0,2590.0,2590.0,387100
2022-01-06,2590.0,2590.0,2410.0,2410.0,2410.0,1876000
2022-01-07,2400.0,2440.0,2350.0,2410.0,2410.0,315400
