Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,795.0,845.0,795.0,830.0,830.0,22596800
2021-01-05,830.0,845.0,830.0,840.0,840.0,13583200
2021-01-06,840.0,855.0,800.0,805.0,805.0,36623100
2021-01-07,810.0,825.0,805.0,815.0,815.0,23585800
2021-01-08,815.0,835.0,815.0,835.0,835.0,12543500
2021-01-11,835.0,835.0,800.0,815.0,815.0,18511300
2021-01-12,815.0,830.0,790.0,795.0,795.0,58356000
2021-01-13,800.0,810.0,790.0,795.0,795.0,21195000
2021-01-14,800.0,830.0,795.0,810.0,810.0,32794300
2021-01-15,815.0,825.0,800.0,810.0,810.0,19130800
2021-01-18,810.0,835.0,795.0,795.0,795.0,25606000
2021-01-19,795.0,805.0,750.0,765.0,765.0,44747500
2021-01-20,765.0,810.0,735.0,805.0,805.0,53015400
2021-01-21,820.0,820.0,780.0,795.0,795.0,9962800
2021-01-22,800.0,800.0,740.0,745.0,745.0,26517500
2021-01-25,745.0,810.0,695.0,760.0,760.0,60040500
2021-01-26,765.0,775.0,750.0,775.0,775.0,32830800
2021-01-27,775.0,810.0,750.0,810.0,810.0,31104500
2021-01-28,810.0,815.0,765.0,775.0,775.0,20975200
2021-01-29,775.0,800.0,755.0,770.0,770.0,11267200
2021-02-01,770.0,785.0,755.0,775.0,775.0,36369900
2021-02-02,775.0,795.0,750.0,760.0,760.0,40123700
2021-02-03,765.0,775.0,750.0,760.0,760.0,14782500
2021-02-04,770.0,770.0,745.0,760.0,760.0,14323300
2021-02-05,765.0,770.0,750.0,750.0,750.0,17654600
2021-02-08,760.0,770.0,750.0,760.0,760.0,33334300
2021-02-09,760.0,805.0,740.0,745.0,745.0,38392900
2021-02-10,745.0,755.0,740.0,745.0,745.0,9774700
2021-02-11,745.0,765.0,735.0,755.0,755.0,20790000
2021-02-15,755.0,765.0,740.0,755.0,755.0,27053800
2021-02-16,755.0,760.0,740.0,750.0,750.0,18340900
2021-02-17,750.0,755.0,725.0,735.0,735.0,24572900
2021-02-18,735.0,750.0,720.0,735.0,735.0,33491100
2021-02-19,740.0,740.0,725.0,730.0,730.0,13801400
2021-02-22,735.0,795.0,730.0,795.0,795.0,62174300
2021-02-23,800.0,820.0,760.0,810.0,810.0,29588900
2021-02-24,820.0,820.0,790.0,815.0,815.0,24041500
2021-02-25,815.0,820.0,795.0,800.0,800.0,15109900
2021-02-26,805.0,810.0,775.0,805.0,805.0,18902600
2021-03-01,805.0,870.0,785.0,865.0,865.0,42489000
2021-03-02,865.0,880.0,830.0,850.0,850.0,22623100
2021-03-03,850.0,850.0,810.0,820.0,820.0,23467100
2021-03-04,820.0,835.0,800.0,830.0,830.0,18931600
2021-03-05,830.0,875.0,810.0,850.0,850.0,38409400
2021-03-08,860.0,880.0,845.0,860.0,860.0,26820600
2021-03-09,865.0,885.0,840.0,840.0,840.0,17072400
2021-03-10,845.0,850.0,800.0,820.0,820.0,23712400
2021-03-12,830.0,830.0,800.0,815.0,815.0,26868400
2021-03-15,815.0,830.0,805.0,815.0,815.0,32579700
2021-03-16,820.0,820.0,800.0,805.0,805.0,18709200
2021-03-17,810.0,830.0,800.0,810.0,810.0,20323800
2021-03-18,810.0,815.0,785.0,800.0,800.0,23959900
2021-03-19,800.0,815.0,790.0,800.0,800.0,14267400
2021-03-22,800.0,815.0,795.0,795.0,795.0,17129900
2021-03-23,795.0,810.0,790.0,790.0,790.0,19986700
2021-03-24,780.0,795.0,750.0,775.0,775.0,15948500
2021-03-25,775.0,775.0,730.0,755.0,755.0,23561600
2021-03-26,755.0,775.0,740.0,765.0,765.0,18570300
2021-03-29,765.0,775.0,765.0,770.0,770.0,6677100
2021-03-30,775.0,780.0,740.0,750.0,750.0,23378900
2021-03-31,755.0,755.0,700.0,740.0,740.0,40573000
2021-04-01,740.0,750.0,730.0,745.0,745.0,4242900
2021-04-05,745.0,760.0,745.0,750.0,750.0,4585000
2021-04-06,755.0,760.0,740.0,760.0,760.0,8297700
2021-04-07,770.0,800.0,755.0,790.0,790.0,30619500
2021-04-08,790.0,810.0,770.0,805.0,805.0,20588900
2021-04-09,805.0,810.0,790.0,800.0,800.0,13343400
2021-04-12,810.0,810.0,765.0,790.0,790.0,11569400
2021-04-13,790.0,790.0,745.0,780.0,780.0,14769700
2021-04-14,780.0,800.0,765.0,790.0,790.0,26179400
2021-04-15,790.0,800.0,770.0,775.0,775.0,4696800
2021-04-16,780.0,805.0,775.0,795.0,795.0,13493500
2021-04-19,795.0,830.0,795.0,815.0,815.0,51641700
2021-04-20,815.0,825.0,780.0,800.0,800.0,16841600
2021-04-21,800.0,800.0,770.0,790.0,790.0,11332400
2021-04-22,790.0,815.0,775.0,805.0,805.0,43524300
2021-04-23,805.0,850.0,805.0,830.0,830.0,85649500
2021-04-26,830.0,845.0,805.0,810.0,810.0,24345700
2021-04-27,810.0,820.0,770.0,790.0,790.0,18466100
2021-04-28,790.0,795.0,770.0,780.0,780.0,8853000
2021-04-29,780.0,800.0,780.0,800.0,800.0,6532500
2021-04-30,800.0,825.0,795.0,800.0,800.0,19377300
2021-05-03,800.0,815.0,785.0,800.0,800.0,10734500
2021-05-04,805.0,805.0,775.0,780.0,780.0,7651700
2021-05-05,780.0,805.0,770.0,800.0,800.0,9916900
2021-05-06,795.0,805.0,780.0,790.0,790.0,3466200
2021-05-07,805.0,815.0,750.0,755.0,755.0,11685000
2021-05-10,760.0,765.0,750.0,760.0,760.0,5590900
2021-05-11,770.0,790.0,760.0,770.0,770.0,16981600
2021-05-17,775.0,790.0,765.0,770.0,770.0,22247000
2021-05-18,760.0,780.0,755.0,770.0,770.0,4133800
2021-05-19,770.0,770.0,730.0,740.0,740.0,10072400
2021-05-20,740.0,745.0,710.0,710.0,710.0,13123600
2021-05-21,720.0,730.0,705.0,710.0,710.0,16419200
2021-05-24,710.0,735.0,700.0,725.0,725.0,10684300
2021-05-25,725.0,740.0,700.0,715.0,715.0,11727900
2021-05-27,715.0,730.0,690.0,690.0,690.0,21495500
2021-05-28,710.0,725.0,685.0,690.0,690.0,17486000
2021-05-31,700.0,720.0,700.0,700.0,700.0,12410200
