Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,458.0,460.0,438.0,450.0,450.0,16896300
2021-12-02,448.0,460.0,440.0,456.0,456.0,9590300
2021-12-03,456.0,462.0,446.0,460.0,460.0,28806900
2021-12-06,460.0,466.0,450.0,450.0,450.0,17255300
2021-12-07,454.0,482.0,450.0,478.0,478.0,63482800
2021-12-08,480.0,490.0,462.0,484.0,484.0,58170600
2021-12-09,486.0,498.0,476.0,484.0,484.0,62770400
2021-12-10,484.0,496.0,470.0,482.0,482.0,41080700
2021-12-13,486.0,492.0,470.0,480.0,480.0,17533800
2021-12-14,480.0,482.0,460.0,478.0,478.0,37348400
2021-12-15,478.0,492.0,468.0,482.0,482.0,46834200
2021-12-16,490.0,505.0,470.0,474.0,474.0,128871200
2021-12-17,474.0,505.0,470.0,500.0,500.0,90558800
2021-12-20,500.0,505.0,472.0,488.0,488.0,56378400
2021-12-21,488.0,490.0,476.0,478.0,478.0,12828000
2021-12-22,478.0,488.0,476.0,476.0,476.0,15111800
2021-12-23,480.0,488.0,476.0,476.0,476.0,13080800
2021-12-24,476.0,488.0,474.0,484.0,484.0,28565000
2021-12-27,486.0,494.0,478.0,484.0,484.0,36350900
2021-12-28,484.0,486.0,464.0,466.0,466.0,35414900
2021-12-29,464.0,476.0,434.0,474.0,474.0,101527400
2021-12-30,476.0,478.0,462.0,476.0,476.0,23956500
2022-01-03,474.0,478.0,462.0,470.0,470.0,17567400
2022-01-04,470.0,472.0,456.0,456.0,456.0,18265200
2022-01-05,458.0,464.0,440.0,442.0,442.0,26964700
2022-01-06,442.0,444.0,422.0,442.0,442.0,39075400
2022-01-07,442.0,444.0,434.0,434.0,434.0,9685600
