Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,2690.0,2800.0,2680.0,2800.0,2476.75244140625,340800
2021-01-05,2800.0,2800.0,2740.0,2750.0,2432.524658203125,68500
2021-01-06,2750.0,2760.0,2660.0,2690.0,2379.451416015625,475600
2021-01-07,2670.0,2780.0,2670.0,2730.0,2414.83349609375,189700
2021-01-08,2730.0,2950.0,2730.0,2830.0,2503.288818359375,447000
2021-01-11,2830.0,2890.0,2830.0,2870.0,2538.671142578125,193000
2021-01-12,2900.0,2900.0,2790.0,2820.0,2494.443359375,226700
2021-01-13,2870.0,2930.0,2840.0,2900.0,2565.207763671875,380900
2021-01-14,2920.0,3040.0,2870.0,2920.0,2582.89892578125,489600
2021-01-15,2920.0,2930.0,2830.0,2860.0,2529.82568359375,135200
2021-01-18,2860.0,2870.0,2800.0,2850.0,2520.97998046875,134400
2021-01-19,2850.0,2850.0,2760.0,2780.0,2459.061279296875,212100
2021-01-20,2760.0,2850.0,2750.0,2840.0,2512.134521484375,126700
2021-01-21,2840.0,2860.0,2820.0,2850.0,2520.97998046875,148500
2021-01-22,2850.0,2870.0,2750.0,2770.0,2450.215576171875,196300
2021-01-25,2780.0,2780.0,2720.0,2740.0,2423.678955078125,317300
2021-01-26,2740.0,2820.0,2720.0,2730.0,2414.83349609375,142400
2021-01-27,2730.0,2730.0,2630.0,2700.0,2388.296875,190400
2021-01-28,2700.0,2720.0,2620.0,2660.0,2352.91455078125,329800
2021-01-29,2640.0,2730.0,2620.0,2660.0,2352.91455078125,180100
2021-02-01,2690.0,2760.0,2640.0,2750.0,2432.524658203125,156900
2021-02-02,2780.0,2780.0,2720.0,2770.0,2450.215576171875,223600
2021-02-03,2720.0,2770.0,2700.0,2770.0,2450.215576171875,52200
2021-02-04,2770.0,2790.0,2760.0,2790.0,2467.90673828125,105600
2021-02-05,2790.0,2800.0,2750.0,2800.0,2476.75244140625,17500
2021-02-08,2820.0,2880.0,2810.0,2830.0,2503.288818359375,66800
2021-02-09,2830.0,2890.0,2790.0,2820.0,2494.443359375,292100
2021-02-10,2790.0,2870.0,2790.0,2820.0,2494.443359375,7900
2021-02-11,2820.0,2820.0,2760.0,2790.0,2467.90673828125,32600
2021-02-15,2790.0,2860.0,2790.0,2820.0,2494.443359375,81600
2021-02-16,2830.0,2860.0,2830.0,2840.0,2512.134521484375,120900
