Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,95.0,95.0,90.0,90.0,90.0,3700
2021-01-05,95.0,95.0,92.0,92.0,92.0,28000
2021-01-06,94.0,95.0,93.0,93.0,93.0,8400
2021-01-07,90.0,95.0,87.0,92.0,92.0,25200
2021-01-08,92.0,92.0,90.0,92.0,92.0,1500
2021-01-11,92.0,95.0,90.0,94.0,94.0,2400
2021-01-12,90.0,115.0,90.0,95.0,95.0,227100
2021-01-13,95.0,105.0,93.0,105.0,105.0,177100
2021-01-14,100.0,105.0,98.0,98.0,98.0,115100
2021-01-15,98.0,98.0,98.0,98.0,98.0,3700
2021-01-18,100.0,118.0,96.0,102.0,102.0,357900
2021-01-19,102.0,113.0,100.0,102.0,102.0,110700
2021-01-20,103.0,111.0,98.0,109.0,109.0,270300
2021-01-21,109.0,114.0,104.0,107.0,107.0,38200
2021-01-22,107.0,111.0,103.0,104.0,104.0,52300
2021-01-25,104.0,110.0,97.0,109.0,109.0,96600
2021-01-26,110.0,110.0,106.0,106.0,106.0,25900
2021-01-27,110.0,110.0,106.0,107.0,107.0,14200
2021-01-28,102.0,104.0,100.0,100.0,100.0,27300
2021-01-29,110.0,110.0,93.0,100.0,100.0,9800
2021-02-01,100.0,102.0,94.0,94.0,94.0,26300
2021-02-02,89.0,105.0,89.0,104.0,104.0,58700
2021-02-03,104.0,104.0,97.0,102.0,102.0,50000
2021-02-04,102.0,102.0,102.0,102.0,102.0,0
2021-02-05,95.0,104.0,95.0,103.0,103.0,9000
2021-02-08,97.0,102.0,96.0,101.0,101.0,20700
2021-02-09,100.0,100.0,100.0,100.0,100.0,600
2021-02-10,100.0,106.0,100.0,106.0,106.0,2200
2021-02-11,104.0,141.0,104.0,129.0,129.0,499900
2021-02-15,129.0,135.0,120.0,120.0,120.0,216900
2021-02-16,120.0,131.0,117.0,117.0,117.0,166600
2021-02-17,117.0,126.0,116.0,116.0,116.0,34000
2021-02-18,116.0,116.0,108.0,108.0,108.0,123900
2021-02-19,108.0,114.0,103.0,107.0,107.0,48000
2021-02-22,103.0,104.0,100.0,101.0,101.0,44700
2021-02-23,101.0,110.0,101.0,108.0,108.0,29200
2021-02-24,105.0,110.0,101.0,102.0,102.0,90600
2021-02-25,98.0,101.0,98.0,98.0,98.0,23200
2021-02-26,96.0,102.0,95.0,100.0,100.0,151400
2021-03-01,96.0,105.0,96.0,99.0,99.0,33400
2021-03-02,102.0,102.0,98.0,99.0,99.0,36900
2021-03-03,99.0,100.0,97.0,100.0,100.0,18400
2021-03-04,100.0,104.0,95.0,100.0,100.0,57700
2021-03-05,95.0,103.0,95.0,101.0,101.0,128100
2021-03-08,100.0,101.0,98.0,100.0,100.0,12200
2021-03-09,95.0,101.0,95.0,100.0,100.0,10100
2021-03-10,95.0,100.0,95.0,99.0,99.0,37500
2021-03-12,99.0,106.0,99.0,100.0,100.0,35300
2021-03-15,100.0,108.0,100.0,102.0,102.0,34700
2021-03-16,97.0,99.0,96.0,99.0,99.0,16000
2021-03-17,99.0,133.0,99.0,133.0,133.0,1316100
2021-03-18,135.0,146.0,124.0,124.0,124.0,700000
2021-03-19,123.0,124.0,116.0,116.0,116.0,268100
2021-03-22,111.0,119.0,108.0,115.0,115.0,207900
2021-03-23,114.0,114.0,111.0,113.0,113.0,29000
2021-03-24,108.0,115.0,106.0,107.0,107.0,53900
2021-03-25,102.0,117.0,102.0,117.0,117.0,117900
2021-03-26,118.0,125.0,117.0,118.0,118.0,207000
2021-03-29,118.0,120.0,113.0,114.0,114.0,7900
2021-03-30,117.0,117.0,109.0,111.0,111.0,48700
2021-03-31,111.0,117.0,111.0,112.0,112.0,4800
2021-04-01,114.0,121.0,111.0,116.0,116.0,7900
2021-04-05,111.0,113.0,111.0,113.0,113.0,45400
2021-04-06,113.0,113.0,111.0,112.0,112.0,14100
2021-04-07,112.0,112.0,112.0,112.0,112.0,11000
2021-04-08,111.0,114.0,111.0,114.0,114.0,35600
2021-04-09,115.0,122.0,115.0,120.0,120.0,85800
2021-04-12,122.0,123.0,115.0,122.0,122.0,31500
2021-04-13,121.0,121.0,114.0,114.0,114.0,360700
2021-04-14,114.0,114.0,107.0,107.0,107.0,252400
2021-04-15,107.0,110.0,100.0,106.0,106.0,796500
2021-04-16,107.0,119.0,101.0,111.0,111.0,560600
2021-04-19,111.0,117.0,107.0,107.0,107.0,44900
2021-04-20,107.0,112.0,104.0,108.0,108.0,55800
2021-04-21,111.0,117.0,104.0,117.0,117.0,114700
2021-04-22,121.0,121.0,109.0,118.0,118.0,40400
2021-04-23,122.0,122.0,112.0,112.0,112.0,17300
2021-04-26,112.0,114.0,112.0,114.0,114.0,16900
