Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,50.0,50.0,50.0,50.0,50.0,0
2021-12-02,50.0,50.0,50.0,50.0,50.0,1000
2021-12-06,50.0,50.0,50.0,50.0,50.0,100
2021-12-07,50.0,50.0,50.0,50.0,50.0,200
2021-12-09,50.0,50.0,50.0,50.0,50.0,2500
2021-12-10,50.0,50.0,50.0,50.0,50.0,400
2021-12-14,50.0,50.0,50.0,50.0,50.0,2000
2021-12-20,50.0,50.0,50.0,50.0,50.0,222800
2021-12-21,50.0,50.0,50.0,50.0,50.0,23600
2021-12-22,50.0,50.0,50.0,50.0,50.0,79600
2021-12-23,50.0,50.0,50.0,50.0,50.0,1300
2021-12-27,50.0,50.0,50.0,50.0,50.0,100000
2021-12-29,50.0,50.0,50.0,50.0,50.0,23300
2022-01-03,50.0,50.0,50.0,50.0,50.0,4000
