Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,398.0,400.0,394.0,400.0,400.0,90900
2021-12-02,400.0,406.0,396.0,398.0,398.0,34500
2021-12-03,398.0,402.0,396.0,400.0,400.0,75800
2021-12-06,400.0,404.0,396.0,400.0,400.0,61500
2021-12-07,400.0,402.0,392.0,400.0,400.0,77900
2021-12-08,400.0,408.0,392.0,400.0,400.0,444400
2021-12-09,408.0,408.0,396.0,402.0,402.0,170800
2021-12-10,402.0,416.0,402.0,412.0,412.0,854500
2021-12-13,412.0,418.0,412.0,416.0,416.0,487200
2021-12-14,416.0,424.0,416.0,424.0,424.0,687500
2021-12-15,434.0,434.0,414.0,422.0,422.0,530700
2021-12-16,422.0,424.0,412.0,412.0,412.0,116700
2021-12-17,416.0,436.0,414.0,426.0,426.0,334000
2021-12-20,430.0,430.0,418.0,430.0,430.0,85600
2021-12-21,430.0,430.0,400.0,422.0,422.0,566700
2021-12-22,422.0,428.0,412.0,414.0,414.0,145300
2021-12-23,414.0,418.0,400.0,400.0,400.0,269700
2021-12-24,400.0,416.0,400.0,402.0,402.0,83100
2021-12-27,402.0,418.0,394.0,404.0,404.0,262100
2021-12-28,412.0,416.0,402.0,406.0,406.0,84300
2021-12-29,406.0,406.0,398.0,400.0,400.0,98700
2021-12-30,400.0,406.0,398.0,402.0,402.0,31000
2022-01-03,402.0,406.0,400.0,406.0,406.0,196100
2022-01-04,410.0,412.0,406.0,408.0,408.0,70300
2022-01-05,406.0,408.0,398.0,408.0,408.0,51900
2022-01-06,404.0,408.0,400.0,404.0,404.0,173700
2022-01-07,404.0,404.0,400.0,404.0,404.0,70700
