Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,208.0,232.0,200.0,206.0,206.0,53217800
2021-12-02,212.0,218.0,200.0,200.0,200.0,15575700
2021-12-03,200.0,246.0,200.0,222.0,222.0,154451100
2021-12-06,222.0,226.0,208.0,208.0,208.0,18606200
2021-12-07,214.0,214.0,204.0,208.0,208.0,9538500
2021-12-08,214.0,214.0,204.0,208.0,208.0,7848500
2021-12-09,210.0,218.0,206.0,208.0,208.0,25134500
2021-12-10,206.0,220.0,206.0,210.0,210.0,27946800
2021-12-13,202.0,216.0,202.0,210.0,210.0,9499300
2021-12-14,210.0,230.0,206.0,222.0,222.0,92761600
2021-12-15,224.0,228.0,208.0,210.0,210.0,31019600
2021-12-16,210.0,220.0,204.0,210.0,210.0,15526000
2021-12-17,210.0,214.0,206.0,206.0,206.0,7856100
2021-12-20,214.0,214.0,192.0,193.0,193.0,18722200
2021-12-21,194.0,260.0,192.0,260.0,260.0,364296500
2021-12-22,274.0,300.0,242.0,250.0,250.0,785628200
2021-12-23,260.0,260.0,240.0,250.0,250.0,88987600
2021-12-24,236.0,256.0,236.0,242.0,242.0,33846400
2021-12-27,234.0,284.0,234.0,248.0,248.0,282268600
2021-12-28,250.0,260.0,238.0,240.0,240.0,45524000
2021-12-29,240.0,260.0,236.0,248.0,248.0,77512900
2021-12-30,250.0,252.0,232.0,232.0,232.0,22446700
2022-01-03,232.0,242.0,216.0,230.0,230.0,10016400
2022-01-04,224.0,240.0,224.0,236.0,236.0,20952000
2022-01-05,240.0,240.0,222.0,228.0,228.0,8270700
2022-01-06,222.0,242.0,218.0,228.0,228.0,30700000
2022-01-07,216.0,236.0,216.0,218.0,218.0,14637900
