Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,830.0,840.0,820.0,830.0,830.0,6483200
2021-12-02,830.0,855.0,820.0,855.0,855.0,11571400
2021-12-03,835.0,940.0,835.0,920.0,920.0,75464200
2021-12-06,920.0,1005.0,905.0,985.0,985.0,50958900
2021-12-07,985.0,1125.0,985.0,1085.0,1085.0,70712000
2021-12-08,1100.0,1110.0,1010.0,1050.0,1050.0,37947400
2021-12-09,1055.0,1150.0,1055.0,1140.0,1140.0,47363600
2021-12-10,1150.0,1190.0,1130.0,1190.0,1190.0,35860600
2021-12-13,1190.0,1200.0,1130.0,1135.0,1135.0,15767500
2021-12-14,1135.0,1200.0,1120.0,1200.0,1200.0,22713500
2021-12-15,1205.0,1245.0,1170.0,1175.0,1175.0,16775700
2021-12-16,1190.0,1205.0,1120.0,1145.0,1145.0,18382400
2021-12-17,1150.0,1175.0,1125.0,1150.0,1150.0,10707400
2021-12-20,1175.0,1175.0,1125.0,1135.0,1135.0,6391700
2021-12-21,1140.0,1160.0,1060.0,1060.0,1060.0,23840100
2021-12-22,1050.0,1095.0,1000.0,1060.0,1060.0,22066000
2021-12-23,1060.0,1165.0,1055.0,1145.0,1145.0,24324800
2021-12-24,1145.0,1155.0,1075.0,1075.0,1075.0,15966400
2021-12-27,1075.0,1150.0,1065.0,1135.0,1135.0,13801500
2021-12-28,1135.0,1150.0,1110.0,1140.0,1140.0,6886200
2021-12-29,1155.0,1155.0,1110.0,1150.0,1150.0,13450300
2021-12-30,1140.0,1155.0,1125.0,1145.0,1145.0,8575700
2022-01-03,1155.0,1285.0,1145.0,1185.0,1185.0,49944400
2022-01-04,1190.0,1205.0,1155.0,1190.0,1190.0,16971400
2022-01-05,1190.0,1200.0,1110.0,1130.0,1130.0,19600800
2022-01-06,1130.0,1145.0,1075.0,1105.0,1105.0,15917100
2022-01-07,1105.0,1150.0,1090.0,1120.0,1120.0,15393400
