Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,169.0,169.0,165.0,169.0,169.0,186600
2021-01-05,169.0,169.0,161.0,167.0,167.0,42500
2021-01-06,170.0,170.0,160.0,166.0,166.0,329800
2021-01-07,166.0,175.0,159.0,159.0,159.0,818500
2021-01-08,175.0,175.0,151.0,156.0,156.0,1928900
2021-01-11,156.0,163.0,152.0,161.0,161.0,555100
2021-01-12,164.0,170.0,156.0,160.0,160.0,47100
2021-01-13,160.0,160.0,155.0,160.0,160.0,444200
2021-01-14,160.0,160.0,155.0,156.0,156.0,143200
2021-01-15,156.0,159.0,156.0,159.0,159.0,189100
2021-01-18,159.0,159.0,156.0,156.0,156.0,56500
2021-01-19,157.0,162.0,156.0,162.0,162.0,141000
2021-01-20,162.0,162.0,158.0,162.0,162.0,91800
2021-01-21,162.0,162.0,158.0,160.0,160.0,78400
2021-01-22,160.0,163.0,160.0,160.0,160.0,54400
2021-01-25,160.0,160.0,156.0,160.0,160.0,206900
2021-01-26,157.0,159.0,149.0,150.0,150.0,399900
2021-01-27,155.0,158.0,148.0,156.0,156.0,117300
2021-01-28,156.0,164.0,152.0,158.0,158.0,1305500
2021-01-29,158.0,158.0,156.0,158.0,158.0,24600
2021-02-01,158.0,165.0,158.0,160.0,160.0,686500
2021-02-02,164.0,164.0,156.0,156.0,156.0,1635600
2021-02-03,159.0,162.0,158.0,158.0,158.0,324000
2021-02-04,158.0,160.0,152.0,159.0,159.0,312700
2021-02-05,159.0,164.0,154.0,161.0,161.0,2066900
2021-02-08,161.0,166.0,158.0,165.0,165.0,181500
2021-02-09,165.0,168.0,159.0,161.0,161.0,264800
2021-02-10,163.0,180.0,161.0,172.0,172.0,10680300
2021-02-11,170.0,232.0,170.0,232.0,232.0,18074400
2021-02-15,232.0,240.0,216.0,228.0,228.0,6435700
2021-02-16,230.0,248.0,214.0,214.0,214.0,32970100
2021-02-17,210.0,212.0,200.0,200.0,200.0,1302600
2021-02-18,199.0,199.0,187.0,187.0,187.0,1312000
2021-02-19,187.0,195.0,180.0,193.0,193.0,689500
2021-02-22,193.0,197.0,181.0,197.0,197.0,1526000
2021-02-23,197.0,208.0,197.0,204.0,204.0,987000
2021-02-24,204.0,210.0,190.0,190.0,190.0,778000
2021-02-25,190.0,198.0,179.0,183.0,183.0,766300
2021-02-26,183.0,187.0,171.0,171.0,171.0,2707800
