Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,795.0,810.0,740.0,740.0,740.0,546100
2021-01-05,690.0,790.0,690.0,700.0,700.0,750100
2021-01-06,690.0,755.0,660.0,690.0,690.0,4759400
2021-01-07,690.0,700.0,675.0,695.0,695.0,1035200
2021-01-08,700.0,700.0,670.0,700.0,700.0,619400
2021-01-11,685.0,700.0,680.0,680.0,680.0,530400
2021-01-12,685.0,695.0,685.0,695.0,695.0,317000
2021-01-13,685.0,695.0,680.0,695.0,695.0,337800
2021-01-14,695.0,695.0,680.0,695.0,695.0,381700
2021-01-15,685.0,695.0,670.0,695.0,695.0,318100
2021-01-18,685.0,685.0,685.0,685.0,685.0,10100
2021-01-19,670.0,700.0,660.0,685.0,685.0,342000
2021-01-20,695.0,695.0,675.0,675.0,675.0,315100
2021-01-21,670.0,670.0,655.0,670.0,670.0,58500
2021-01-22,670.0,685.0,660.0,670.0,670.0,227700
2021-01-25,665.0,685.0,660.0,660.0,660.0,254800
2021-01-26,660.0,660.0,655.0,655.0,655.0,47300
2021-01-27,650.0,660.0,645.0,660.0,660.0,8800
2021-01-28,660.0,660.0,620.0,620.0,620.0,13100
2021-01-29,675.0,685.0,610.0,660.0,660.0,248300
2021-02-01,620.0,665.0,620.0,665.0,665.0,109500
2021-02-02,665.0,685.0,665.0,665.0,665.0,101200
2021-02-03,670.0,670.0,670.0,670.0,670.0,101000
2021-02-04,670.0,685.0,670.0,670.0,670.0,111300
2021-02-05,670.0,680.0,630.0,670.0,670.0,154700
2021-02-08,670.0,685.0,670.0,670.0,670.0,115600
2021-02-09,670.0,695.0,640.0,675.0,675.0,110200
2021-02-10,670.0,695.0,670.0,670.0,670.0,108600
2021-02-11,680.0,695.0,635.0,660.0,660.0,104000
2021-02-15,670.0,695.0,640.0,670.0,670.0,171900
2021-02-16,670.0,675.0,655.0,670.0,670.0,234400
2021-02-17,670.0,675.0,655.0,675.0,675.0,132200
2021-02-18,675.0,680.0,655.0,680.0,680.0,47400
2021-02-19,680.0,695.0,660.0,690.0,690.0,74600
2021-02-22,680.0,680.0,660.0,675.0,675.0,7800
2021-02-23,690.0,695.0,675.0,685.0,685.0,107100
2021-02-24,695.0,695.0,680.0,680.0,680.0,105000
2021-02-25,670.0,695.0,655.0,695.0,695.0,136100
2021-02-26,700.0,750.0,655.0,655.0,655.0,133200
2021-03-01,685.0,690.0,670.0,685.0,685.0,108500
2021-03-02,690.0,690.0,670.0,685.0,685.0,116700
2021-03-03,690.0,695.0,680.0,695.0,695.0,132000
2021-03-04,695.0,695.0,680.0,695.0,695.0,114000
2021-03-05,695.0,695.0,675.0,690.0,690.0,156600
2021-03-08,690.0,695.0,660.0,695.0,695.0,112500
2021-03-09,690.0,690.0,690.0,690.0,690.0,105000
2021-03-10,685.0,690.0,655.0,690.0,690.0,198100
2021-03-12,680.0,680.0,660.0,675.0,675.0,31400
2021-03-15,665.0,675.0,665.0,675.0,675.0,32000
2021-03-16,665.0,670.0,660.0,670.0,670.0,50000
2021-03-17,660.0,670.0,660.0,670.0,670.0,48700
2021-03-18,660.0,670.0,655.0,670.0,670.0,31500
2021-03-19,670.0,670.0,670.0,670.0,670.0,10100
2021-03-22,660.0,670.0,655.0,670.0,670.0,17400
2021-03-23,660.0,670.0,655.0,670.0,670.0,34500
2021-03-24,670.0,670.0,655.0,655.0,655.0,17200
2021-03-25,650.0,660.0,640.0,660.0,660.0,13600
2021-03-26,660.0,660.0,655.0,655.0,655.0,2500
2021-03-29,665.0,665.0,665.0,665.0,665.0,1200
2021-03-30,675.0,675.0,675.0,675.0,675.0,6000
2021-03-31,675.0,675.0,665.0,665.0,665.0,6100
2021-04-01,645.0,675.0,645.0,675.0,675.0,12500
2021-04-05,665.0,675.0,665.0,675.0,675.0,10800
2021-04-06,675.0,675.0,665.0,670.0,670.0,13200
2021-04-07,665.0,670.0,665.0,670.0,670.0,10400
2021-04-08,660.0,700.0,660.0,700.0,700.0,13700
2021-04-09,690.0,690.0,665.0,675.0,675.0,127600
2021-04-12,700.0,700.0,700.0,700.0,700.0,11000
2021-04-13,690.0,690.0,690.0,690.0,690.0,1000
2021-04-14,690.0,695.0,670.0,670.0,670.0,37500
2021-04-15,670.0,670.0,660.0,670.0,670.0,3300
2021-04-16,660.0,670.0,660.0,670.0,670.0,4700
2021-04-19,670.0,670.0,665.0,670.0,670.0,11800
2021-04-20,670.0,695.0,665.0,695.0,695.0,12000
2021-04-21,685.0,685.0,680.0,685.0,685.0,17100
2021-04-22,685.0,690.0,675.0,690.0,690.0,10700
2021-04-23,685.0,685.0,685.0,685.0,685.0,2500
2021-04-26,670.0,685.0,670.0,675.0,675.0,32600
2021-04-27,670.0,675.0,670.0,670.0,670.0,33100
2021-04-28,670.0,670.0,670.0,670.0,670.0,31600
2021-04-29,665.0,670.0,665.0,670.0,670.0,11800
2021-04-30,670.0,670.0,670.0,670.0,670.0,10000
2021-05-03,670.0,670.0,625.0,625.0,625.0,30200
