Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,62.0,63.0,61.0,61.0,61.0,56600
2021-01-05,61.0,65.0,61.0,63.0,63.0,33800
2021-01-06,63.0,68.0,60.0,64.0,64.0,263700
2021-01-07,64.0,65.0,61.0,65.0,65.0,160000
2021-01-08,65.0,71.0,63.0,65.0,65.0,935800
2021-01-11,67.0,68.0,61.0,63.0,63.0,515300
2021-01-12,63.0,68.0,61.0,62.0,62.0,406800
2021-01-13,65.0,65.0,62.0,64.0,64.0,116500
2021-01-14,64.0,72.0,64.0,65.0,65.0,751000
2021-01-15,64.0,65.0,64.0,65.0,65.0,8100
2021-01-18,65.0,66.0,63.0,65.0,65.0,13800
2021-01-19,62.0,64.0,62.0,63.0,63.0,57200
2021-01-20,61.0,65.0,61.0,65.0,65.0,2200
2021-01-21,62.0,65.0,62.0,62.0,62.0,69900
2021-01-22,62.0,64.0,62.0,64.0,64.0,123700
2021-01-25,62.0,62.0,60.0,60.0,60.0,445800
2021-01-26,60.0,60.0,60.0,60.0,60.0,11000
2021-01-27,56.0,63.0,56.0,59.0,59.0,377500
2021-01-28,64.0,64.0,55.0,55.0,55.0,5000
2021-01-29,55.0,62.0,53.0,54.0,54.0,285100
2021-02-01,55.0,64.0,55.0,58.0,58.0,49400
2021-02-02,58.0,58.0,57.0,57.0,57.0,81000
2021-02-03,57.0,63.0,57.0,57.0,57.0,23300
2021-02-04,57.0,63.0,57.0,58.0,58.0,3000
2021-02-05,59.0,59.0,57.0,59.0,59.0,108300
2021-02-08,59.0,64.0,57.0,57.0,57.0,9300
2021-02-09,57.0,57.0,57.0,57.0,57.0,600
2021-02-10,61.0,61.0,60.0,60.0,60.0,6000
2021-02-11,60.0,81.0,59.0,63.0,63.0,11727200
2021-02-15,65.0,72.0,63.0,63.0,63.0,10039400
2021-02-16,65.0,73.0,65.0,70.0,70.0,12135500
2021-02-17,70.0,75.0,68.0,70.0,70.0,11176700
2021-02-18,69.0,78.0,69.0,72.0,72.0,18499700
2021-02-19,73.0,78.0,71.0,73.0,73.0,10926600
2021-02-22,74.0,77.0,71.0,76.0,76.0,7658200
2021-02-23,76.0,81.0,74.0,78.0,78.0,10622300
2021-02-24,78.0,81.0,75.0,78.0,78.0,5403200
2021-02-25,78.0,81.0,76.0,80.0,80.0,3929900
2021-02-26,80.0,85.0,75.0,75.0,75.0,7377800
2021-03-01,75.0,78.0,71.0,76.0,76.0,4090900
2021-03-02,76.0,77.0,73.0,73.0,73.0,803800
2021-03-03,76.0,76.0,73.0,73.0,73.0,2292200
2021-03-04,73.0,77.0,72.0,76.0,76.0,2403400
2021-03-05,76.0,93.0,75.0,85.0,85.0,21686000
2021-03-08,90.0,102.0,80.0,90.0,90.0,14241900
2021-03-09,92.0,93.0,84.0,85.0,85.0,2632500
2021-03-10,85.0,90.0,80.0,87.0,87.0,2608400
2021-03-12,89.0,90.0,83.0,88.0,88.0,876900
2021-03-15,88.0,90.0,85.0,87.0,87.0,2579700
2021-03-16,87.0,88.0,85.0,86.0,86.0,873900
2021-03-17,86.0,98.0,84.0,98.0,98.0,39146200
2021-03-18,99.0,99.0,92.0,92.0,92.0,24516200
2021-03-19,92.0,100.0,86.0,90.0,90.0,21746300
2021-03-22,90.0,97.0,86.0,91.0,91.0,8587700
