Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,52.0,52.0,50.0,50.0,50.0,100800
2021-01-05,50.0,50.0,50.0,50.0,50.0,3500
2021-01-06,50.0,51.0,50.0,50.0,50.0,30700
2021-01-07,50.0,51.0,50.0,51.0,51.0,11100
2021-01-08,51.0,51.0,50.0,50.0,50.0,3500
2021-01-11,50.0,51.0,50.0,50.0,50.0,3700
2021-01-12,50.0,50.0,50.0,50.0,50.0,1100
2021-01-13,50.0,50.0,50.0,50.0,50.0,800
2021-01-14,50.0,50.0,50.0,50.0,50.0,22800
2021-01-15,50.0,50.0,50.0,50.0,50.0,400
2021-01-18,50.0,50.0,50.0,50.0,50.0,154600
2021-01-19,53.0,53.0,50.0,50.0,50.0,9900
2021-01-20,50.0,50.0,50.0,50.0,50.0,5200
2021-01-21,52.0,52.0,50.0,50.0,50.0,18900
2021-01-22,50.0,52.0,50.0,50.0,50.0,38200
2021-01-25,50.0,50.0,50.0,50.0,50.0,1000
2021-01-27,50.0,50.0,50.0,50.0,50.0,49300
2021-01-28,50.0,50.0,50.0,50.0,50.0,600
2021-01-29,50.0,50.0,50.0,50.0,50.0,13200
2021-02-01,50.0,50.0,50.0,50.0,50.0,140400
2021-02-02,50.0,52.0,50.0,50.0,50.0,4500
2021-02-03,50.0,50.0,50.0,50.0,50.0,0
2021-02-04,52.0,52.0,50.0,50.0,50.0,4600
2021-02-05,50.0,50.0,50.0,50.0,50.0,4600
2021-02-09,50.0,51.0,50.0,50.0,50.0,10100
2021-02-10,50.0,50.0,50.0,50.0,50.0,100
2021-02-11,50.0,51.0,50.0,50.0,50.0,31900
2021-02-15,51.0,51.0,50.0,50.0,50.0,8900
2021-02-16,51.0,51.0,50.0,50.0,50.0,3800
2021-02-17,50.0,51.0,50.0,50.0,50.0,46300
2021-02-18,55.0,55.0,50.0,51.0,51.0,3000
2021-02-19,52.0,52.0,51.0,51.0,51.0,3800
2021-02-22,50.0,51.0,50.0,51.0,51.0,4900
2021-02-23,50.0,68.0,50.0,68.0,68.0,1170800
2021-02-24,68.0,75.0,64.0,64.0,64.0,760200
2021-02-25,60.0,72.0,60.0,72.0,72.0,1089800
2021-02-26,72.0,72.0,67.0,67.0,67.0,85900
2021-03-01,63.0,63.0,63.0,63.0,63.0,84100
2021-03-02,59.0,65.0,59.0,59.0,59.0,1242700
2021-03-03,59.0,65.0,55.0,60.0,60.0,651100
2021-03-04,60.0,65.0,56.0,58.0,58.0,374400
2021-03-05,54.0,61.0,54.0,56.0,56.0,72400
2021-03-08,56.0,64.0,56.0,61.0,61.0,120100
2021-03-09,61.0,65.0,57.0,57.0,57.0,746400
2021-03-10,57.0,61.0,55.0,59.0,59.0,125400
2021-03-12,59.0,59.0,56.0,58.0,58.0,64400
2021-03-15,54.0,58.0,54.0,56.0,56.0,31000
2021-03-16,56.0,58.0,54.0,57.0,57.0,150900
2021-03-17,55.0,57.0,55.0,55.0,55.0,218900
2021-03-18,57.0,74.0,53.0,74.0,74.0,4625200
2021-03-19,76.0,99.0,69.0,74.0,74.0,27272100
2021-03-22,74.0,80.0,69.0,70.0,70.0,2015200
2021-03-23,70.0,70.0,66.0,66.0,66.0,326400
2021-03-24,62.0,70.0,62.0,63.0,63.0,564100
2021-03-25,63.0,65.0,59.0,61.0,61.0,479300
2021-03-26,64.0,82.0,61.0,82.0,82.0,2693700
2021-03-29,90.0,108.0,77.0,78.0,78.0,30785700
2021-03-30,78.0,91.0,76.0,78.0,78.0,3487200
2021-03-31,78.0,80.0,74.0,75.0,75.0,972500
2021-04-01,75.0,88.0,75.0,82.0,82.0,4034100
2021-04-05,83.0,88.0,79.0,82.0,82.0,8715400
2021-04-06,82.0,82.0,78.0,79.0,79.0,919600
2021-04-07,79.0,84.0,79.0,79.0,79.0,1915400
2021-04-08,79.0,101.0,78.0,101.0,101.0,13102600
2021-04-09,110.0,123.0,95.0,102.0,102.0,26384700
2021-04-12,102.0,103.0,95.0,98.0,98.0,2590800
2021-04-13,98.0,119.0,93.0,97.0,97.0,18200000
2021-04-14,98.0,104.0,97.0,102.0,102.0,2650300
2021-04-15,102.0,102.0,95.0,97.0,97.0,2682400
2021-04-16,97.0,104.0,96.0,104.0,104.0,1231400
2021-04-19,104.0,115.0,98.0,102.0,102.0,10378000
2021-04-20,102.0,108.0,102.0,108.0,108.0,2141900
2021-04-21,110.0,127.0,105.0,113.0,113.0,19571900
2021-04-22,117.0,146.0,115.0,146.0,146.0,19591900
2021-04-23,146.0,173.0,136.0,136.0,136.0,77812500
2021-04-26,136.0,148.0,127.0,138.0,138.0,8444600
2021-04-27,139.0,161.0,130.0,131.0,131.0,37732400
2021-04-28,133.0,135.0,124.0,124.0,124.0,2996300
2021-04-29,127.0,143.0,119.0,142.0,142.0,16505500
2021-04-30,144.0,145.0,133.0,133.0,133.0,16533800
2021-05-03,133.0,133.0,124.0,124.0,124.0,2547700
2021-05-04,125.0,129.0,118.0,122.0,122.0,2748300
2021-05-05,123.0,127.0,119.0,122.0,122.0,2001900
2021-05-06,122.0,124.0,118.0,122.0,122.0,1315800
2021-05-07,122.0,131.0,119.0,120.0,120.0,4430500
2021-05-10,120.0,125.0,114.0,114.0,114.0,3169900
2021-05-11,108.0,115.0,108.0,109.0,109.0,1906700
2021-05-17,109.0,125.0,104.0,116.0,116.0,10213800
2021-05-18,122.0,149.0,120.0,127.0,127.0,44466200
2021-05-19,128.0,138.0,119.0,125.0,125.0,24532400
2021-05-20,129.0,132.0,122.0,124.0,124.0,2647000
2021-05-21,129.0,129.0,119.0,122.0,122.0,2181800
2021-05-24,127.0,127.0,119.0,120.0,120.0,916900
2021-05-25,124.0,125.0,119.0,119.0,119.0,995600
2021-05-27,126.0,126.0,114.0,115.0,115.0,2541700
2021-05-28,119.0,121.0,110.0,112.0,112.0,2840400
2021-05-31,115.0,116.0,111.0,112.0,112.0,918200
2021-06-02,112.0,130.0,111.0,114.0,114.0,13793400
2021-06-03,114.0,117.0,111.0,115.0,115.0,1593600
2021-06-04,115.0,117.0,111.0,112.0,112.0,3778800
2021-06-07,113.0,114.0,110.0,112.0,112.0,1238600
2021-06-08,112.0,112.0,109.0,110.0,110.0,856800
2021-06-09,112.0,112.0,109.0,109.0,109.0,1747100
2021-06-10,111.0,112.0,106.0,109.0,109.0,2065300
2021-06-11,109.0,110.0,108.0,108.0,108.0,458900
2021-06-14,108.0,110.0,106.0,107.0,107.0,339200
2021-06-15,107.0,125.0,105.0,112.0,112.0,23877300
2021-06-16,112.0,123.0,106.0,107.0,107.0,23112700
2021-06-17,108.0,109.0,105.0,107.0,107.0,1156900
2021-06-18,106.0,109.0,103.0,104.0,104.0,1696900
2021-06-21,106.0,106.0,101.0,104.0,104.0,1083000
2021-06-22,104.0,104.0,99.0,102.0,102.0,1739800
2021-06-23,105.0,105.0,100.0,102.0,102.0,516200
2021-06-24,105.0,105.0,99.0,101.0,101.0,299200
2021-06-25,105.0,105.0,101.0,101.0,101.0,370800
2021-06-28,105.0,105.0,99.0,102.0,102.0,279900
2021-06-29,102.0,104.0,99.0,102.0,102.0,686100
2021-06-30,101.0,105.0,99.0,102.0,102.0,829200
2021-07-01,105.0,105.0,100.0,102.0,102.0,28300
2021-07-02,103.0,103.0,100.0,103.0,103.0,145700
2021-07-05,103.0,103.0,96.0,96.0,96.0,1639300
2021-07-06,93.0,103.0,90.0,95.0,95.0,2320400
2021-07-07,90.0,98.0,90.0,94.0,94.0,588300
2021-07-08,91.0,101.0,89.0,92.0,92.0,7243500
2021-07-09,86.0,96.0,86.0,92.0,92.0,368600
2021-07-12,97.0,97.0,90.0,90.0,90.0,170900
2021-07-13,95.0,95.0,89.0,92.0,92.0,146700
2021-07-14,95.0,95.0,86.0,90.0,90.0,223800
2021-07-15,84.0,93.0,84.0,90.0,90.0,282400
2021-07-16,90.0,90.0,86.0,86.0,86.0,218700
2021-07-19,86.0,90.0,86.0,86.0,86.0,121700
2021-07-21,86.0,90.0,85.0,90.0,90.0,250000
2021-07-22,90.0,98.0,88.0,95.0,95.0,3467100
2021-07-23,95.0,100.0,89.0,90.0,90.0,27518300
2021-07-26,90.0,92.0,87.0,89.0,89.0,678000
2021-07-27,89.0,92.0,87.0,90.0,90.0,564800
2021-07-28,88.0,92.0,86.0,90.0,90.0,531000
2021-07-29,90.0,93.0,88.0,90.0,90.0,1305900
2021-07-30,89.0,92.0,89.0,90.0,90.0,1640500
2021-08-02,85.0,94.0,85.0,88.0,88.0,2870600
2021-08-03,83.0,90.0,83.0,85.0,85.0,1312700
2021-08-04,86.0,88.0,85.0,85.0,85.0,414300
2021-08-05,85.0,90.0,80.0,86.0,86.0,541600
2021-08-06,86.0,90.0,83.0,86.0,86.0,249400
2021-08-09,86.0,88.0,84.0,85.0,85.0,214100
2021-08-10,85.0,88.0,83.0,86.0,86.0,60400
2021-08-12,86.0,88.0,84.0,85.0,85.0,172600
2021-08-13,83.0,92.0,80.0,81.0,81.0,964900
2021-08-16,81.0,87.0,79.0,83.0,83.0,491300
2021-08-18,83.0,86.0,80.0,83.0,83.0,459800
2021-08-19,85.0,85.0,80.0,80.0,80.0,182500
2021-08-20,80.0,100.0,79.0,86.0,86.0,19045100
2021-08-23,88.0,96.0,87.0,88.0,88.0,5910600
2021-08-24,86.0,89.0,86.0,87.0,87.0,849500
2021-08-25,87.0,89.0,84.0,86.0,86.0,910300
2021-08-26,86.0,88.0,82.0,83.0,83.0,1078300
2021-08-27,82.0,85.0,79.0,80.0,80.0,1513100
2021-08-30,80.0,80.0,76.0,80.0,80.0,519100
2021-08-31,78.0,81.0,78.0,80.0,80.0,292300
2021-09-01,79.0,84.0,79.0,81.0,81.0,495000
2021-09-02,81.0,83.0,79.0,82.0,82.0,417800
2021-09-03,82.0,96.0,81.0,83.0,83.0,19838500
2021-09-06,83.0,85.0,79.0,80.0,80.0,1777500
2021-09-07,79.0,82.0,79.0,80.0,80.0,532500
2021-09-08,79.0,86.0,79.0,83.0,83.0,1592200
2021-09-09,86.0,95.0,83.0,84.0,84.0,9157100
2021-09-10,84.0,85.0,82.0,83.0,83.0,1008400
2021-09-13,83.0,84.0,81.0,82.0,82.0,746800
2021-09-14,82.0,88.0,81.0,83.0,83.0,2322400
2021-09-15,81.0,85.0,81.0,83.0,83.0,610700
2021-09-16,81.0,82.0,81.0,81.0,81.0,560500
2021-09-17,81.0,83.0,81.0,81.0,81.0,250500
2021-09-20,82.0,86.0,81.0,82.0,82.0,2478700
2021-09-21,82.0,84.0,81.0,83.0,83.0,334900
2021-09-22,81.0,85.0,81.0,84.0,84.0,320500
2021-09-23,83.0,85.0,81.0,83.0,83.0,1092700
2021-09-24,82.0,90.0,82.0,85.0,85.0,3052100
2021-09-27,85.0,87.0,82.0,83.0,83.0,872900
2021-09-28,83.0,96.0,82.0,83.0,83.0,13193700
2021-09-29,82.0,87.0,82.0,84.0,84.0,996300
2021-09-30,82.0,88.0,81.0,81.0,81.0,840000
2021-10-01,85.0,85.0,79.0,80.0,80.0,1261300
2021-10-04,83.0,83.0,78.0,79.0,79.0,636400
2021-10-05,79.0,83.0,78.0,79.0,79.0,2056500
2021-10-06,79.0,80.0,77.0,78.0,78.0,460700
2021-10-07,76.0,79.0,76.0,78.0,78.0,165200
2021-10-08,78.0,79.0,77.0,79.0,79.0,91600
2021-10-11,79.0,80.0,78.0,78.0,78.0,58200
2021-10-12,77.0,79.0,75.0,78.0,78.0,394800
2021-10-13,73.0,81.0,73.0,73.0,73.0,458600
2021-10-14,77.0,77.0,71.0,73.0,73.0,228400
2021-10-15,68.0,73.0,68.0,73.0,73.0,87000
2021-10-18,68.0,75.0,68.0,73.0,73.0,444500
2021-10-19,74.0,80.0,70.0,76.0,76.0,2412100
2021-10-21,75.0,76.0,72.0,74.0,74.0,575000
2021-10-22,76.0,76.0,71.0,73.0,73.0,508000
2021-10-25,69.0,91.0,69.0,75.0,75.0,17400000
2021-10-26,76.0,77.0,72.0,75.0,75.0,2010200
2021-10-27,73.0,83.0,72.0,81.0,81.0,5036700
2021-10-28,77.0,82.0,76.0,76.0,76.0,1934400
2021-10-29,80.0,80.0,73.0,76.0,76.0,670700
2021-11-01,74.0,79.0,74.0,78.0,78.0,502800
2021-11-02,78.0,92.0,78.0,80.0,80.0,24720600
