Date,Open,High,Low,Close,Adj Close,Volume
2021-12-13,156.0,208.0,150.0,208.0,208.0,105451400
2021-12-14,228.0,260.0,228.0,244.0,244.0,228710700
2021-12-15,248.0,248.0,228.0,228.0,228.0,41196100
2021-12-16,220.0,230.0,214.0,214.0,214.0,14599000
2021-12-17,214.0,236.0,210.0,216.0,216.0,10447900
2021-12-20,218.0,226.0,214.0,220.0,220.0,6586000
2021-12-21,220.0,224.0,216.0,220.0,220.0,5300100
2021-12-22,222.0,226.0,220.0,222.0,222.0,2058400
2021-12-23,222.0,224.0,210.0,220.0,220.0,3220700
2021-12-24,222.0,224.0,218.0,220.0,220.0,1034000
2021-12-27,220.0,224.0,216.0,220.0,220.0,1507600
2021-12-28,220.0,256.0,218.0,230.0,230.0,11784400
2021-12-29,230.0,234.0,220.0,224.0,224.0,2325900
2021-12-30,224.0,228.0,222.0,224.0,224.0,1068800
2022-01-03,226.0,250.0,226.0,236.0,236.0,10962300
2022-01-04,236.0,256.0,230.0,256.0,256.0,5592300
2022-01-05,260.0,316.0,252.0,298.0,298.0,17316800
2022-01-06,300.0,334.0,280.0,312.0,312.0,16471400
2022-01-07,316.0,390.0,314.0,356.0,356.0,75484800
