Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,97.0,100.0,96.0,96.0,96.0,10418300
2021-12-02,96.0,97.0,93.0,95.0,95.0,13510500
2021-12-03,95.0,100.0,95.0,100.0,100.0,12322800
2021-12-06,100.0,100.0,96.0,99.0,99.0,12362900
2021-12-07,99.0,99.0,96.0,97.0,97.0,13486800
2021-12-08,98.0,99.0,95.0,97.0,97.0,13484100
2021-12-09,96.0,97.0,94.0,96.0,96.0,16603300
2021-12-10,97.0,97.0,94.0,95.0,95.0,11685400
2021-12-13,96.0,100.0,90.0,95.0,95.0,25015700
2021-12-14,95.0,97.0,93.0,95.0,95.0,8920900
2021-12-15,94.0,97.0,93.0,93.0,93.0,16918400
2021-12-16,94.0,95.0,92.0,92.0,92.0,13757900
2021-12-17,92.0,95.0,91.0,92.0,92.0,14265700
2021-12-20,92.0,94.0,92.0,93.0,93.0,13724100
2021-12-21,93.0,94.0,92.0,93.0,93.0,12630200
2021-12-22,93.0,93.0,91.0,92.0,92.0,5354500
2021-12-23,92.0,93.0,90.0,91.0,91.0,14130300
2021-12-24,91.0,93.0,90.0,91.0,91.0,14483300
2021-12-27,91.0,92.0,90.0,91.0,91.0,14630800
2021-12-28,92.0,93.0,90.0,91.0,91.0,9145700
2021-12-29,92.0,92.0,88.0,89.0,89.0,17021900
2021-12-30,86.0,95.0,86.0,91.0,91.0,73793300
2022-01-03,92.0,94.0,87.0,91.0,91.0,23629200
2022-01-04,91.0,92.0,89.0,89.0,89.0,13440600
2022-01-05,90.0,92.0,89.0,91.0,91.0,17371200
2022-01-06,92.0,92.0,89.0,90.0,90.0,14317600
2022-01-07,90.0,93.0,89.0,90.0,90.0,17890100
