Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,288.0,288.0,282.0,284.0,284.0,343100
2021-12-02,286.0,288.0,284.0,288.0,288.0,79000
2021-12-03,290.0,292.0,280.0,286.0,286.0,58600
2021-12-06,288.0,292.0,286.0,288.0,288.0,115000
2021-12-07,290.0,290.0,286.0,286.0,286.0,276000
2021-12-08,286.0,290.0,282.0,284.0,284.0,321300
2021-12-09,284.0,286.0,282.0,284.0,284.0,809100
2021-12-10,284.0,290.0,284.0,286.0,286.0,740900
2021-12-13,286.0,292.0,284.0,286.0,286.0,802700
2021-12-14,286.0,288.0,282.0,282.0,282.0,297900
2021-12-15,284.0,326.0,284.0,314.0,314.0,8973200
2021-12-16,316.0,342.0,316.0,332.0,332.0,10866100
2021-12-17,334.0,366.0,334.0,350.0,350.0,12504600
2021-12-20,356.0,356.0,326.0,326.0,326.0,3303100
2021-12-21,308.0,328.0,304.0,318.0,318.0,4522900
2021-12-22,318.0,326.0,310.0,320.0,320.0,1211600
2021-12-23,320.0,320.0,306.0,310.0,310.0,1537100
2021-12-24,314.0,328.0,314.0,320.0,320.0,2228600
2021-12-27,324.0,324.0,306.0,308.0,308.0,1165200
2021-12-28,308.0,310.0,300.0,300.0,300.0,1123800
2021-12-29,298.0,306.0,288.0,288.0,288.0,1146200
2021-12-30,290.0,296.0,286.0,290.0,290.0,1641400
2022-01-03,290.0,306.0,284.0,298.0,298.0,2018400
2022-01-04,300.0,304.0,294.0,296.0,296.0,1096900
2022-01-05,298.0,298.0,288.0,288.0,288.0,588200
2022-01-06,292.0,300.0,284.0,288.0,288.0,1011100
2022-01-07,288.0,298.0,286.0,288.0,288.0,570900
