Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,157.0,159.0,151.0,154.0,154.0,16200
2021-12-02,149.0,157.0,149.0,155.0,155.0,16800
2021-12-03,155.0,155.0,152.0,155.0,155.0,2300
2021-12-06,149.0,154.0,146.0,147.0,147.0,61700
2021-12-07,143.0,168.0,143.0,151.0,151.0,197800
2021-12-08,154.0,160.0,151.0,156.0,156.0,6400
2021-12-09,151.0,155.0,149.0,155.0,155.0,7000
2021-12-10,156.0,161.0,152.0,156.0,156.0,8500
2021-12-13,152.0,161.0,152.0,156.0,156.0,20400
2021-12-14,158.0,158.0,155.0,155.0,155.0,30500
2021-12-15,155.0,155.0,152.0,155.0,155.0,8500
2021-12-16,155.0,158.0,155.0,158.0,158.0,99200
2021-12-17,158.0,175.0,151.0,157.0,157.0,30800
2021-12-20,158.0,158.0,155.0,155.0,155.0,13800
2021-12-21,155.0,158.0,155.0,158.0,158.0,10100
2021-12-22,158.0,159.0,156.0,156.0,156.0,76600
2021-12-23,155.0,155.0,154.0,155.0,155.0,22600
2021-12-24,154.0,157.0,150.0,151.0,151.0,55300
2021-12-27,151.0,156.0,150.0,155.0,155.0,31500
2021-12-28,150.0,156.0,148.0,154.0,154.0,45700
2021-12-29,163.0,163.0,153.0,153.0,153.0,7300
2021-12-30,149.0,159.0,149.0,157.0,157.0,258000
2022-01-03,157.0,157.0,151.0,152.0,152.0,8100
2022-01-04,150.0,154.0,150.0,154.0,154.0,2800
2022-01-05,150.0,159.0,147.0,152.0,152.0,150100
2022-01-06,154.0,155.0,146.0,149.0,149.0,125100
2022-01-07,153.0,153.0,152.0,153.0,153.0,1300
