Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,240.0,260.0,228.0,238.0,238.0,892800
2021-12-02,236.0,240.0,230.0,236.0,236.0,113000
2021-12-03,236.0,244.0,230.0,232.0,232.0,194000
2021-12-06,250.0,290.0,250.0,290.0,290.0,9182700
2021-12-07,320.0,344.0,286.0,304.0,304.0,9234800
2021-12-08,304.0,314.0,284.0,314.0,314.0,2023600
2021-12-09,312.0,312.0,294.0,294.0,294.0,1977300
2021-12-10,294.0,310.0,292.0,300.0,300.0,1842500
2021-12-13,300.0,338.0,298.0,338.0,338.0,2834900
2021-12-14,352.0,420.0,350.0,416.0,416.0,8165400
2021-12-15,422.0,500.0,420.0,472.0,472.0,12192700
2021-12-16,480.0,590.0,480.0,590.0,590.0,12911100
2021-12-17,605.0,685.0,550.0,650.0,650.0,13439200
2021-12-20,660.0,720.0,610.0,665.0,665.0,8576800
2021-12-21,670.0,700.0,620.0,680.0,680.0,4484300
2021-12-22,680.0,680.0,680.0,680.0,680.0,0
2021-12-23,700.0,800.0,680.0,755.0,755.0,6904500
2021-12-24,795.0,920.0,750.0,845.0,845.0,6293400
2021-12-27,845.0,845.0,845.0,845.0,845.0,0
2022-01-06,830.0,900.0,800.0,850.0,850.0,4394700
2022-01-07,850.0,870.0,795.0,795.0,795.0,2712000
