Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,860.0,860.0,840.0,840.0,840.0,200
2021-12-02,850.0,1045.0,790.0,890.0,890.0,16800
2021-12-03,890.0,890.0,830.0,875.0,875.0,5100
2021-12-06,875.0,875.0,875.0,875.0,875.0,100
2021-12-07,875.0,875.0,875.0,875.0,875.0,0
2021-12-08,865.0,870.0,865.0,870.0,870.0,1000
2021-12-09,860.0,870.0,820.0,820.0,820.0,8500
2021-12-10,780.0,820.0,780.0,820.0,820.0,3000
2021-12-13,785.0,790.0,780.0,790.0,790.0,400
2021-12-14,790.0,790.0,790.0,790.0,790.0,1700
2021-12-15,870.0,870.0,765.0,800.0,800.0,8400
2021-12-16,850.0,850.0,795.0,845.0,845.0,3800
2021-12-17,845.0,845.0,840.0,840.0,840.0,200
2021-12-20,840.0,840.0,840.0,840.0,840.0,0
2021-12-22,870.0,870.0,845.0,845.0,845.0,200
2021-12-23,845.0,845.0,845.0,845.0,845.0,0
2021-12-30,845.0,845.0,845.0,845.0,845.0,1200
2022-01-04,840.0,840.0,840.0,840.0,840.0,100
2022-01-05,790.0,795.0,785.0,790.0,790.0,3000
2022-01-06,790.0,870.0,790.0,820.0,820.0,4800
