Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,344.0,372.0,340.0,360.0,360.0,3016900
2021-01-05,360.0,370.0,350.0,360.0,360.0,1917000
2021-01-06,360.0,376.0,350.0,350.0,350.0,5985300
2021-01-07,354.0,382.0,354.0,364.0,364.0,3120400
2021-01-08,364.0,380.0,358.0,360.0,360.0,2197900
2021-01-11,360.0,370.0,354.0,356.0,356.0,3311200
2021-01-12,358.0,358.0,350.0,354.0,354.0,1478300
2021-01-13,354.0,358.0,350.0,356.0,356.0,1371800
2021-01-14,358.0,360.0,350.0,352.0,352.0,691400
2021-01-15,354.0,364.0,350.0,352.0,352.0,3470000
2021-01-18,352.0,352.0,340.0,344.0,344.0,1068800
2021-01-19,344.0,350.0,340.0,344.0,344.0,604900
2021-01-20,344.0,348.0,342.0,348.0,348.0,401000
2021-01-21,348.0,354.0,348.0,352.0,352.0,433400
2021-01-22,356.0,358.0,344.0,346.0,346.0,1762500
2021-01-25,346.0,346.0,330.0,336.0,336.0,723100
2021-01-26,336.0,350.0,322.0,328.0,328.0,802400
2021-01-27,328.0,328.0,306.0,322.0,322.0,651600
2021-01-28,322.0,322.0,300.0,300.0,300.0,3019400
2021-01-29,300.0,322.0,296.0,308.0,308.0,489600
2021-02-01,310.0,336.0,310.0,330.0,330.0,2250100
2021-02-02,336.0,346.0,326.0,330.0,330.0,595000
2021-02-03,330.0,334.0,320.0,322.0,322.0,258700
2021-02-04,322.0,326.0,310.0,326.0,326.0,368200
2021-02-05,326.0,338.0,322.0,332.0,332.0,1678300
2021-02-08,334.0,334.0,326.0,330.0,330.0,622100
2021-02-09,330.0,332.0,328.0,328.0,328.0,672900
2021-02-10,328.0,332.0,326.0,332.0,332.0,237000
2021-02-11,332.0,340.0,332.0,334.0,334.0,740400
2021-02-15,334.0,336.0,330.0,330.0,330.0,599800
2021-02-16,334.0,338.0,330.0,336.0,336.0,543200
2021-02-17,336.0,336.0,328.0,328.0,328.0,604400
2021-02-18,328.0,334.0,328.0,330.0,330.0,560200
2021-02-19,330.0,330.0,314.0,324.0,324.0,758700
2021-02-22,328.0,332.0,324.0,328.0,328.0,679900
2021-02-23,328.0,340.0,320.0,326.0,326.0,1263100
2021-02-24,328.0,336.0,326.0,326.0,326.0,771800
2021-02-25,326.0,332.0,326.0,330.0,330.0,589800
2021-02-26,330.0,332.0,326.0,328.0,328.0,250400
2021-03-01,328.0,332.0,326.0,332.0,332.0,371300
2021-03-02,332.0,336.0,328.0,332.0,332.0,223200
2021-03-03,332.0,334.0,324.0,334.0,334.0,1109700
2021-03-04,336.0,338.0,326.0,328.0,328.0,796400
2021-03-05,328.0,330.0,326.0,326.0,326.0,504800
2021-03-08,326.0,330.0,324.0,326.0,326.0,927200
2021-03-09,328.0,334.0,324.0,326.0,326.0,1131500
2021-03-10,330.0,332.0,324.0,326.0,326.0,1359300
2021-03-12,326.0,350.0,326.0,344.0,344.0,2940300
2021-03-15,350.0,366.0,342.0,350.0,350.0,5211900
2021-03-16,350.0,352.0,334.0,334.0,334.0,1283700
2021-03-17,334.0,344.0,328.0,330.0,330.0,1896700
2021-03-18,330.0,338.0,328.0,334.0,334.0,858200
2021-03-19,340.0,340.0,330.0,330.0,330.0,341100
2021-03-22,330.0,334.0,326.0,330.0,330.0,1206200
2021-03-23,330.0,334.0,328.0,330.0,330.0,423700
2021-03-24,332.0,332.0,326.0,328.0,328.0,661100
2021-03-25,328.0,330.0,324.0,326.0,326.0,185900
2021-03-26,326.0,328.0,322.0,324.0,324.0,625500
2021-03-29,324.0,328.0,318.0,320.0,320.0,756600
2021-03-30,324.0,324.0,312.0,312.0,312.0,1439600
2021-03-31,312.0,312.0,302.0,304.0,304.0,871000
2021-04-01,306.0,318.0,306.0,316.0,316.0,211900
2021-04-05,318.0,320.0,310.0,316.0,316.0,233400
2021-04-06,316.0,318.0,312.0,316.0,316.0,71400
