Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,95.0,95.0,85.0,86.0,86.0,3007500
2021-12-02,87.0,88.0,84.0,88.0,88.0,441200
2021-12-03,88.0,89.0,86.0,87.0,87.0,344200
2021-12-06,87.0,88.0,84.0,87.0,87.0,820500
2021-12-07,87.0,89.0,84.0,89.0,89.0,928200
2021-12-08,89.0,89.0,87.0,88.0,88.0,458900
2021-12-09,89.0,90.0,86.0,86.0,86.0,418200
2021-12-10,86.0,102.0,86.0,90.0,90.0,15663600
2021-12-13,91.0,101.0,88.0,94.0,94.0,20906900
2021-12-14,94.0,96.0,90.0,92.0,92.0,1991100
2021-12-15,90.0,94.0,90.0,92.0,92.0,1476300
2021-12-16,87.0,93.0,87.0,89.0,89.0,1349900
2021-12-17,88.0,92.0,88.0,90.0,90.0,873200
2021-12-20,90.0,91.0,89.0,89.0,89.0,1048200
2021-12-21,91.0,92.0,89.0,92.0,92.0,1048100
2021-12-22,92.0,118.0,92.0,117.0,117.0,63465900
2021-12-23,117.0,117.0,109.0,109.0,109.0,2340300
2021-12-24,102.0,106.0,102.0,102.0,102.0,3128700
2021-12-27,96.0,105.0,96.0,98.0,98.0,7973800
2021-12-28,99.0,105.0,97.0,101.0,101.0,9598400
2021-12-29,102.0,111.0,98.0,99.0,99.0,31531700
2021-12-30,99.0,113.0,98.0,104.0,104.0,55641000
2022-01-03,104.0,113.0,101.0,104.0,104.0,26595800
2022-01-04,105.0,106.0,101.0,102.0,102.0,3571300
2022-01-05,100.0,106.0,100.0,100.0,100.0,11063200
2022-01-06,101.0,102.0,96.0,98.0,98.0,6609100
2022-01-07,99.0,101.0,97.0,97.0,97.0,3113000
