Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,115.0,116.0,115.0,116.0,116.0,52000
2021-01-05,116.0,116.0,114.0,114.0,114.0,6800
2021-01-06,114.0,114.0,112.0,114.0,114.0,72000
2021-01-07,113.0,113.0,113.0,113.0,113.0,200000
2021-01-08,113.0,117.0,112.0,112.0,112.0,257400
2021-01-11,111.0,125.0,111.0,112.0,112.0,415500
2021-01-12,111.0,113.0,105.0,113.0,113.0,116000
2021-01-13,113.0,114.0,109.0,114.0,114.0,362400
2021-01-14,114.0,114.0,107.0,114.0,114.0,25300
2021-01-15,120.0,120.0,107.0,116.0,116.0,19400
2021-01-18,116.0,116.0,114.0,114.0,114.0,7600
2021-01-19,124.0,124.0,113.0,118.0,118.0,10600
2021-01-20,117.0,117.0,110.0,117.0,117.0,29400
2021-01-21,116.0,116.0,112.0,112.0,112.0,7200
2021-01-22,111.0,115.0,105.0,105.0,105.0,85400
2021-01-25,104.0,108.0,100.0,106.0,106.0,506800
2021-01-26,106.0,121.0,106.0,106.0,106.0,8900
2021-01-27,105.0,110.0,105.0,110.0,110.0,2600
2021-01-28,109.0,109.0,107.0,108.0,108.0,5100
2021-01-29,107.0,109.0,101.0,106.0,106.0,26400
2021-02-01,106.0,106.0,103.0,104.0,104.0,3000
2021-02-02,104.0,124.0,104.0,124.0,124.0,22900
2021-02-03,125.0,125.0,116.0,118.0,118.0,60900
2021-02-04,118.0,124.0,113.0,119.0,119.0,10700
2021-02-05,118.0,123.0,111.0,115.0,115.0,18500
2021-02-08,125.0,125.0,113.0,113.0,113.0,13100
2021-02-09,113.0,113.0,109.0,113.0,113.0,18800
2021-02-10,112.0,113.0,106.0,110.0,110.0,345500
2021-02-11,109.0,117.0,108.0,111.0,111.0,1800
2021-02-15,110.0,110.0,108.0,109.0,109.0,12700
2021-02-16,108.0,108.0,104.0,104.0,104.0,14200
2021-02-17,103.0,120.0,100.0,120.0,120.0,43200
2021-02-18,125.0,125.0,112.0,112.0,112.0,64600
2021-02-19,112.0,112.0,105.0,105.0,105.0,45900
2021-02-22,104.0,118.0,100.0,106.0,106.0,69100
2021-02-23,108.0,126.0,106.0,106.0,106.0,610700
2021-02-24,106.0,119.0,104.0,106.0,106.0,19700
2021-02-25,106.0,108.0,104.0,107.0,107.0,12800
2021-02-26,107.0,107.0,106.0,106.0,106.0,10100
2021-03-01,106.0,106.0,103.0,104.0,104.0,20100
2021-03-02,104.0,104.0,104.0,104.0,104.0,2500
2021-03-03,104.0,104.0,104.0,104.0,104.0,6000
2021-03-04,104.0,119.0,101.0,112.0,112.0,37600
2021-03-05,112.0,112.0,105.0,106.0,106.0,30900
2021-03-08,106.0,106.0,99.0,105.0,105.0,25800
2021-03-09,104.0,110.0,104.0,105.0,105.0,700
2021-03-10,104.0,114.0,104.0,106.0,106.0,11900
2021-03-12,106.0,106.0,105.0,105.0,105.0,2800
2021-03-15,105.0,108.0,98.0,106.0,106.0,24300
2021-03-16,105.0,105.0,99.0,99.0,99.0,40700
2021-03-17,99.0,105.0,99.0,104.0,104.0,78000
2021-03-18,104.0,110.0,100.0,106.0,106.0,82700
2021-03-19,106.0,109.0,99.0,108.0,108.0,287500
2021-03-22,108.0,110.0,102.0,105.0,105.0,14000
2021-03-23,105.0,109.0,103.0,103.0,103.0,18000
2021-03-24,103.0,120.0,101.0,120.0,120.0,49800
2021-03-25,120.0,120.0,112.0,112.0,112.0,9000
2021-03-26,111.0,122.0,105.0,122.0,122.0,334900
2021-03-29,122.0,122.0,114.0,114.0,114.0,32400
2021-03-30,113.0,123.0,107.0,107.0,107.0,35400
2021-03-31,107.0,117.0,100.0,100.0,100.0,43100
2021-04-01,100.0,122.0,98.0,122.0,122.0,358800
2021-04-05,122.0,122.0,114.0,114.0,114.0,43800
2021-04-06,114.0,121.0,107.0,111.0,111.0,516000
2021-04-07,110.0,110.0,104.0,104.0,104.0,34900
2021-04-08,104.0,108.0,103.0,108.0,108.0,36400
2021-04-09,108.0,145.0,101.0,110.0,110.0,1504300
2021-04-12,110.0,139.0,110.0,117.0,117.0,6154600
2021-04-13,119.0,121.0,109.0,109.0,109.0,319300
2021-04-14,113.0,113.0,102.0,107.0,107.0,759900
2021-04-15,106.0,137.0,100.0,137.0,137.0,1719000
2021-04-16,136.0,136.0,128.0,128.0,128.0,109200
2021-04-19,120.0,127.0,120.0,120.0,120.0,93200
2021-04-20,117.0,134.0,112.0,114.0,114.0,434000
2021-04-21,114.0,122.0,108.0,108.0,108.0,260100
2021-04-22,108.0,115.0,108.0,109.0,109.0,99200
2021-04-23,111.0,111.0,106.0,108.0,108.0,39000
2021-04-26,108.0,108.0,102.0,103.0,103.0,140500
2021-04-27,103.0,135.0,103.0,111.0,111.0,1372900
2021-04-28,111.0,119.0,104.0,110.0,110.0,311100
2021-04-29,106.0,110.0,105.0,109.0,109.0,163800
2021-04-30,109.0,117.0,109.0,114.0,114.0,219600
2021-05-03,110.0,116.0,109.0,109.0,109.0,226100
2021-05-04,108.0,114.0,108.0,108.0,108.0,144600
2021-05-05,108.0,122.0,107.0,115.0,115.0,240600
2021-05-06,115.0,117.0,109.0,110.0,110.0,170600
2021-05-07,110.0,112.0,110.0,112.0,112.0,32200
2021-05-10,115.0,115.0,110.0,113.0,113.0,26900
2021-05-11,112.0,113.0,109.0,109.0,109.0,103600
2021-05-17,110.0,120.0,109.0,109.0,109.0,107900
2021-05-18,105.0,130.0,105.0,109.0,109.0,85100
2021-05-19,109.0,115.0,105.0,112.0,112.0,145500
2021-05-20,112.0,116.0,108.0,114.0,114.0,88400
2021-05-21,120.0,123.0,115.0,122.0,122.0,56400
2021-05-24,122.0,122.0,114.0,114.0,114.0,62900
2021-05-25,110.0,115.0,110.0,115.0,115.0,1300
2021-05-27,111.0,116.0,110.0,111.0,111.0,39900
2021-05-28,111.0,115.0,111.0,111.0,111.0,2000
2021-05-31,110.0,119.0,108.0,115.0,115.0,78500
2021-06-02,115.0,116.0,115.0,115.0,115.0,113800
2021-06-03,115.0,122.0,115.0,115.0,115.0,50700
2021-06-04,115.0,116.0,115.0,116.0,116.0,17600
2021-06-07,117.0,123.0,117.0,120.0,120.0,22700
2021-06-08,122.0,122.0,115.0,117.0,117.0,121500
2021-06-09,117.0,117.0,116.0,117.0,117.0,44100
2021-06-10,121.0,128.0,120.0,121.0,121.0,285900
2021-06-11,120.0,120.0,120.0,120.0,120.0,1300
2021-06-14,120.0,120.0,120.0,120.0,120.0,10100
2021-06-15,120.0,126.0,116.0,116.0,116.0,50000
2021-06-16,116.0,156.0,116.0,129.0,129.0,12896600
2021-06-17,130.0,130.0,120.0,125.0,125.0,1754500
2021-06-18,125.0,125.0,117.0,117.0,117.0,651700
2021-06-21,118.0,119.0,112.0,112.0,112.0,242800
2021-06-22,113.0,121.0,110.0,117.0,117.0,335300
2021-06-23,120.0,122.0,114.0,115.0,115.0,70100
2021-06-24,115.0,145.0,114.0,127.0,127.0,3039700
2021-06-25,127.0,127.0,119.0,119.0,119.0,289400
2021-06-28,119.0,126.0,115.0,125.0,125.0,333100
2021-06-29,120.0,150.0,120.0,126.0,126.0,1502200
2021-06-30,127.0,139.0,120.0,121.0,121.0,708300
2021-07-01,121.0,130.0,121.0,125.0,125.0,409400
2021-07-02,125.0,135.0,125.0,129.0,129.0,324800
2021-07-05,136.0,136.0,127.0,129.0,129.0,209100
2021-07-06,129.0,140.0,128.0,130.0,130.0,320900
2021-07-07,130.0,131.0,129.0,129.0,129.0,61000
2021-07-08,130.0,139.0,130.0,132.0,132.0,77400
2021-07-09,132.0,148.0,131.0,135.0,135.0,180500
2021-07-12,136.0,139.0,131.0,139.0,139.0,44700
2021-07-13,131.0,142.0,131.0,142.0,142.0,172900
2021-07-14,142.0,142.0,134.0,142.0,142.0,122500
2021-07-15,142.0,145.0,137.0,138.0,138.0,65200
2021-07-16,138.0,186.0,138.0,186.0,186.0,3012400
2021-07-19,194.0,250.0,188.0,250.0,250.0,9712500
2021-07-21,304.0,312.0,234.0,234.0,234.0,7724100
2021-07-22,218.0,218.0,218.0,218.0,218.0,110000
2021-07-23,204.0,204.0,204.0,204.0,204.0,88800
2021-07-26,190.0,220.0,190.0,197.0,197.0,4529400
2021-07-27,198.0,199.0,188.0,188.0,188.0,1116500
2021-07-28,188.0,191.0,179.0,179.0,179.0,440400
2021-07-29,177.0,188.0,171.0,186.0,186.0,167900
2021-07-30,185.0,187.0,177.0,180.0,180.0,175900
2021-08-02,179.0,187.0,174.0,185.0,185.0,216500
2021-08-03,184.0,236.0,184.0,220.0,220.0,2230100
2021-08-04,218.0,230.0,206.0,206.0,206.0,838300
2021-08-05,202.0,220.0,202.0,210.0,210.0,315800
2021-08-06,210.0,228.0,200.0,224.0,224.0,1257900
2021-08-09,228.0,232.0,210.0,210.0,210.0,516000
2021-08-10,210.0,220.0,200.0,216.0,216.0,369700
2021-08-12,218.0,230.0,202.0,222.0,222.0,668600
2021-08-13,226.0,228.0,210.0,216.0,216.0,87300
2021-08-16,216.0,224.0,202.0,210.0,210.0,477500
2021-08-18,200.0,218.0,200.0,204.0,204.0,357300
2021-08-19,204.0,212.0,196.0,200.0,200.0,1048300
2021-08-20,196.0,202.0,196.0,202.0,202.0,297900
2021-08-23,210.0,226.0,200.0,210.0,210.0,752200
2021-08-24,200.0,216.0,200.0,206.0,206.0,92600
2021-08-25,208.0,236.0,196.0,236.0,236.0,281500
2021-08-26,240.0,260.0,236.0,246.0,246.0,879900
2021-08-27,246.0,290.0,246.0,284.0,284.0,1539300
2021-08-30,286.0,300.0,284.0,290.0,290.0,752200
2021-08-31,290.0,310.0,290.0,304.0,304.0,1005000
2021-09-01,306.0,306.0,292.0,294.0,294.0,144300
2021-09-02,296.0,298.0,288.0,288.0,288.0,105200
2021-09-03,274.0,284.0,270.0,284.0,284.0,277200
2021-09-06,268.0,282.0,268.0,280.0,280.0,68100
2021-09-07,272.0,296.0,262.0,286.0,286.0,96700
2021-09-08,288.0,292.0,270.0,290.0,290.0,11900
2021-09-09,290.0,292.0,280.0,290.0,290.0,42000
2021-09-10,290.0,290.0,284.0,290.0,290.0,4900
2021-09-13,290.0,296.0,290.0,296.0,296.0,155000
2021-09-14,296.0,296.0,290.0,296.0,296.0,107100
2021-09-15,296.0,296.0,296.0,296.0,296.0,68700
2021-09-16,296.0,296.0,286.0,286.0,286.0,101500
2021-09-17,288.0,300.0,286.0,300.0,300.0,72500
2021-09-20,300.0,300.0,300.0,300.0,300.0,3300
2021-09-21,320.0,320.0,300.0,312.0,312.0,62600
2021-09-22,312.0,312.0,310.0,310.0,310.0,30100
2021-09-23,310.0,310.0,294.0,300.0,300.0,111200
2021-09-24,300.0,300.0,288.0,288.0,288.0,35600
2021-09-27,288.0,304.0,288.0,298.0,298.0,7500
2021-09-28,298.0,310.0,286.0,310.0,310.0,61600
2021-09-29,310.0,310.0,308.0,308.0,308.0,3000
2021-09-30,308.0,308.0,288.0,306.0,306.0,2800
2021-10-01,306.0,306.0,306.0,306.0,306.0,0
2021-10-04,306.0,306.0,300.0,300.0,300.0,85500
2021-10-05,300.0,308.0,300.0,300.0,300.0,117800
2021-10-06,300.0,330.0,292.0,308.0,308.0,670100
2021-10-07,308.0,312.0,298.0,312.0,312.0,82500
2021-10-08,330.0,390.0,308.0,390.0,390.0,583100
2021-10-11,468.0,486.0,450.0,486.0,486.0,1547400
2021-10-12,500.0,605.0,500.0,605.0,605.0,2416200
2021-10-13,700.0,755.0,670.0,755.0,755.0,2720500
2021-10-14,755.0,755.0,755.0,755.0,755.0,0
2021-10-15,705.0,940.0,705.0,940.0,940.0,3722000
2021-10-18,1000.0,1175.0,1000.0,1175.0,1175.0,1321900
2021-10-19,1175.0,1175.0,1175.0,1175.0,1175.0,0
2021-10-27,1275.0,1290.0,1175.0,1290.0,1290.0,403000
2021-10-28,1415.0,1415.0,1320.0,1415.0,1415.0,2724200
2021-10-29,1555.0,1555.0,1555.0,1555.0,1555.0,184900
2021-11-01,1600.0,1710.0,1600.0,1710.0,1710.0,213500
2021-11-02,1870.0,1880.0,1870.0,1880.0,1880.0,169200
2021-11-03,2060.0,2060.0,2060.0,2060.0,2060.0,242300
2021-11-04,2260.0,2260.0,2260.0,2260.0,2260.0,791300
2021-11-05,2480.0,2480.0,2480.0,2480.0,2480.0,118500
2021-11-08,2720.0,2720.0,2720.0,2720.0,2720.0,495100
2021-11-09,2720.0,2720.0,2720.0,2720.0,2720.0,0
2021-11-22,2800.0,2980.0,2530.0,2530.0,2530.0,791900
2021-11-23,2480.0,2510.0,2360.0,2360.0,2360.0,31300
2021-11-24,2200.0,2200.0,2200.0,2200.0,2200.0,56600
2021-11-25,2050.0,2050.0,2050.0,2050.0,2050.0,42900
2021-11-26,1910.0,1910.0,1910.0,1910.0,1910.0,605000
2021-11-29,1780.0,1780.0,1780.0,1780.0,1780.0,231300
2021-11-30,1730.0,1780.0,1660.0,1660.0,1660.0,48400
2021-12-01,1545.0,1545.0,1545.0,1545.0,1545.0,270000
2021-12-02,1440.0,1440.0,1440.0,1440.0,1440.0,111300
2021-12-03,1340.0,1340.0,1340.0,1340.0,1340.0,21500
2021-12-06,1250.0,1250.0,1250.0,1250.0,1250.0,7500
2021-12-07,1165.0,1165.0,1165.0,1165.0,1165.0,125100
2021-12-08,1085.0,1085.0,1085.0,1085.0,1085.0,169400
2021-12-09,1010.0,1010.0,1010.0,1010.0,1010.0,47500
2021-12-10,940.0,1110.0,940.0,1110.0,1110.0,1565400
2021-12-13,1220.0,1220.0,1220.0,1220.0,1220.0,173700
2021-12-14,1340.0,1340.0,1340.0,1340.0,1340.0,93700
2021-12-15,1470.0,1470.0,1470.0,1470.0,1470.0,48800
2021-12-16,1615.0,1615.0,1615.0,1615.0,1615.0,101400
2021-12-17,1775.0,1775.0,1675.0,1775.0,1775.0,2895800
2021-12-20,1950.0,1950.0,1655.0,1890.0,1890.0,1675500
2021-12-21,1890.0,1890.0,1760.0,1815.0,1815.0,858500
2021-12-22,1865.0,1870.0,1700.0,1800.0,1800.0,399400
2021-12-23,1850.0,1850.0,1725.0,1755.0,1755.0,253200
