Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,226.0,226.0,212.0,212.0,212.0,1201100
2021-12-02,210.0,216.0,198.0,214.0,214.0,1763900
2021-12-03,216.0,250.0,216.0,234.0,234.0,5265400
2021-12-06,234.0,242.0,218.0,220.0,220.0,1379500
2021-12-07,220.0,248.0,216.0,248.0,248.0,3652400
2021-12-08,250.0,266.0,234.0,250.0,250.0,5061400
2021-12-09,250.0,298.0,242.0,280.0,280.0,7021000
2021-12-10,282.0,294.0,270.0,276.0,276.0,4564700
2021-12-13,278.0,284.0,258.0,260.0,260.0,2849400
2021-12-14,262.0,274.0,250.0,270.0,270.0,1847600
2021-12-15,270.0,270.0,256.0,270.0,270.0,1199300
2021-12-16,270.0,272.0,252.0,256.0,256.0,1705500
2021-12-17,254.0,254.0,240.0,240.0,240.0,1900300
2021-12-20,242.0,242.0,228.0,228.0,228.0,1045400
2021-12-21,228.0,238.0,226.0,236.0,236.0,637300
2021-12-22,238.0,256.0,236.0,238.0,238.0,1842700
2021-12-23,240.0,246.0,238.0,242.0,242.0,586100
2021-12-24,244.0,244.0,226.0,232.0,232.0,939700
2021-12-27,240.0,240.0,228.0,234.0,234.0,256400
2021-12-28,234.0,236.0,224.0,230.0,230.0,368200
2021-12-29,230.0,230.0,214.0,216.0,216.0,1161700
2021-12-30,220.0,224.0,204.0,212.0,212.0,998500
2022-01-03,212.0,220.0,210.0,218.0,218.0,549000
2022-01-04,218.0,220.0,212.0,212.0,212.0,682200
2022-01-05,214.0,214.0,206.0,210.0,210.0,434100
2022-01-06,210.0,240.0,210.0,238.0,238.0,5766700
2022-01-07,238.0,264.0,238.0,252.0,252.0,10402000
