Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,160.0,163.0,155.0,156.0,156.0,1861800
2021-12-02,156.0,156.0,146.0,152.0,152.0,7256400
2021-12-03,152.0,164.0,147.0,160.0,160.0,3594000
2021-12-06,163.0,169.0,157.0,159.0,159.0,6106800
2021-12-07,159.0,165.0,157.0,160.0,160.0,3255500
2021-12-08,160.0,168.0,160.0,163.0,163.0,3743200
2021-12-09,165.0,179.0,163.0,173.0,173.0,16652100
2021-12-10,176.0,182.0,174.0,177.0,177.0,9879200
2021-12-13,179.0,181.0,170.0,173.0,173.0,6847000
2021-12-14,173.0,173.0,166.0,169.0,169.0,4565200
2021-12-15,169.0,170.0,167.0,168.0,168.0,1862900
2021-12-16,166.0,172.0,160.0,160.0,160.0,7494600
2021-12-17,160.0,165.0,154.0,158.0,158.0,5024800
2021-12-20,158.0,159.0,151.0,158.0,158.0,5513100
2021-12-21,158.0,166.0,155.0,166.0,166.0,6446500
2021-12-22,166.0,168.0,160.0,162.0,162.0,3734800
2021-12-23,162.0,164.0,158.0,158.0,158.0,2312800
2021-12-24,158.0,160.0,155.0,157.0,157.0,2296000
2021-12-27,157.0,158.0,154.0,156.0,156.0,1718300
2021-12-28,155.0,161.0,155.0,156.0,156.0,1769800
2021-12-29,158.0,159.0,155.0,157.0,157.0,835400
2021-12-30,157.0,159.0,152.0,154.0,154.0,2432300
2022-01-03,154.0,154.0,149.0,151.0,151.0,3784700
2022-01-04,151.0,152.0,150.0,152.0,152.0,761900
2022-01-05,152.0,155.0,150.0,152.0,152.0,3087300
2022-01-06,152.0,164.0,147.0,152.0,152.0,5024700
2022-01-07,154.0,154.0,150.0,152.0,152.0,2846200
