Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,127.0,127.0,127.0,127.0,127.0,7700
2021-01-05,119.0,171.0,119.0,119.0,119.0,31000
2021-01-06,116.0,119.0,116.0,117.0,117.0,11600
2021-01-07,114.0,128.0,114.0,128.0,128.0,7100
2021-01-08,132.0,132.0,120.0,121.0,121.0,1700
2021-01-11,145.0,146.0,120.0,130.0,130.0,66700
2021-01-12,132.0,132.0,121.0,122.0,122.0,11400
2021-01-13,121.0,132.0,119.0,132.0,132.0,6200
2021-01-14,132.0,132.0,124.0,127.0,127.0,4000
2021-01-15,123.0,135.0,123.0,126.0,126.0,3900
2021-01-18,126.0,146.0,123.0,124.0,124.0,27600
2021-01-19,123.0,160.0,118.0,127.0,127.0,44500
2021-01-20,137.0,137.0,121.0,121.0,121.0,400
2021-01-21,118.0,119.0,117.0,119.0,119.0,8700
2021-01-22,119.0,121.0,119.0,121.0,121.0,2500
2021-01-25,119.0,121.0,119.0,120.0,120.0,5800
2021-01-26,120.0,127.0,119.0,119.0,119.0,16000
2021-01-27,126.0,127.0,119.0,126.0,126.0,1800
2021-01-28,118.0,119.0,118.0,118.0,118.0,4500
2021-01-29,118.0,125.0,118.0,119.0,119.0,9300
2021-02-01,123.0,133.0,112.0,115.0,115.0,53100
2021-02-02,113.0,124.0,113.0,124.0,124.0,200
2021-02-03,123.0,123.0,116.0,123.0,123.0,58400
2021-02-04,123.0,123.0,123.0,123.0,123.0,0
2021-02-05,125.0,125.0,116.0,123.0,123.0,400
2021-02-08,118.0,120.0,118.0,120.0,120.0,4100
2021-02-09,130.0,130.0,122.0,122.0,122.0,200
2021-02-10,132.0,132.0,122.0,122.0,122.0,500
2021-02-11,132.0,132.0,125.0,125.0,125.0,200
2021-02-15,123.0,125.0,123.0,124.0,124.0,7800
2021-02-16,118.0,125.0,118.0,123.0,123.0,8500
2021-02-17,123.0,124.0,118.0,118.0,118.0,13000
2021-02-18,128.0,128.0,118.0,121.0,121.0,8100
2021-02-19,118.0,118.0,118.0,118.0,118.0,1000
2021-02-22,118.0,123.0,118.0,123.0,123.0,800
2021-02-23,116.0,118.0,116.0,118.0,118.0,6300
2021-02-24,116.0,118.0,116.0,118.0,118.0,200
2021-02-25,118.0,118.0,118.0,118.0,118.0,0
2021-02-26,120.0,125.0,116.0,122.0,122.0,3500
2021-03-01,117.0,125.0,117.0,125.0,125.0,1100
2021-03-02,118.0,118.0,117.0,117.0,117.0,4700
2021-03-03,119.0,119.0,118.0,118.0,118.0,200
2021-03-04,118.0,133.0,117.0,124.0,124.0,20200
2021-03-05,133.0,133.0,117.0,124.0,124.0,2700
2021-03-08,124.0,125.0,119.0,119.0,119.0,2200
2021-03-09,120.0,123.0,120.0,123.0,123.0,1200
2021-03-10,123.0,124.0,123.0,124.0,124.0,500
2021-03-12,124.0,124.0,124.0,124.0,124.0,1300
2021-03-15,124.0,124.0,124.0,124.0,124.0,0
2021-03-16,119.0,119.0,119.0,119.0,119.0,700
2021-03-17,119.0,129.0,119.0,128.0,128.0,4300
2021-03-18,128.0,128.0,120.0,126.0,126.0,8200
2021-03-19,126.0,126.0,126.0,126.0,126.0,100
2021-03-22,126.0,126.0,126.0,126.0,126.0,200
