Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,42.756317138671875,42.756317138671875,35.509483337402344,36.9588508605957,36.9588508605957,308686
2021-01-05,36.9588508605957,40.58226776123047,36.234169006347656,40.58226776123047,40.58226776123047,257353
2021-01-06,44.205684661865234,44.205684661865234,43.48100280761719,44.205684661865234,44.205684661865234,85968
2021-01-07,44.205684661865234,48.55378341674805,44.205684661865234,48.55378341674805,48.55378341674805,343184
2021-01-08,52.901885986328125,52.901885986328125,44.93036651611328,49.27846908569336,49.27846908569336,496492
2021-01-11,49.27846908569336,49.27846908569336,44.93036651611328,47.10441970825195,47.10441970825195,274464
2021-01-12,51.452518463134766,51.452518463134766,42.756317138671875,47.10441970825195,47.10441970825195,61820
2021-01-13,51.452518463134766,51.452518463134766,42.756317138671875,44.93036651611328,44.93036651611328,222579
2021-01-14,49.27846908569336,49.27846908569336,42.03163528442383,42.03163528442383,42.03163528442383,139923
2021-01-15,45.655052185058594,45.655052185058594,39.13290023803711,44.205684661865234,44.205684661865234,67891
2021-01-18,48.55378341674805,48.55378341674805,44.205684661865234,44.205684661865234,44.205684661865234,87486
2021-01-19,48.55378341674805,48.55378341674805,39.85758590698242,44.205684661865234,44.205684661865234,347738
2021-01-20,48.55378341674805,48.55378341674805,43.48100280761719,44.205684661865234,44.205684661865234,38499
2021-01-21,48.55378341674805,48.55378341674805,40.58226776123047,42.756317138671875,42.756317138671875,34497
2021-01-22,46.37973403930664,46.37973403930664,39.85758590698242,42.03163528442383,42.03163528442383,28150
2021-01-25,45.655052185058594,45.655052185058594,42.03163528442383,42.03163528442383,42.03163528442383,41259
2021-01-26,45.655052185058594,45.655052185058594,38.40821838378906,38.40821838378906,38.40821838378906,212092
2021-01-27,38.40821838378906,41.306949615478516,38.40821838378906,41.306949615478516,41.306949615478516,265081
2021-01-28,44.93036651611328,44.93036651611328,39.13290023803711,41.306949615478516,41.306949615478516,18904
2021-01-29,42.03163528442383,42.03163528442383,38.40821838378906,39.85758590698242,39.85758590698242,65131
2021-02-01,43.48100280761719,43.48100280761719,39.85758590698242,41.306949615478516,41.306949615478516,18490
2021-02-02,44.93036651611328,44.93036651611328,38.40821838378906,41.306949615478516,41.306949615478516,44847
2021-02-03,44.93036651611328,44.93036651611328,41.306949615478516,41.306949615478516,41.306949615478516,39879
2021-02-04,44.93036651611328,44.93036651611328,38.40821838378906,41.306949615478516,41.306949615478516,178836
2021-02-05,44.93036651611328,44.93036651611328,38.40821838378906,40.58226776123047,40.58226776123047,49124
2021-02-08,44.205684661865234,44.205684661865234,38.40821838378906,39.13290023803711,39.13290023803711,19042
2021-02-09,42.756317138671875,42.756317138671875,38.40821838378906,40.58226776123047,40.58226776123047,60992
2021-02-10,42.756317138671875,42.756317138671875,37.683536529541016,41.306949615478516,41.306949615478516,84726
2021-02-11,44.93036651611328,44.93036651611328,37.683536529541016,37.683536529541016,37.683536529541016,687196
2021-02-15,41.306949615478516,41.306949615478516,37.683536529541016,39.85758590698242,39.85758590698242,351739
2021-02-16,43.48100280761719,43.48100280761719,37.683536529541016,39.85758590698242,39.85758590698242,40017
2021-02-17,43.48100280761719,43.48100280761719,36.9588508605957,39.13290023803711,39.13290023803711,48158
2021-02-18,42.756317138671875,42.756317138671875,39.13290023803711,40.58226776123047,40.58226776123047,254593
2021-02-19,44.205684661865234,44.205684661865234,43.48100280761719,44.205684661865234,44.205684661865234,460890
2021-02-22,48.55378341674805,48.55378341674805,44.205684661865234,48.55378341674805,48.55378341674805,202295
2021-02-23,52.901885986328125,52.901885986328125,51.452518463134766,52.901885986328125,52.901885986328125,929233
2021-02-24,57.97467041015625,57.97467041015625,57.24998474121094,57.24998474121094,57.24998474121094,1088199
2021-02-25,62.0,62.0,57.0,58.0,58.0,1157100
2021-02-26,63.0,63.0,57.0,62.0,62.0,637700
2021-03-01,68.0,68.0,58.0,65.0,65.0,776400
2021-03-02,66.0,66.0,59.0,59.0,59.0,1017900
2021-03-03,63.0,63.0,54.0,60.0,60.0,553400
2021-03-04,66.0,66.0,55.0,60.0,60.0,774300
2021-03-05,66.0,66.0,54.0,58.0,58.0,831600
2021-03-08,63.0,63.0,53.0,54.0,54.0,798400
2021-03-09,54.0,59.0,54.0,58.0,58.0,1285200
2021-03-10,58.0,59.0,56.0,56.0,56.0,752100
2021-03-12,58.0,58.0,54.0,56.0,56.0,578300
2021-03-15,55.0,56.0,54.0,55.0,55.0,1400000
2021-03-16,60.0,60.0,55.0,55.0,55.0,635800
2021-03-17,60.0,60.0,54.0,55.0,55.0,110600
2021-03-18,60.0,60.0,52.0,53.0,53.0,1384100
2021-03-19,56.0,56.0,51.0,53.0,53.0,122300
2021-03-22,50.0,52.0,50.0,52.0,52.0,656400
2021-03-23,56.0,56.0,51.0,52.0,52.0,178900
2021-03-24,53.0,53.0,50.0,51.0,51.0,108400
2021-03-25,53.0,53.0,49.0,49.0,49.0,357900
2021-03-26,53.0,53.0,48.0,51.0,51.0,77700
2021-03-29,53.0,53.0,51.0,51.0,51.0,31000
2021-03-30,56.0,56.0,48.0,51.0,51.0,137000
2021-03-31,56.0,56.0,46.0,47.0,47.0,275500
2021-04-01,51.0,51.0,48.0,51.0,51.0,49400
2021-04-05,51.0,51.0,48.0,49.0,49.0,298900
2021-04-06,53.0,53.0,46.0,51.0,51.0,128100
2021-04-07,51.0,51.0,49.0,51.0,51.0,475100
2021-04-08,52.0,52.0,51.0,52.0,52.0,29600
2021-04-09,52.0,53.0,52.0,53.0,53.0,164200
2021-04-12,53.0,53.0,50.0,51.0,51.0,132500
2021-04-13,50.0,53.0,50.0,51.0,51.0,35800
2021-04-14,51.0,51.0,46.0,50.0,50.0,678900
2021-04-15,50.0,50.0,48.0,50.0,50.0,24600
2021-04-16,50.0,50.0,49.0,50.0,50.0,240700
2021-04-19,50.0,50.0,49.0,50.0,50.0,131900
2021-04-20,50.0,50.0,49.0,50.0,50.0,14900
2021-04-21,50.0,50.0,49.0,50.0,50.0,28700
2021-04-22,50.0,51.0,49.0,51.0,51.0,232200
2021-04-23,51.0,51.0,49.0,50.0,50.0,49700
2021-04-26,50.0,51.0,50.0,51.0,51.0,15100
2021-04-27,49.0,50.0,49.0,50.0,50.0,15300
2021-04-28,50.0,50.0,49.0,50.0,50.0,12500
2021-04-29,50.0,50.0,48.0,50.0,50.0,83000
2021-04-30,50.0,50.0,49.0,49.0,49.0,8600
2021-05-03,49.0,49.0,49.0,49.0,49.0,16400
2021-05-04,49.0,50.0,48.0,50.0,50.0,56000
2021-05-05,48.0,49.0,45.0,48.0,48.0,295500
2021-05-06,48.0,48.0,46.0,47.0,47.0,42900
2021-05-07,47.0,50.0,47.0,50.0,50.0,349900
2021-05-10,50.0,50.0,49.0,50.0,50.0,26500
2021-05-11,50.0,50.0,48.0,50.0,50.0,13100
2021-05-17,50.0,50.0,48.0,48.0,48.0,64000
2021-05-18,48.0,49.0,48.0,49.0,49.0,18000
2021-05-19,49.0,49.0,47.0,49.0,49.0,20300
2021-05-20,48.0,49.0,48.0,49.0,49.0,10700
2021-05-21,49.0,49.0,47.0,49.0,49.0,151400
2021-05-24,49.0,49.0,47.0,48.0,48.0,5000
2021-05-25,47.0,49.0,46.0,49.0,49.0,95300
2021-05-27,49.0,49.0,48.0,49.0,49.0,3700
2021-05-28,49.0,49.0,48.0,49.0,49.0,10200
2021-05-31,48.0,49.0,48.0,49.0,49.0,693700
2021-06-02,49.0,51.0,49.0,51.0,51.0,35100
2021-06-03,51.0,51.0,49.0,50.0,50.0,66300
2021-06-04,50.0,53.0,47.0,50.0,50.0,249800
2021-06-07,50.0,52.0,47.0,51.0,51.0,409400
2021-06-08,50.0,50.0,48.0,48.0,48.0,145500
2021-06-09,48.0,50.0,47.0,49.0,49.0,169200
2021-06-10,49.0,50.0,48.0,50.0,50.0,25200
2021-06-11,50.0,50.0,48.0,50.0,50.0,79500
2021-06-14,50.0,50.0,48.0,49.0,49.0,91700
2021-06-15,48.0,49.0,48.0,49.0,49.0,91100
2021-06-16,48.0,53.0,47.0,51.0,51.0,838900
2021-06-17,51.0,51.0,49.0,51.0,51.0,166700
2021-06-18,51.0,52.0,49.0,52.0,52.0,558300
2021-06-21,52.0,57.0,52.0,57.0,57.0,1620200
2021-06-22,62.0,62.0,62.0,62.0,62.0,1116300
2021-06-23,68.0,68.0,63.0,68.0,68.0,5274100
2021-06-24,72.0,74.0,72.0,74.0,74.0,385600
2021-06-25,80.0,81.0,76.0,81.0,81.0,426900
2021-06-28,85.0,89.0,73.0,77.0,77.0,2854200
2021-06-29,77.0,77.0,70.0,70.0,70.0,972000
2021-06-30,70.0,72.0,63.0,63.0,63.0,518900
2021-07-01,65.0,69.0,63.0,69.0,69.0,232900
2021-07-02,74.0,75.0,70.0,75.0,75.0,289000
2021-07-05,76.0,82.0,76.0,82.0,82.0,903700
2021-07-06,80.0,90.0,74.0,89.0,89.0,1754700
2021-07-07,90.0,97.0,84.0,90.0,90.0,2091900
2021-07-08,92.0,99.0,88.0,94.0,94.0,2397800
2021-07-09,97.0,101.0,93.0,100.0,100.0,1132900
2021-07-12,100.0,110.0,100.0,110.0,110.0,2343700
2021-07-13,110.0,120.0,100.0,100.0,100.0,1744900
2021-07-14,100.0,108.0,90.0,97.0,97.0,874900
2021-07-15,97.0,102.0,97.0,98.0,98.0,506500
2021-07-16,99.0,102.0,89.0,90.0,90.0,955300
2021-07-19,95.0,95.0,85.0,88.0,88.0,466500
2021-07-21,90.0,90.0,80.0,84.0,84.0,379600
2021-07-22,88.0,88.0,84.0,86.0,86.0,286700
2021-07-23,86.0,86.0,83.0,83.0,83.0,89900
2021-07-26,83.0,84.0,76.0,78.0,78.0,351000
2021-07-27,78.0,85.0,78.0,80.0,80.0,152300
2021-07-28,79.0,84.0,76.0,81.0,81.0,269600
2021-07-29,81.0,83.0,77.0,80.0,80.0,334000
2021-07-30,80.0,80.0,78.0,79.0,79.0,117300
2021-08-02,81.0,86.0,77.0,80.0,80.0,261600
2021-08-03,80.0,82.0,78.0,80.0,80.0,143100
2021-08-04,80.0,88.0,80.0,84.0,84.0,232300
2021-08-05,84.0,84.0,78.0,80.0,80.0,61900
2021-08-06,79.0,83.0,77.0,79.0,79.0,416900
2021-08-09,79.0,81.0,77.0,79.0,79.0,244900
2021-08-10,79.0,79.0,75.0,78.0,78.0,63000
2021-08-12,78.0,80.0,72.0,78.0,78.0,520000
2021-08-13,78.0,78.0,73.0,77.0,77.0,53400
2021-08-16,74.0,78.0,73.0,73.0,73.0,223300
2021-08-18,71.0,78.0,71.0,77.0,77.0,133600
2021-08-19,77.0,77.0,72.0,76.0,76.0,100800
2021-08-20,76.0,76.0,72.0,74.0,74.0,339600
2021-08-23,74.0,74.0,72.0,74.0,74.0,75700
2021-08-24,74.0,74.0,72.0,74.0,74.0,28400
2021-08-25,73.0,78.0,73.0,76.0,76.0,128900
2021-08-26,77.0,77.0,73.0,76.0,76.0,90700
2021-08-27,76.0,76.0,69.0,73.0,73.0,344800
2021-08-30,73.0,75.0,70.0,73.0,73.0,66400
2021-08-31,71.0,75.0,70.0,73.0,73.0,51000
2021-09-01,73.0,73.0,70.0,72.0,72.0,87300
2021-09-02,72.0,73.0,70.0,72.0,72.0,45700
2021-09-03,72.0,75.0,72.0,73.0,73.0,163900
2021-09-06,73.0,76.0,73.0,76.0,76.0,452000
2021-09-07,77.0,78.0,76.0,77.0,77.0,88700
2021-09-08,77.0,77.0,75.0,76.0,76.0,109700
2021-09-09,76.0,76.0,73.0,75.0,75.0,443500
2021-09-10,75.0,76.0,68.0,70.0,70.0,214600
2021-09-13,70.0,75.0,70.0,72.0,72.0,145600
2021-09-14,72.0,75.0,70.0,75.0,75.0,67100
2021-09-15,74.0,75.0,72.0,75.0,75.0,26500
2021-09-16,75.0,75.0,72.0,73.0,73.0,15300
2021-09-17,73.0,76.0,72.0,75.0,75.0,118000
2021-09-20,75.0,77.0,75.0,76.0,76.0,271700
2021-09-21,76.0,76.0,75.0,76.0,76.0,45700
2021-09-22,76.0,77.0,74.0,77.0,77.0,89400
2021-09-23,77.0,78.0,73.0,76.0,76.0,26700
2021-09-24,75.0,77.0,73.0,75.0,75.0,45600
2021-09-27,75.0,78.0,75.0,77.0,77.0,236100
2021-09-28,77.0,77.0,70.0,75.0,75.0,179400
2021-09-29,75.0,75.0,70.0,74.0,74.0,16100
2021-09-30,73.0,74.0,70.0,74.0,74.0,5200
2021-10-01,74.0,74.0,70.0,73.0,73.0,58300
2021-10-04,73.0,73.0,70.0,73.0,73.0,21700
2021-10-05,73.0,73.0,71.0,73.0,73.0,11300
2021-10-06,71.0,73.0,70.0,71.0,71.0,74100
2021-10-07,71.0,74.0,71.0,74.0,74.0,73500
2021-10-08,74.0,74.0,71.0,74.0,74.0,17300
2021-10-11,74.0,80.0,71.0,74.0,74.0,951300
2021-10-12,73.0,77.0,71.0,74.0,74.0,74000
2021-10-13,74.0,75.0,71.0,73.0,73.0,35400
2021-10-14,73.0,80.0,73.0,80.0,80.0,1837100
2021-10-15,80.0,88.0,72.0,83.0,83.0,2709900
2021-10-18,83.0,85.0,80.0,84.0,84.0,419200
2021-10-19,84.0,84.0,80.0,81.0,81.0,239800
2021-10-21,81.0,87.0,73.0,86.0,86.0,693300
2021-10-22,86.0,94.0,81.0,86.0,86.0,3691300
2021-10-25,86.0,93.0,84.0,88.0,88.0,530000
2021-10-26,88.0,92.0,86.0,88.0,88.0,226200
2021-10-27,88.0,90.0,81.0,84.0,84.0,290800
2021-10-28,84.0,87.0,80.0,83.0,83.0,131700
2021-10-29,83.0,84.0,80.0,83.0,83.0,32400
2021-11-01,83.0,91.0,75.0,86.0,86.0,2041400
2021-11-02,85.0,86.0,79.0,82.0,82.0,217700
2021-11-03,82.0,84.0,81.0,84.0,84.0,20700
2021-11-04,84.0,86.0,81.0,85.0,85.0,207600
2021-11-05,86.0,86.0,82.0,85.0,85.0,19500
2021-11-08,85.0,87.0,77.0,85.0,85.0,2365500
2021-11-09,85.0,87.0,83.0,83.0,83.0,44000
2021-11-10,82.0,91.0,82.0,91.0,91.0,2147400
2021-11-11,91.0,100.0,82.0,83.0,83.0,4056900
2021-11-12,85.0,87.0,82.0,84.0,84.0,868200
2021-11-15,84.0,86.0,83.0,83.0,83.0,544900
2021-11-16,83.0,85.0,83.0,85.0,85.0,71600
2021-11-17,85.0,88.0,85.0,87.0,87.0,436700
2021-11-18,87.0,87.0,82.0,85.0,85.0,86000
2021-11-19,85.0,87.0,84.0,85.0,85.0,84300
2021-11-22,85.0,87.0,85.0,87.0,87.0,154500
2021-11-23,86.0,89.0,86.0,88.0,88.0,131200
2021-11-24,88.0,90.0,86.0,89.0,89.0,113600
2021-11-25,89.0,91.0,89.0,89.0,89.0,130500
2021-11-26,89.0,92.0,81.0,83.0,83.0,201600
2021-11-29,83.0,83.0,76.0,76.0,76.0,208700
2021-11-30,76.0,81.0,76.0,76.0,76.0,79000
2021-12-01,76.0,81.0,76.0,80.0,80.0,55500
2021-12-02,80.0,81.0,77.0,79.0,79.0,27600
2021-12-03,79.0,81.0,77.0,80.0,80.0,29500
2021-12-06,80.0,81.0,77.0,78.0,78.0,6100
2021-12-07,79.0,79.0,75.0,78.0,78.0,24600
2021-12-08,78.0,79.0,75.0,79.0,79.0,59300
2021-12-09,79.0,79.0,77.0,77.0,77.0,16900
2021-12-10,77.0,77.0,73.0,77.0,77.0,31800
2021-12-13,77.0,77.0,75.0,76.0,76.0,25300
