Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,53.0,56.0,53.0,56.0,56.0,1619100
2021-01-05,56.0,57.0,55.0,55.0,55.0,1014800
2021-01-06,55.0,56.0,54.0,55.0,55.0,1121100
2021-01-07,55.0,58.0,54.0,57.0,57.0,2650900
2021-01-08,57.0,62.0,57.0,57.0,57.0,18650300
2021-01-11,58.0,61.0,57.0,58.0,58.0,5889200
2021-01-12,58.0,60.0,56.0,56.0,56.0,2106300
2021-01-13,56.0,58.0,55.0,57.0,57.0,4181200
2021-01-14,57.0,58.0,56.0,57.0,57.0,3412400
2021-01-15,57.0,57.0,54.0,54.0,54.0,2808400
2021-01-18,55.0,56.0,54.0,55.0,55.0,1019500
2021-01-19,55.0,55.0,52.0,53.0,53.0,1522100
2021-01-20,53.0,56.0,53.0,56.0,56.0,2426400
2021-01-21,56.0,57.0,54.0,55.0,55.0,496100
2021-01-22,55.0,56.0,53.0,55.0,55.0,1467900
2021-01-25,55.0,55.0,53.0,54.0,54.0,306300
2021-01-26,54.0,55.0,51.0,52.0,52.0,1164700
2021-01-27,52.0,53.0,50.0,50.0,50.0,1883500
2021-01-28,50.0,50.0,50.0,50.0,50.0,513500
2021-01-29,50.0,50.0,50.0,50.0,50.0,239400
2021-02-01,50.0,50.0,50.0,50.0,50.0,475100
2021-02-02,50.0,50.0,50.0,50.0,50.0,201100
2021-02-03,50.0,52.0,50.0,50.0,50.0,1740400
2021-02-04,50.0,51.0,50.0,50.0,50.0,49600
2021-02-05,50.0,50.0,50.0,50.0,50.0,215600
2021-02-08,50.0,50.0,50.0,50.0,50.0,535500
2021-02-09,50.0,50.0,50.0,50.0,50.0,46900
2021-02-10,50.0,50.0,50.0,50.0,50.0,91200
2021-02-11,50.0,50.0,50.0,50.0,50.0,104900
2021-02-15,50.0,50.0,50.0,50.0,50.0,6800
2021-02-16,50.0,50.0,50.0,50.0,50.0,5100
2021-02-17,50.0,50.0,50.0,50.0,50.0,41100
2021-02-18,50.0,51.0,50.0,51.0,51.0,1154000
2021-02-19,50.0,51.0,50.0,50.0,50.0,329100
2021-02-22,50.0,50.0,50.0,50.0,50.0,131300
2021-02-23,50.0,51.0,50.0,50.0,50.0,301600
2021-02-24,50.0,51.0,50.0,50.0,50.0,603600
2021-02-25,50.0,51.0,50.0,50.0,50.0,276600
2021-02-26,50.0,50.0,50.0,50.0,50.0,248100
2021-03-01,50.0,50.0,50.0,50.0,50.0,26100
2021-03-02,50.0,50.0,50.0,50.0,50.0,126800
2021-03-03,50.0,50.0,50.0,50.0,50.0,24600
