Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,450.0,456.0,440.0,448.0,448.0,15983800
2021-12-02,450.0,466.0,440.0,466.0,466.0,20914800
2021-12-03,466.0,470.0,454.0,458.0,458.0,13937400
2021-12-06,460.0,460.0,448.0,454.0,454.0,11616500
2021-12-07,454.0,462.0,446.0,460.0,460.0,11793900
2021-12-08,460.0,470.0,452.0,454.0,454.0,15099300
2021-12-09,450.0,474.0,448.0,460.0,460.0,10569800
2021-12-10,466.0,470.0,454.0,458.0,458.0,16706700
2021-12-13,464.0,464.0,452.0,458.0,458.0,12514400
2021-12-14,458.0,468.0,448.0,466.0,466.0,33861800
2021-12-15,468.0,496.0,466.0,494.0,494.0,57763200
2021-12-16,496.0,510.0,478.0,480.0,480.0,55378600
2021-12-17,480.0,484.0,472.0,476.0,476.0,13679000
2021-12-20,476.0,496.0,474.0,490.0,490.0,28218300
2021-12-21,490.0,496.0,482.0,484.0,484.0,13977700
2021-12-22,488.0,500.0,484.0,488.0,488.0,27587400
2021-12-23,490.0,520.0,490.0,520.0,520.0,59527600
2021-12-24,520.0,540.0,505.0,510.0,510.0,43044600
2021-12-27,510.0,520.0,500.0,510.0,510.0,14820700
2021-12-28,510.0,520.0,500.0,515.0,515.0,13069300
2021-12-29,515.0,520.0,480.0,480.0,480.0,40658200
2021-12-30,480.0,486.0,462.0,484.0,484.0,18871300
2022-01-03,484.0,492.0,480.0,490.0,490.0,13531600
2022-01-04,490.0,492.0,482.0,484.0,484.0,12914100
2022-01-05,486.0,488.0,472.0,478.0,478.0,11689800
2022-01-06,478.0,482.0,466.0,470.0,470.0,17022700
2022-01-07,470.0,474.0,456.0,470.0,470.0,11078500
