Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,865.0,890.0,855.0,875.0,875.0,836900
2021-01-05,875.0,930.0,875.0,885.0,885.0,1468600
2021-01-06,890.0,930.0,865.0,875.0,875.0,1975400
2021-01-07,880.0,905.0,875.0,890.0,890.0,1474700
2021-01-08,890.0,915.0,880.0,885.0,885.0,1562600
2021-01-11,885.0,925.0,885.0,895.0,895.0,2202900
2021-01-12,895.0,905.0,880.0,885.0,885.0,1613100
2021-01-13,885.0,905.0,875.0,890.0,890.0,779400
2021-01-14,895.0,900.0,880.0,880.0,880.0,810900
2021-01-15,880.0,890.0,865.0,885.0,885.0,700500
2021-01-18,895.0,900.0,870.0,875.0,875.0,777600
2021-01-19,875.0,890.0,850.0,860.0,860.0,1742600
2021-01-20,860.0,885.0,845.0,885.0,885.0,688800
2021-01-21,900.0,910.0,875.0,900.0,900.0,1566400
2021-01-22,900.0,905.0,870.0,880.0,880.0,1356100
2021-01-25,880.0,880.0,850.0,855.0,855.0,366400
2021-01-26,855.0,860.0,840.0,845.0,845.0,1077800
2021-01-27,845.0,845.0,820.0,835.0,835.0,1892800
2021-01-28,835.0,855.0,790.0,800.0,800.0,2082700
2021-01-29,800.0,810.0,780.0,805.0,805.0,850700
2021-02-01,800.0,830.0,775.0,820.0,820.0,874500
2021-02-02,820.0,845.0,810.0,820.0,820.0,787100
2021-02-03,825.0,845.0,820.0,825.0,825.0,357800
2021-02-04,825.0,870.0,820.0,845.0,845.0,504400
2021-02-05,845.0,855.0,820.0,830.0,830.0,3044300
2021-02-08,845.0,850.0,820.0,835.0,835.0,1465500
2021-02-09,845.0,845.0,820.0,830.0,830.0,178400
2021-02-10,830.0,840.0,820.0,830.0,830.0,51800
2021-02-11,830.0,840.0,825.0,840.0,840.0,52500
2021-02-15,835.0,855.0,825.0,845.0,845.0,353000
2021-02-16,845.0,860.0,840.0,840.0,840.0,842100
2021-02-17,870.0,870.0,830.0,830.0,830.0,1005000
2021-02-18,830.0,840.0,825.0,835.0,835.0,481700
2021-02-19,830.0,840.0,820.0,830.0,830.0,129900
2021-02-22,830.0,835.0,820.0,835.0,835.0,354400
2021-02-23,835.0,840.0,805.0,820.0,820.0,728700
2021-02-24,820.0,825.0,810.0,825.0,825.0,641100
2021-02-25,830.0,830.0,815.0,820.0,820.0,345200
2021-02-26,820.0,890.0,810.0,820.0,820.0,1087300
2021-03-01,840.0,850.0,830.0,840.0,840.0,569800
2021-03-02,855.0,855.0,825.0,830.0,830.0,353600
2021-03-03,830.0,850.0,815.0,825.0,825.0,1184500
2021-03-04,825.0,850.0,825.0,830.0,830.0,731000
2021-03-05,830.0,830.0,820.0,830.0,830.0,272500
2021-03-08,820.0,825.0,810.0,820.0,820.0,659700
2021-03-09,820.0,820.0,800.0,810.0,810.0,691400
2021-03-10,810.0,820.0,805.0,810.0,810.0,179700
2021-03-12,815.0,820.0,805.0,815.0,815.0,303600
2021-03-15,820.0,820.0,805.0,815.0,815.0,1673800
2021-03-16,820.0,825.0,805.0,805.0,805.0,1463000
2021-03-17,805.0,810.0,800.0,805.0,805.0,1347900
2021-03-18,815.0,820.0,795.0,805.0,805.0,837000
2021-03-19,810.0,810.0,800.0,800.0,800.0,896400
2021-03-22,800.0,810.0,795.0,805.0,805.0,332600
2021-03-23,805.0,805.0,800.0,800.0,800.0,2344000
2021-03-24,805.0,805.0,785.0,790.0,790.0,501900
2021-03-25,790.0,800.0,760.0,775.0,775.0,1706500
2021-03-26,775.0,805.0,775.0,800.0,800.0,106700
2021-03-29,800.0,800.0,790.0,800.0,800.0,53100
2021-03-30,800.0,800.0,785.0,800.0,800.0,94600
2021-03-31,800.0,800.0,770.0,785.0,785.0,79300
2021-04-01,800.0,800.0,780.0,790.0,790.0,41000
2021-04-05,790.0,800.0,765.0,795.0,795.0,98300
2021-04-06,800.0,800.0,785.0,790.0,790.0,269400
2021-04-07,790.0,795.0,780.0,790.0,790.0,566400
2021-04-08,790.0,800.0,775.0,780.0,780.0,472800
2021-04-09,785.0,785.0,760.0,785.0,785.0,234500
2021-04-12,785.0,790.0,775.0,780.0,780.0,610700
2021-04-13,785.0,785.0,775.0,780.0,780.0,162900
2021-04-14,785.0,795.0,775.0,795.0,795.0,126400
2021-04-15,795.0,795.0,770.0,785.0,785.0,155800
2021-04-16,795.0,795.0,770.0,785.0,785.0,67500
2021-04-19,785.0,790.0,780.0,785.0,785.0,361100
2021-04-20,785.0,790.0,770.0,785.0,785.0,1499700
2021-04-21,780.0,790.0,775.0,780.0,780.0,2414000
2021-04-22,780.0,790.0,770.0,785.0,785.0,82500
2021-04-23,775.0,785.0,775.0,785.0,785.0,177000
2021-04-26,785.0,785.0,780.0,785.0,785.0,200800
2021-04-27,785.0,785.0,760.0,770.0,770.0,1084800
2021-04-28,765.0,780.0,760.0,770.0,770.0,436600
2021-04-29,770.0,785.0,770.0,785.0,785.0,93100
2021-04-30,785.0,790.0,785.0,790.0,790.0,167400
2021-05-03,795.0,795.0,765.0,765.0,765.0,534800
