Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,1070.0,1070.0,1070.0,1070.0,1070.0,0
2021-01-07,1025.0,1025.0,1025.0,1025.0,1025.0,100
2021-01-08,1025.0,1025.0,1025.0,1025.0,1025.0,0
2021-01-13,1020.0,1025.0,1020.0,1025.0,1025.0,300
2021-01-14,965.0,965.0,955.0,955.0,955.0,2000
2021-01-15,955.0,955.0,955.0,955.0,955.0,0
2021-01-18,910.0,910.0,910.0,910.0,910.0,100
2021-01-19,860.0,900.0,860.0,900.0,900.0,200
2021-01-20,845.0,845.0,845.0,845.0,845.0,100
2021-01-21,845.0,845.0,795.0,795.0,795.0,1200
2021-01-22,745.0,745.0,745.0,745.0,745.0,100
2021-01-25,745.0,825.0,745.0,745.0,745.0,800
2021-01-26,750.0,750.0,750.0,750.0,750.0,200
2021-01-27,705.0,705.0,700.0,700.0,700.0,200
2021-01-28,700.0,700.0,700.0,700.0,700.0,0
2021-01-29,660.0,660.0,660.0,660.0,660.0,100
2021-02-01,615.0,615.0,615.0,615.0,615.0,100
2021-02-02,615.0,615.0,615.0,615.0,615.0,0
2021-02-03,615.0,620.0,615.0,620.0,620.0,700
2021-02-04,585.0,585.0,585.0,585.0,585.0,200
2021-02-05,545.0,545.0,545.0,545.0,545.0,100
2021-02-08,545.0,545.0,515.0,520.0,520.0,400
2021-02-09,520.0,520.0,488.0,488.0,488.0,200
2021-02-10,488.0,488.0,488.0,488.0,488.0,0
2021-02-11,484.0,498.0,484.0,498.0,498.0,500
2021-02-15,468.0,468.0,468.0,468.0,468.0,100
2021-02-16,482.0,482.0,482.0,482.0,482.0,400
2021-02-17,482.0,482.0,482.0,482.0,482.0,0
2021-02-19,482.0,482.0,454.0,456.0,456.0,300
2021-02-22,456.0,456.0,456.0,456.0,456.0,0
2021-02-23,456.0,456.0,440.0,440.0,440.0,500
2021-02-24,440.0,440.0,440.0,440.0,440.0,0
2021-03-02,444.0,444.0,444.0,444.0,444.0,500
2021-03-03,414.0,414.0,414.0,414.0,414.0,100
2021-03-04,414.0,414.0,414.0,414.0,414.0,0
2021-03-10,416.0,416.0,400.0,400.0,400.0,200
2021-03-12,400.0,400.0,400.0,400.0,400.0,300
2021-03-15,400.0,400.0,400.0,400.0,400.0,0
2021-03-18,374.0,374.0,374.0,374.0,374.0,100
2021-03-19,374.0,374.0,374.0,374.0,374.0,0
2021-03-23,356.0,356.0,356.0,356.0,356.0,100
2021-03-24,356.0,356.0,356.0,356.0,356.0,0
2021-04-07,362.0,402.0,362.0,402.0,402.0,22100
2021-04-08,500.0,500.0,404.0,500.0,500.0,15400
2021-04-09,620.0,625.0,540.0,540.0,540.0,13400
